estacion,hora,q_cafes_llevar_mas_1
AUBASA BA-LP,13,878.0000
Trelles,5,83.0000
Olivos,2,92.0000
Gutierrez,9,562.0000
El Club,1,543.0000
La Bandera,9,930.0000
Bonpland,16,714.0000
Parque Sarmiento,10,585.0000
Ovidio Lagos,8,708.0000
Libertador,5,341.0000
America,10,350.0000
Lima,6,3344.0000
Boulevard,6,242.0000
Gral Paz Capital,8,2146.0000
Bulnes,18,266.0000
Maipu,19,148.0000
Cabildo,11,66.0000
Alsina,5,188.0000
Boulevard,12,487.0000
Dialogos,12,259.0000
Florencio Varela,0,173.0000
El Club,16,1725.0000
Olivos,7,442.0000
La Carmela,16,193.0000
Villa Allende,12,715.0000
Gral Paz Provincia,14,647.0000
AUBASA LP-BA,2,277.0000
Santa Fe,11,82.0000
Centenera,13,132.0000
Arroyo Seco,2,500.0000
La Carmela,0,108.0000
Disc Panamericana,12,17.0000
Floresta,0,89.0000
El Club,0,578.0000
Quilmes,8,858.0000
Alsina,7,404.0000
Buen Ayre,0,350.0000
Laferrere,8,613.0000
Bulnes,10,555.0000
Gral Paz Capital,9,2702.0000
Del Tejar,23,154.0000
Luis Viale,22,55.0000
Ovidio Lagos,10,815.0000
AUBASA BA-LP,12,1259.0000
Centenera,11,276.0000
Amanecer,12,201.0000
Garay,20,189.0000
DISC Caraffa,15,94.0000
Ovidio Lagos,12,338.0000
Gral Paz Provincia,13,571.0000
Buen Ayre,14,772.0000
Bulnes,8,453.0000
Trelles,17,192.0000
Congreso,22,54.0000
Bonpland,1,262.0000
Bulnes,20,251.0000
El Arco,19,1174.0000
AUBASA BA-LP,3,302.0000
Arroyo Seco,8,9899.0000
Fisherton,18,2318.0000
AUBASA LP-BA,0,410.0000
Alsina,18,349.0000
El Club,12,821.0000
Buen Ayre,17,2374.0000
Dialogos,16,431.0000
Garay,10,844.0000
El Club,18,2209.0000
Libertador,8,672.0000
San Isidro,6,380.0000
La Bandera,14,403.0000
Bulnes,13,139.0000
Las Heras,8,251.0000
Gutierrez,16,443.0000
Dialogos,18,856.0000
America,8,421.0000
Boulevard,9,1489.0000
Ovidio Lagos,17,546.0000
La Bandera,6,141.0000
Gral Paz Capital,4,360.0000
Zarate,18,174.0000
AUBASA BA-LP,8,4488.0000
Del Tejar,11,509.0000
Bulnes,21,85.0000
Santa Fe,20,23.0000
Laferrere,7,527.0000
Las Heras,5,77.0000
Arroyo Seco,7,7386.0000
Gutierrez,18,640.0000
Luis Viale,8,313.0000
Dialogos,11,641.0000
San Isidro,12,410.0000
Gral Paz Capital,14,782.0000
AUBASA BA-LP,4,420.0000
El Arco,8,1337.0000
Floresta,19,257.0000
Alsina,8,408.0000
Gutierrez,0,179.0000
Gral Paz Capital,13,510.0000
Luis Viale,15,306.0000
La Carmela,5,223.0000
Gral Paz Capital,22,324.0000
La Carmela,20,129.0000
Pilar,5,70.0000
Amanecer,3,54.0000
AUBASA BA-LP,19,2036.0000
Floresta,17,328.0000
Alsina,9,453.0000
Gutierrez,6,264.0000
Maipu,10,260.0000
Los Incas,17,4.0000
Amanecer,18,432.0000
DISC Caraffa,13,81.0000
Zarate,11,204.0000
Amanecer,21,108.0000
Floresta,10,346.0000
Gutierrez,1,161.0000
Emilio Castro,17,96.0000
Maipu,4,88.0000
Floresta,11,299.0000
Pilar,21,134.0000
Fisherton,1,146.0000
DISC Caraffa,17,85.0000
Quilmes,20,98.0000
Cabildo,15,34.0000
Alsina,12,305.0000
Pilar,20,140.0000
Cabildo,7,55.0000
Pilar,23,123.0000
La Carmela,21,102.0000
La Carmela,19,174.0000
El Club,5,174.0000
Gutierrez,2,156.0000
Centenera,17,191.0000
DISC Echeverria,10,56.0000
Las Heras,14,87.0000
La Carmela,2,110.0000
Libertador,1,229.0000
Bonpland,3,200.0000
Santa Fe,6,30.0000
Maipu,12,144.0000
La Bandera,20,197.0000
Maipu,13,100.0000
La Bandera,13,413.0000
Bonpland,5,267.0000
Zarate Brazo Largo,3,79.0000
Las Heras,1,61.0000
Bulnes,19,292.0000
Los Incas,0,null
El Arco,20,535.0000
Pilar,1,69.0000
Olivos,16,317.0000
Los Incas,9,6.0000
Santa Rita,23,77.0000
Floresta,22,57.0000
Centenera,14,99.0000
Libertador,14,264.0000
Florencio Varela,19,422.0000
Gutierrez,21,92.0000
Olivos,15,188.0000
Zarate,20,64.0000
Cabildo,0,38.0000
Trelles,21,33.0000
DISC Caraffa,21,62.0000
Maipu,21,36.0000
Laferrere,14,131.0000
Maipu,3,79.0000
Fisherton,2,83.0000
Villa Luro,13,311.0000
Ovidio Lagos,1,119.0000
Maschwitz,14,36.0000
Maschwitz,11,71.0000
La Carmela,1,100.0000
Zarate,21,14.0000
Villa Allende,2,4.0000
DISC Caraffa,6,44.0000
Disc Panamericana,17,18.0000
Centenera,20,34.0000
DISC Echeverria,18,28.0000
Disc Panamericana,9,48.0000
Florencio Varela,3,37.0000
Garay,3,60.0000
Santa Fe,13,29.0000
Parque Sarmiento,23,33.0000
Maschwitz,17,98.0000
Las Heras,23,69.0000
DISC Echeverria,9,54.0000
Los Incas,14,null
Cabildo,2,18.0000
Los Incas,23,2.0000
Alberdi,19,20.0000
Alberdi,14,28.0000
DISC Echeverria,16,30.0000
DISC Echeverria,17,20.0000
DISC Echeverria,19,46.0000
Alberdi,22,12.0000
Maschwitz,2,24.0000
Dialogos,3,2.0000
La Bandera,5,null
Villa Allende,22,4.0000
DISC Caraffa,23,4.0000
Maschwitz,13,17.0000
Santa Fe,22,null
Gral Paz Provincia,7,2194.0000
Del Tejar,1,152.0000
Cabildo,1,34.0000
Fisherton,23,112.0000
Dialogos,17,827.0000
Bonpland,20,337.0000
Ovidio Lagos,19,435.0000
AUBASA LP-BA,15,1659.0000
Boulevard,19,492.0000
Parque Sarmiento,13,131.0000
Lima,0,719.0000
Alvear,4,342.0000
Maschwitz,19,64.0000
Emilio Castro,16,103.0000
Arroyo Seco,5,556.0000
Gutierrez,14,263.0000
Santa Fe,10,180.0000
El Club,19,1397.0000
Las Heras,12,160.0000
Trelles,8,317.0000
Luis Viale,18,358.0000
Ovidio Lagos,22,90.0000
Bonpland,11,921.0000
America,7,348.0000
Del Tejar,6,272.0000
AUBASA BA-LP,18,3196.0000
El Arco,9,1725.0000
Amanecer,11,402.0000
Alvear,13,507.0000
Alsina,11,363.0000
Gral Paz Capital,5,530.0000
Olivos,4,79.0000
Villa Luro,23,261.0000
El Club,23,503.0000
Zarate,13,94.0000
Florencio Varela,6,489.0000
Gral Paz Capital,18,1452.0000
CORS EVENTOS,9,2.0000
Santa Rita,22,101.0000
Santa Rita,10,525.0000
La Bandera,18,1075.0000
Santa Fe,17,64.0000
Zarate Brazo Largo,10,462.0000
America,17,510.0000
Buen Ayre,18,2593.0000
Maipu,2,118.0000
Fisherton,7,1303.0000
Villa Allende,13,358.0000
Bonpland,19,652.0000
AUBASA LP-BA,12,1043.0000
Alvear,18,1470.0000
Alsina,21,114.0000
Gral Paz Provincia,6,1682.0000
San Isidro,5,154.0000
Gral Paz Provincia,4,583.0000
Villa Luro,21,245.0000
Fisherton,14,650.0000
Las Heras,3,60.0000
Gutierrez,19,343.0000
Amanecer,16,293.0000
Luis Viale,7,219.0000
Arroyo Seco,20,1876.0000
Alvear,8,1388.0000
La Carmela,12,121.0000
El Arco,6,399.0000
Amanecer,8,553.0000
Amanecer,20,192.0000
La Bandera,8,832.0000
Emilio Castro,11,133.0000
Villa Luro,20,359.0000
El Club,22,386.0000
San Isidro,11,719.0000
Gutierrez,17,627.0000
Buen Ayre,22,304.0000
AUBASA LP-BA,13,717.0000
AUBASA LP-BA,7,1417.0000
Gral Paz Capital,19,1156.0000
AUBASA BA-LP,9,4803.0000
Garay,17,483.0000
Dialogos,8,839.0000
AUBASA LP-BA,14,938.0000
Florencio Varela,18,639.0000
Boulevard,14,341.0000
Luis Viale,9,410.0000
Lima,13,1278.0000
Villa Allende,16,541.0000
Del Tejar,7,682.0000
Fisherton,0,154.0000
Olivos,18,388.0000
Villa Luro,12,565.0000
CORS EVENTOS,15,2.0000
San Isidro,22,116.0000
Ovidio Lagos,15,303.0000
Del Tejar,13,159.0000
Arroyo Seco,9,10033.0000
Congreso,9,420.0000
Alvear,14,600.0000
Amanecer,19,269.0000
Bonpland,9,1076.0000
Bulnes,16,247.0000
Floresta,15,164.0000
Dialogos,19,475.0000
Buen Ayre,12,819.0000
Lima,11,3978.0000
Arroyo Seco,19,3637.0000
Alsina,2,113.0000
Gral Paz Capital,6,1084.0000
Zarate Brazo Largo,7,509.0000
Trelles,7,258.0000
Alberdi,15,34.0000
Villa Allende,8,1326.0000
Lima,2,579.0000
La Bandera,10,1180.0000
Trelles,22,50.0000
Floresta,7,634.0000
Floresta,12,208.0000
Laferrere,5,153.0000
Florencio Varela,16,549.0000
Villa Allende,20,509.0000
AUBASA LP-BA,19,1833.0000
Fisherton,10,3927.0000
Zarate,10,296.0000
Alvear,17,1455.0000
Alsina,19,159.0000
El Arco,14,222.0000
Libertador,11,586.0000
Parque Sarmiento,15,250.0000
Centenera,7,167.0000
El Arco,11,1377.0000
El Arco,18,1254.0000
Arroyo Seco,10,7783.0000
Libertador,0,213.0000
El Club,8,1670.0000
Pilar,9,1243.0000
Fisherton,6,904.0000
Santa Fe,9,208.0000
Del Tejar,8,595.0000
Bonpland,15,502.0000
Libertador,13,310.0000
America,16,336.0000
Bonpland,21,277.0000
Laferrere,22,129.0000
Zarate Brazo Largo,5,242.0000
AUBASA BA-LP,6,2701.0000
Luis Viale,1,119.0000
Alsina,15,216.0000
Alvear,3,302.0000
Luis Viale,4,87.0000
Pilar,16,396.0000
Disc Panamericana,8,20.0000
Villa Allende,6,344.0000
El Arco,12,650.0000
Alvear,21,349.0000
Florencio Varela,20,195.0000
Gral Paz Capital,16,1088.0000
Olivos,23,211.0000
Alvear,16,1314.0000
Gral Paz Capital,1,411.0000
Ovidio Lagos,21,117.0000
Quilmes,4,113.0000
La Carmela,4,148.0000
Santa Fe,8,169.0000
Congreso,5,103.0000
Villa Luro,5,471.0000
Garay,16,449.0000
Pilar,12,285.0000
Emilio Castro,22,15.0000
Gral Paz Provincia,11,1716.0000
Pilar,10,1043.0000
Maschwitz,8,220.0000
Laferrere,23,175.0000
Amanecer,14,174.0000
Pilar,17,583.0000
Pilar,15,349.0000
Garay,15,281.0000
Libertador,18,844.0000
Gral Paz Provincia,15,1026.0000
Laferrere,13,147.0000
Santa Rita,18,515.0000
Buen Ayre,21,318.0000
Parque Sarmiento,9,648.0000
AUBASA LP-BA,23,323.0000
Villa Luro,19,746.0000
Buen Ayre,6,865.0000
Laferrere,11,376.0000
La Carmela,13,85.0000
CORS EVENTOS,11,null
Dialogos,6,521.0000
Libertador,4,97.0000
Dialogos,14,181.0000
San Isidro,19,517.0000
La Carmela,11,239.0000
Alvear,10,1612.0000
Villa Luro,7,708.0000
Boulevard,11,1000.0000
Alsina,10,447.0000
Fisherton,11,2695.0000
Boulevard,10,1492.0000
Parque Sarmiento,1,39.0000
DISC Echeverria,4,55.0000
Alberdi,10,62.0000
Maipu,1,157.0000
Parque Sarmiento,2,27.0000
Las Heras,19,135.0000
Congreso,0,105.0000
Santa Rita,4,73.0000
America,14,129.0000
Zarate Brazo Largo,19,161.0000
Los Incas,22,4.0000
Fisherton,21,132.0000
Parque Sarmiento,14,166.0000
Emilio Castro,4,58.0000
Del Tejar,2,124.0000
Disc Panamericana,10,27.0000
Luis Viale,11,500.0000
CORS EVENTOS,12,null
Maipu,6,243.0000
Ovidio Lagos,13,214.0000
America,2,86.0000
America,20,153.0000
Buen Ayre,1,303.0000
Las Heras,7,256.0000
Olivos,3,101.0000
Cabildo,16,45.0000
Garay,22,92.0000
Gutierrez,12,210.0000
Santa Rita,15,389.0000
Garay,23,77.0000
Floresta,21,84.0000
Olivos,21,122.0000
Olivos,19,352.0000
CORS EVENTOS,14,2.0000
Pilar,3,63.0000
Las Heras,13,121.0000
Ovidio Lagos,14,288.0000
Alberdi,17,41.0000
Maschwitz,7,166.0000
Santa Fe,21,14.0000
Los Incas,18,4.0000
Alsina,23,176.0000
Garay,21,93.0000
Las Heras,22,37.0000
Emilio Castro,20,58.0000
Las Heras,20,71.0000
Disc Panamericana,19,12.0000
Villa Allende,21,188.0000
Alberdi,8,94.0000
Centenera,21,29.0000
Cabildo,21,15.0000
Dialogos,13,123.0000
DISC Echeverria,14,8.0000
Emilio Castro,2,37.0000
Emilio Castro,15,63.0000
Ovidio Lagos,2,77.0000
Garay,4,81.0000
America,13,104.0000
Luis Viale,21,86.0000
Trelles,0,112.0000
Los Incas,13,2.0000
Maschwitz,5,52.0000
Zarate,3,null
Alberdi,12,21.0000
DISC Echeverria,22,12.0000
Alberdi,5,35.0000
Cabildo,13,18.0000
DISC Echeverria,20,10.0000
Centenera,3,20.0000
Cabildo,23,11.0000
Boulevard,21,50.0000
Centenera,5,27.0000
Parque Sarmiento,22,32.0000
Los Incas,16,2.0000
Del Tejar,21,63.0000
Las Heras,0,55.0000
Santa Rita,3,70.0000
Villa Allende,5,12.0000
Santa Fe,14,23.0000
Disc Panamericana,14,6.0000
Dialogos,4,null
Maschwitz,22,6.0000
Alberdi,3,6.0000
Disc Panamericana,20,5.0000
Villa Allende,1,8.0000
Disc Panamericana,23,null
DISC Echeverria,23,3.0000
Disc Panamericana,3,null
Villa Luro,8,1384.0000
Villa Allende,11,1401.0000
Libertador,20,245.0000
Parque Sarmiento,0,42.0000
El Club,14,800.0000
Centenera,6,108.0000
Floresta,16,296.0000
Libertador,22,118.0000
Fisherton,9,2929.0000
Emilio Castro,3,34.0000
Pilar,19,422.0000
Zarate Brazo Largo,9,462.0000
Maipu,9,278.0000
AUBASA BA-LP,17,2956.0000
AUBASA LP-BA,10,2820.0000
Gral Paz Provincia,3,456.0000
Buen Ayre,5,577.0000
AUBASA BA-LP,10,4132.0000
La Carmela,7,681.0000
Olivos,9,408.0000
AUBASA BA-LP,7,3867.0000
Quilmes,6,435.0000
America,3,66.0000
Los Incas,20,null
Bonpland,23,308.0000
Fisherton,3,54.0000
Gral Paz Provincia,17,1738.0000
Gral Paz Capital,10,2618.0000
Bonpland,10,1133.0000
Zarate,9,305.0000
Garay,18,476.0000
Floresta,9,317.0000
AUBASA BA-LP,16,2185.0000
Laferrere,1,147.0000
Zarate,22,16.0000
Arroyo Seco,17,5854.0000
Congreso,10,493.0000
Boulevard,15,531.0000
AUBASA LP-BA,18,2892.0000
Quilmes,17,658.0000
Congreso,7,334.0000
Pilar,14,173.0000
Parque Sarmiento,5,27.0000
Del Tejar,16,317.0000
Amanecer,1,106.0000
Florencio Varela,14,252.0000
Gral Paz Provincia,20,830.0000
Libertador,9,747.0000
Buen Ayre,4,185.0000
Cabildo,8,49.0000
Boulevard,20,177.0000
El Arco,15,346.0000
Libertador,23,175.0000
Alsina,20,120.0000
Las Heras,11,236.0000
