estacion,hora,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
San Isidro,6,1286.0000,1326.0000,810.0000,476.0000,587.0000,739.0000
Gutierrez,16,252.0000,598.0000,109.0000,143.0000,227.0000,371.0000
DISC Echeverria,16,null,24.0000,null,null,null,24.0000
DISC Echeverria,19,null,44.0000,null,null,null,44.0000
Bulnes,13,61.0000,302.0000,36.0000,25.0000,75.0000,227.0000
La Bandera,14,128.0000,730.0000,99.0000,29.0000,132.0000,598.0000
Las Heras,8,848.0000,667.0000,604.0000,244.0000,336.0000,331.0000
Ovidio Lagos,17,242.0000,989.0000,76.0000,166.0000,178.0000,811.0000
Boulevard,9,1107.0000,3125.0000,623.0000,484.0000,1318.0000,1807.0000
Dialogos,18,583.0000,1301.0000,361.0000,222.0000,698.0000,603.0000
Centenera,20,47.0000,65.0000,27.0000,20.0000,30.0000,35.0000
Las Heras,1,128.0000,108.0000,96.0000,32.0000,32.0000,76.0000
America,8,1391.0000,1352.0000,799.0000,592.0000,1.0000,1351.0000
La Bandera,6,189.0000,386.0000,132.0000,57.0000,197.0000,189.0000
Mitre,7,null,null,null,null,null,null
DISC Echeverria,9,null,94.0000,null,null,null,94.0000
Zarate,18,514.0000,381.0000,360.0000,154.0000,169.0000,212.0000
Gral Paz Capital,4,1695.0000,643.0000,1473.0000,222.0000,null,643.0000
Las Heras,5,695.0000,244.0000,454.0000,241.0000,84.0000,160.0000
Los Incas,14,158.0000,10.0000,109.0000,49.0000,null,10.0000
Laferrere,7,993.0000,1088.0000,640.0000,353.0000,777.0000,311.0000
AUBASA BA-LP,8,5034.0000,7180.0000,2948.0000,2086.0000,4120.0000,3060.0000
Santa Fe,20,54.0000,33.0000,33.0000,21.0000,11.0000,22.0000
Del Tejar,11,745.0000,1512.0000,642.0000,103.0000,595.0000,917.0000
Bulnes,21,17.0000,134.0000,10.0000,7.0000,56.0000,78.0000
Gutierrez,18,349.0000,812.0000,202.0000,147.0000,371.0000,441.0000
Arroyo Seco,7,7401.0000,8935.0000,4176.0000,3225.0000,5121.0000,3814.0000
Mitre,12,null,null,null,null,null,null
Luis Viale,8,1093.0000,1438.0000,217.0000,876.0000,484.0000,954.0000
Mitre,15,null,null,null,null,null,null
Ovidio Lagos,1,44.0000,131.0000,13.0000,31.0000,40.0000,91.0000
Floresta,19,164.0000,434.0000,31.0000,133.0000,157.0000,277.0000
Dialogos,11,476.0000,1180.0000,292.0000,184.0000,618.0000,562.0000
Maschwitz,14,null,80.0000,null,null,null,80.0000
Gral Paz Capital,13,472.0000,1000.0000,247.0000,225.0000,null,1000.0000
Gutierrez,0,69.0000,182.0000,29.0000,40.0000,48.0000,134.0000
El Arco,8,1517.0000,2303.0000,889.0000,628.0000,1296.0000,1007.0000
Alsina,8,733.0000,1308.0000,288.0000,445.0000,490.0000,818.0000
Gral Paz Capital,14,519.0000,1298.0000,309.0000,210.0000,null,1298.0000
Luis Viale,15,259.0000,1107.0000,78.0000,181.0000,189.0000,918.0000
Mitre,11,null,null,null,null,null,null
San Isidro,12,462.0000,971.0000,217.0000,245.0000,280.0000,691.0000
Los Incas,0,92.0000,2.0000,68.0000,24.0000,null,2.0000
Bulnes,19,75.0000,481.0000,50.0000,25.0000,169.0000,312.0000
AUBASA BA-LP,4,783.0000,520.0000,410.0000,373.0000,202.0000,318.0000
Maschwitz,2,null,50.0000,null,null,null,50.0000
Bulnes,1,null,null,null,null,null,null
El Arco,20,246.0000,706.0000,123.0000,123.0000,281.0000,425.0000
La Carmela,20,199.0000,214.0000,83.0000,116.0000,69.0000,145.0000
Olivos,16,415.0000,816.0000,329.0000,86.0000,318.0000,498.0000
Gral Paz Capital,22,420.0000,431.0000,342.0000,78.0000,null,431.0000
La Carmela,5,690.0000,536.0000,410.0000,280.0000,329.0000,207.0000
Amanecer,3,75.0000,149.0000,24.0000,51.0000,1.0000,148.0000
Pilar,5,477.0000,198.0000,226.0000,251.0000,129.0000,69.0000
Pilar,1,154.0000,104.0000,51.0000,103.0000,49.0000,55.0000
AUBASA BA-LP,19,1955.0000,2642.0000,837.0000,1118.0000,1116.0000,1526.0000
Alsina,9,753.0000,1320.0000,258.0000,495.0000,505.0000,815.0000
Los Incas,9,1064.0000,21.0000,940.0000,124.0000,1.0000,20.0000
Floresta,17,298.0000,671.0000,87.0000,211.0000,193.0000,478.0000
Gutierrez,6,487.0000,471.0000,264.0000,223.0000,246.0000,225.0000
Boulevard,2,null,null,null,null,null,null
Gral Paz Provincia,7,4603.0000,4575.0000,3114.0000,1489.0000,2300.0000,2275.0000
Alberdi,10,null,133.0000,null,null,null,133.0000
Fisherton,23,29.0000,120.0000,2.0000,27.0000,null,120.0000
Del Tejar,1,182.0000,266.0000,120.0000,62.0000,88.0000,178.0000
DISC Echeverria,4,null,72.0000,null,null,null,72.0000
Maipu,1,132.0000,220.0000,70.0000,62.0000,35.0000,185.0000
Cabildo,1,59.0000,40.0000,31.0000,28.0000,21.0000,19.0000
Pilar,3,157.0000,115.0000,71.0000,86.0000,91.0000,24.0000
Bonpland,20,254.0000,677.0000,172.0000,82.0000,228.0000,449.0000
Dialogos,17,622.0000,1370.0000,428.0000,194.0000,751.0000,619.0000
Ovidio Lagos,19,189.0000,805.0000,51.0000,138.0000,135.0000,670.0000
Parque Sarmiento,2,138.0000,47.0000,130.0000,8.0000,10.0000,37.0000
Boulevard,19,242.0000,734.0000,139.0000,103.0000,242.0000,492.0000
Parque Sarmiento,13,262.0000,510.0000,184.0000,78.0000,120.0000,390.0000
Santa Fe,14,74.0000,62.0000,32.0000,42.0000,11.0000,51.0000
AUBASA LP-BA,15,1290.0000,2470.0000,488.0000,802.0000,813.0000,1657.0000
Maschwitz,19,null,109.0000,null,null,null,109.0000
Congreso,0,170.0000,168.0000,55.0000,115.0000,36.0000,132.0000
Gutierrez,14,124.0000,344.0000,46.0000,78.0000,106.0000,238.0000
Las Heras,19,309.0000,379.0000,181.0000,128.0000,120.0000,259.0000
Las Heras,13,231.0000,361.0000,140.0000,91.0000,151.0000,210.0000
Lima,0,1266.0000,873.0000,445.0000,821.0000,269.0000,604.0000
Emilio Castro,16,165.0000,264.0000,64.0000,101.0000,71.0000,193.0000
Alvear,4,363.0000,783.0000,229.0000,134.0000,408.0000,375.0000
Arroyo Seco,5,937.0000,659.0000,539.0000,398.0000,373.0000,286.0000
Santa Fe,10,344.0000,249.0000,196.0000,148.0000,93.0000,156.0000
Luis Viale,18,367.0000,1083.0000,149.0000,218.0000,287.0000,796.0000
Trelles,8,768.0000,1005.0000,469.0000,299.0000,404.0000,601.0000
El Club,19,651.0000,2335.0000,347.0000,304.0000,1002.0000,1333.0000
Las Heras,12,243.0000,404.0000,141.0000,102.0000,156.0000,248.0000
Ovidio Lagos,22,37.0000,143.0000,8.0000,29.0000,22.0000,121.0000
Cabildo,13,114.0000,127.0000,60.0000,54.0000,51.0000,76.0000
America,7,1066.0000,1171.0000,549.0000,517.0000,null,1171.0000
Bonpland,11,858.0000,2210.0000,446.0000,412.0000,782.0000,1428.0000
Del Tejar,6,743.0000,804.0000,651.0000,92.0000,407.0000,397.0000
Alvear,13,343.0000,1352.0000,166.0000,177.0000,409.0000,943.0000
Amanecer,11,542.0000,950.0000,217.0000,325.0000,null,950.0000
AUBASA BA-LP,18,2594.0000,4331.0000,1252.0000,1342.0000,2116.0000,2215.0000
El Arco,9,1424.0000,2743.0000,867.0000,557.0000,1394.0000,1349.0000
Villa Luro,23,196.0000,360.0000,60.0000,136.0000,80.0000,280.0000
Gral Paz Capital,5,2883.0000,983.0000,2520.0000,363.0000,null,983.0000
Olivos,4,222.0000,143.0000,214.0000,8.0000,94.0000,49.0000
Alsina,11,494.0000,951.0000,154.0000,340.0000,362.0000,589.0000
Rosario Sur,11,null,null,null,null,null,null
Rivadavia,21,null,null,null,null,null,null
Santa Rita,4,238.0000,171.0000,24.0000,214.0000,24.0000,147.0000
Emilio Castro,15,134.0000,214.0000,52.0000,82.0000,64.0000,150.0000
Zarate,13,212.0000,249.0000,114.0000,98.0000,109.0000,140.0000
El Club,23,184.0000,660.0000,77.0000,107.0000,144.0000,516.0000
Gral Paz Capital,18,1750.0000,2370.0000,1175.0000,575.0000,null,2370.0000
America,14,253.0000,405.0000,93.0000,160.0000,null,405.0000
Florencio Varela,6,1038.0000,976.0000,493.0000,545.0000,625.0000,351.0000
Rosario Sur,5,null,null,null,null,null,null
Boulevard,5,2.0000,null,1.0000,1.0000,null,null
DISC Echeverria,23,null,44.0000,null,null,null,44.0000
Ovidio Lagos,2,34.0000,103.0000,5.0000,29.0000,26.0000,77.0000
El Arco,1,null,null,null,null,null,null
Zarate Brazo Largo,19,383.0000,274.0000,295.0000,88.0000,24.0000,250.0000
Ovidio Lagos,14,110.0000,564.0000,28.0000,82.0000,70.0000,494.0000
Santa Fe,17,175.0000,88.0000,68.0000,107.0000,24.0000,64.0000
La Bandera,18,238.0000,1786.0000,161.0000,77.0000,325.0000,1461.0000
Santa Rita,10,375.0000,1009.0000,52.0000,323.0000,116.0000,893.0000
Santa Rita,22,66.0000,169.0000,4.0000,62.0000,15.0000,154.0000
America,13,173.0000,375.0000,91.0000,82.0000,null,375.0000
Garay,4,145.0000,194.0000,56.0000,89.0000,55.0000,139.0000
Alberdi,17,null,97.0000,null,null,null,97.0000
America,17,337.0000,1050.0000,115.0000,222.0000,null,1050.0000
Zarate Brazo Largo,10,513.0000,736.0000,421.0000,92.0000,24.0000,712.0000
Maipu,2,97.0000,200.0000,67.0000,30.0000,50.0000,150.0000
Buen Ayre,18,1407.0000,3426.0000,844.0000,563.0000,1673.0000,1753.0000
Maschwitz,7,null,419.0000,null,null,null,419.0000
Disc Panamericana,20,2.0000,9.0000,null,2.0000,null,9.0000
Alvear,18,746.0000,2946.0000,401.0000,345.0000,1484.0000,1462.0000
Fisherton,7,1856.0000,3793.0000,868.0000,988.0000,null,3793.0000
Rosario Sur,17,null,null,null,null,null,null
Bonpland,19,595.0000,1338.0000,356.0000,239.0000,546.0000,792.0000
AUBASA LP-BA,12,1124.0000,1775.0000,528.0000,596.0000,571.0000,1204.0000
Villa Allende,13,177.0000,654.0000,119.0000,58.0000,109.0000,545.0000
Alsina,21,280.0000,421.0000,60.0000,220.0000,75.0000,346.0000
Gral Paz Provincia,6,3309.0000,3550.0000,2048.0000,1261.0000,1954.0000,1596.0000
Gral Paz Provincia,4,1320.0000,848.0000,654.0000,666.0000,385.0000,463.0000
San Isidro,5,796.0000,355.0000,516.0000,280.0000,189.0000,166.0000
