estacion,hora,dia_semana,q_cafes_llevar_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_llevar_algo_otros_sinbakery_alfajor_cachafaz,q_cafes_local_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_local_algo_otros_sinbakery_alfajor_cachafaz
Buen Ayre,10,7,2.0000,1.0000,,5.0000
Laferrere,18,7,,,,
Las Heras,13,3,,1.0000,8.0000,3.0000
Luis Viale,20,2,,,,
Villa Allende,22,7,,,,2.0000
Santa Rita,14,7,,,,1.0000
Del Tejar,23,7,,,,
Gral Paz Capital,15,2,2.0000,4.0000,2.0000,12.0000
Zarate Brazo Largo,21,2,2.0000,,,
Zarate,16,3,1.0000,,,1.0000
El Arco,15,7,1.0000,,,1.0000
La Carmela,7,3,1.0000,,,1.0000
AUBASA LP-BA,14,6,3.0000,6.0000,,8.0000
Gral Paz Provincia,16,2,3.0000,5.0000,,6.0000
Trelles,22,7,2.0000,,,
Quilmes,4,3,,,,
Dialogos,15,3,1.0000,,,4.0000
Congreso,5,6,,,,
Santa Rita,18,6,,,,
Maschwitz,5,5,1.0000,,,
Floresta,13,4,,,,
Gral Paz Capital,16,5,2.0000,4.0000,1.0000,9.0000
Cabildo,12,5,1.0000,,,
Buen Ayre,13,2,1.0000,1.0000,,8.0000
Los Incas,22,4,,,,
Laferrere,9,6,,1.0000,,
Villa Luro,21,3,,1.0000,1.0000,3.0000
AUBASA BA-LP,18,5,13.0000,11.0000,,4.0000
El Club,18,3,2.0000,2.0000,2.0000,3.0000
El Arco,4,7,,2.0000,,1.0000
San Isidro,0,5,,,,5.0000
Amanecer,21,5,2.0000,1.0000,1.0000,5.0000
Santa Rita,13,2,,,,2.0000
Garay,17,7,2.0000,,1.0000,1.0000
Floresta,20,2,,,,
Laferrere,10,7,,,,
La Carmela,0,3,,1.0000,,
Luis Viale,19,7,,,,2.0000
El Club,14,6,,,1.0000,11.0000
La Carmela,13,7,,,,
Trelles,3,2,,,,1.0000
San Isidro,18,1,1.0000,,,4.0000
Zarate,7,5,1.0000,,,1.0000
Buen Ayre,11,1,2.0000,6.0000,,
