estacion,hora,dia_semana,q_cafes_llevar_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_llevar_algo_otros_sinbakery_alfajor_cachafaz,q_cafes_local_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_local_algo_otros_sinbakery_alfajor_cachafaz
Zarate Brazo Largo,14,5,1.0000,2.0000,,2.0000
El Club,23,7,2.0000,,,11.0000
Gral Paz Capital,19,5,,3.0000,4.0000,7.0000
Villa Allende,17,6,,2.0000,,3.0000
Olivos,19,6,,,1.0000,1.0000
Gutierrez,19,3,,,,
Alvear,17,1,7.0000,2.0000,2.0000,10.0000
Boulevard,14,4,1.0000,,1.0000,8.0000
Trelles,18,3,,2.0000,,
Alvear,11,1,2.0000,3.0000,,
Gral Paz Capital,18,2,1.0000,2.0000,4.0000,7.0000
Gral Paz Provincia,0,6,1.0000,1.0000,3.0000,8.0000
Boulevard,16,6,,,,3.0000
Florencio Varela,3,5,,,,
Pilar,23,1,,2.0000,,
Florencio Varela,3,6,,1.0000,1.0000,
Del Tejar,23,4,,,,
Villa Luro,16,6,,,,5.0000
Villa Luro,0,6,,3.0000,1.0000,8.0000
Zarate Brazo Largo,14,7,,3.0000,,4.0000
Buen Ayre,2,7,1.0000,2.0000,,6.0000
Pilar,22,3,,1.0000,,2.0000
La Bandera,20,2,,,,2.0000
Olivos,23,7,,,1.0000,
Quilmes,5,5,,2.0000,5.0000,1.0000
Maschwitz,4,2,,,,
Emilio Castro,10,6,,2.0000,1.0000,
Arroyo Seco,12,4,2.0000,7.0000,1.0000,9.0000
America,23,4,1.0000,,1.0000,6.0000
Amanecer,13,7,1.0000,,,
Alsina,11,3,,1.0000,,
Alsina,14,5,,,,1.0000
La Bandera,19,2,,,,4.0000
Buen Ayre,23,4,1.0000,,1.0000,4.0000
Luis Viale,17,1,,1.0000,,
San Isidro,20,3,,,1.0000,2.0000
AUBASA LP-BA,8,6,6.0000,7.0000,,
America,4,1,,,2.0000,
San Isidro,11,2,1.0000,2.0000,2.0000,5.0000
Ovidio Lagos,11,3,,,,2.0000
Florencio Varela,15,7,,1.0000,,
San Isidro,1,6,2.0000,,1.0000,4.0000
Zarate,22,4,,,,
Santa Fe,20,4,,,,
Santa Fe,17,6,,,,1.0000
Arroyo Seco,4,7,3.0000,1.0000,1.0000,
Dialogos,13,3,,,,2.0000
Buen Ayre,11,7,1.0000,2.0000,,3.0000
Centenera,8,2,,1.0000,,3.0000
Bonpland,16,5,3.0000,2.0000,1.0000,4.0000
Florencio Varela,16,4,,,,2.0000
Trelles,0,1,1.0000,1.0000,,1.0000
America,8,5,,,,
Zarate Brazo Largo,12,3,4.0000,2.0000,,3.0000
AUBASA BA-LP,9,5,6.0000,2.0000,2.0000,1.0000
Maipu,19,5,1.0000,,,
Luis Viale,4,5,,2.0000,,2.0000
Dialogos,1,3,,,,
Gral Paz Provincia,1,5,2.0000,,,2.0000
Bonpland,7,1,,,,2.0000
AUBASA BA-LP,13,2,1.0000,,2.0000,7.0000
Maipu,14,3,,,,3.0000
Buen Ayre,23,6,,2.0000,2.0000,10.0000
Gral Paz Provincia,13,2,1.0000,2.0000,1.0000,2.0000
Garay,17,4,,,1.0000,4.0000
Zarate Brazo Largo,23,7,2.0000,,,
Las Heras,7,6,1.0000,,,4.0000
Alberdi,14,2,,,,
San Isidro,17,2,2.0000,,1.0000,1.0000
Gral Paz Capital,13,6,,,,5.0000
Los Incas,16,4,2.0000,3.0000,,
Gutierrez,11,5,,,,
Del Tejar,8,1,,,,
Villa Luro,13,2,,4.0000,,
Fisherton,14,2,1.0000,2.0000,,6.0000
Villa Allende,23,6,,,,
Dialogos,22,1,,,,
Amanecer,16,5,3.0000,3.0000,3.0000,9.0000
Alvear,23,1,,2.0000,,4.0000
AUBASA BA-LP,22,5,3.0000,1.0000,1.0000,7.0000
Los Incas,9,4,2.0000,3.0000,,
Lima,6,6,5.0000,2.0000,,2.0000
El Club,16,7,1.0000,6.0000,3.0000,12.0000
Congreso,2,3,,,,
Alvear,9,3,,2.0000,1.0000,1.0000
Villa Allende,12,4,,,1.0000,2.0000
Amanecer,18,6,,2.0000,5.0000,
Villa Allende,13,5,,,,1.0000
Las Heras,11,1,,,1.0000,1.0000
Zarate Brazo Largo,21,4,,1.0000,,3.0000
Buen Ayre,6,6,3.0000,3.0000,,2.0000
El Arco,16,3,,,,2.0000
Olivos,13,2,,,,
Congreso,14,7,,,,2.0000
El Club,16,4,,1.0000,1.0000,13.0000
Ovidio Lagos,16,5,,,,3.0000
El Arco,3,7,,1.0000,,1.0000
AUBASA BA-LP,5,4,,,,
Las Heras,14,2,,1.0000,,1.0000
Olivos,9,1,,,,1.0000
Parque Sarmiento,23,4,,2.0000,,3.0000
Trelles,22,2,,,,2.0000
Ovidio Lagos,12,2,,,,3.0000
Buen Ayre,1,6,,1.0000,,1.0000
Fisherton,14,7,1.0000,,,5.0000
Ovidio Lagos,18,7,,1.0000,,4.0000
Laferrere,20,2,,,1.0000,
Maipu,15,1,,,,1.0000
Zarate Brazo Largo,19,2,4.0000,3.0000,,
El Club,15,4,2.0000,2.0000,1.0000,12.0000
Emilio Castro,11,5,,,,
Zarate,17,1,,5.0000,,1.0000
El Club,16,3,2.0000,1.0000,1.0000,11.0000
Zarate,8,6,,2.0000,,
AUBASA BA-LP,6,6,2.0000,3.0000,2.0000,1.0000
San Isidro,21,1,,1.0000,,2.0000
Dialogos,23,3,,,,1.0000
Los Incas,8,7,1.0000,1.0000,,
Bulnes,15,5,,,1.0000,4.0000
CORS Alem,9,2,6.0000,,,
Florencio Varela,4,5,,,,
Maipu,0,4,2.0000,1.0000,,1.0000
Dialogos,21,6,,2.0000,,
AUBASA BA-LP,5,1,3.0000,1.0000,1.0000,
Los Incas,17,4,,1.0000,,
Trelles,20,4,,,,
Emilio Castro,10,7,,2.0000,,1.0000
San Isidro,21,6,,2.0000,,
Quilmes,21,3,,,,2.0000
OPERADOR LOGISTICO 2,12,7,,,,1991.0000
Zarate Brazo Largo,8,7,8.0000,4.0000,1.0000,1.0000
Buen Ayre,14,1,1.0000,3.0000,2.0000,14.0000
Los Incas,23,2,,,,
Alvear,17,4,2.0000,1.0000,5.0000,11.0000
Lima,11,4,5.0000,3.0000,4.0000,7.0000
Dialogos,22,3,2.0000,1.0000,1.0000,1.0000
OPERADOR LOGISTICO 2,14,7,,,,2633.0000
Quilmes,17,4,,2.0000,,5.0000
Alsina,4,3,,,,3.0000
Villa Luro,6,2,,,,
CORS Alem,15,3,,1.0000,,
Lima,6,7,,2.0000,,
Villa Luro,22,2,,,,14.0000
Zarate,0,3,,,,
Parque Sarmiento,0,1,,2.0000,,2.0000
Fisherton,14,6,1.0000,2.0000,,14.0000
El Club,18,5,2.0000,,,3.0000
AUBASA LP-BA,7,4,3.0000,3.0000,,
Las Heras,6,7,5.0000,2.0000,4.0000,
America,12,6,,1.0000,,2.0000
Los Incas,2,7,1.0000,2.0000,,
AUBASA LP-BA,17,5,5.0000,10.0000,,7.0000
La Bandera,14,2,,,,1.0000
Los Incas,18,6,1.0000,2.0000,,
Emilio Castro,1,6,4.0000,,,1.0000
Olivos,8,4,,,,
San Isidro,1,3,,,2.0000,1.0000
Amanecer,1,1,,,3.0000,4.0000
AUBASA BA-LP,21,6,1.0000,1.0000,,3.0000
Olivos,12,5,,,,1.0000
Zarate Brazo Largo,4,6,,,,
AUBASA LP-BA,6,1,2.0000,3.0000,,
Pilar,9,3,,,3.0000,1.0000
Ovidio Lagos,2,5,,,,1.0000
Santa Fe,10,7,,1.0000,,
Parque Sarmiento,7,1,1.0000,,,7.0000
Bulnes,13,7,,,,
Boulevard,6,6,1.0000,,,1.0000
San Isidro,13,1,,1.0000,,
Garay,15,5,,,,2.0000
Luis Viale,19,1,2.0000,,,
Congreso,22,5,,1.0000,,2.0000
Zarate,23,5,,,,
AUBASA BA-LP,20,4,1.0000,5.0000,2.0000,2.0000
Florencio Varela,1,7,,,5.0000,5.0000
Gral Paz Provincia,14,3,1.0000,,2.0000,11.0000
Amanecer,3,7,1.0000,1.0000,1.0000,6.0000
AUBASA LP-BA,14,1,3.0000,6.0000,2.0000,4.0000
Trelles,22,4,,1.0000,,
Maipu,17,7,,,,1.0000
Amanecer,9,7,3.0000,,1.0000,1.0000
Zarate,21,4,,,,
Fisherton,23,6,,1.0000,4.0000,20.0000
Ovidio Lagos,15,4,,2.0000,1.0000,
Las Heras,22,5,,,,3.0000
La Carmela,4,1,1.0000,1.0000,,
AUBASA LP-BA,2,7,1.0000,5.0000,1.0000,7.0000
Alsina,16,4,,,,5.0000
Emilio Castro,1,5,2.0000,1.0000,,
Bulnes,17,1,2.0000,,,1.0000
La Bandera,17,4,,1.0000,1.0000,2.0000
Olivos,8,6,,,,1.0000
Florencio Varela,0,3,,,1.0000,
Bonpland,10,5,3.0000,,1.0000,1.0000
San Isidro,10,6,,2.0000,1.0000,1.0000
Quilmes,5,3,,3.0000,5.0000,
Arroyo Seco,21,4,1.0000,5.0000,,
Florencio Varela,14,1,,1.0000,,
Pilar,3,1,,,,
Maschwitz,21,6,,1.0000,,
La Carmela,6,1,,2.0000,,
Fisherton,19,6,,1.0000,,6.0000
Maschwitz,2,1,,1.0000,,
Gral Paz Provincia,0,3,1.0000,1.0000,1.0000,6.0000
Zarate Brazo Largo,2,1,,2.0000,,3.0000
La Bandera,17,5,,,,4.0000
OPERADOR LOGISTICO,16,3,,,,
La Carmela,11,1,,,,
Florencio Varela,13,1,1.0000,,,1.0000
Cabildo,20,4,1.0000,,,
Villa Allende,12,2,,,1.0000,
Boulevard,23,7,,,,
Ovidio Lagos,3,1,,,,2.0000
Alsina,17,4,2.0000,2.0000,,
El Club,6,4,1.0000,,,
Alsina,7,7,2.0000,,,
AUBASA BA-LP,6,5,1.0000,2.0000,,
Bonpland,3,2,,,,3.0000
Cabildo,9,1,1.0000,,,
Bonpland,6,2,,1.0000,,
Santa Fe,16,5,1.0000,1.0000,,
Centenera,21,6,,1.0000,,
Centenera,7,5,2.0000,3.0000,,
Alvear,3,4,1.0000,1.0000,,2.0000
Gutierrez,17,5,,2.0000,4.0000,
Fisherton,0,6,2.0000,2.0000,3.0000,1.0000
Ovidio Lagos,19,3,,,,2.0000
Floresta,23,6,,1.0000,,1.0000
Garay,21,7,,,,1.0000
Luis Viale,1,6,2.0000,1.0000,1.0000,
America,14,4,,,2.0000,4.0000
Villa Luro,20,1,,2.0000,,2.0000
AUBASA BA-LP,7,4,3.0000,4.0000,3.0000,
AUBASA LP-BA,12,2,1.0000,2.0000,,3.0000
Florencio Varela,11,4,,,,
San Isidro,6,6,3.0000,3.0000,,
Centenera,23,4,,1.0000,,
Santa Fe,18,5,,1.0000,,
Alvear,6,5,1.0000,1.0000,2.0000,6.0000
Cabildo,8,6,,,,
Gral Paz Capital,1,6,2.0000,1.0000,,2.0000
Arroyo Seco,1,6,5.0000,6.0000,2.0000,2.0000
Fisherton,13,1,1.0000,,,1.0000
Zarate Brazo Largo,19,5,,2.0000,,
Floresta,17,6,,1.0000,1.0000,2.0000
Amanecer,16,7,,2.0000,,1.0000
Zarate,1,2,,,,2.0000
Villa Luro,15,6,,1.0000,1.0000,3.0000
Del Tejar,23,2,,,,2.0000
El Arco,16,7,,,,1.0000
AUBASA BA-LP,3,7,5.0000,3.0000,,2.0000
Gral Paz Provincia,3,2,2.0000,2.0000,,
Amanecer,22,6,,,,12.0000
Boulevard,21,3,,,,
Santa Rita,20,6,,,,2.0000
La Carmela,4,6,,,,
Pilar,14,7,1.0000,,1.0000,3.0000
AUBASA LP-BA,12,3,1.0000,6.0000,1.0000,3.0000
AUBASA BA-LP,3,5,2.0000,1.0000,,
Amanecer,21,1,,3.0000,2.0000,1.0000
Laferrere,23,6,,1.0000,,2.0000
Bulnes,11,3,,,1.0000,3.0000
Amanecer,13,2,,,2.0000,1.0000
Zarate Brazo Largo,13,4,,2.0000,,2.0000
Santa Rita,7,1,,,,
Parque Sarmiento,22,2,,,1.0000,6.0000
Fisherton,7,7,2.0000,,,
Ovidio Lagos,8,5,10.0000,3.0000,,1.0000
Cabildo,17,5,1.0000,,,
El Club,7,4,2.0000,2.0000,,2.0000
Del Tejar,1,5,,2.0000,,
Bonpland,13,5,,,,2.0000
Pilar,12,4,,,2.0000,1.0000
Laferrere,2,7,,,1.0000,3.0000
Floresta,2,3,,,,4.0000
Luis Viale,15,3,,,1.0000,2.0000
Buen Ayre,23,5,,2.0000,,6.0000
Laferrere,15,3,,,,2.0000
Emilio Castro,15,5,1.0000,1.0000,,1.0000
Zarate,0,5,1.0000,1.0000,,
Santa Rita,23,7,,,,1.0000
Dialogos,0,1,,,,6.0000
Luis Viale,5,4,,,,
Alsina,21,3,,,,
Villa Luro,18,1,2.0000,1.0000,,2.0000
Ovidio Lagos,12,6,,1.0000,,4.0000
Zarate Brazo Largo,10,1,1.0000,3.0000,,2.0000
Garay,12,2,,,,2.0000
Zarate,2,7,2.0000,,3.0000,3.0000
Fisherton,23,2,,,2.0000,15.0000
Bonpland,22,4,1.0000,1.0000,,1.0000
Garay,19,2,1.0000,1.0000,,
Maschwitz,18,7,,,,
Centenera,15,2,,,,
Gral Paz Capital,22,4,,2.0000,,12.0000
La Bandera,15,6,,1.0000,,5.0000
Bulnes,12,2,,,,1.0000
Zarate Brazo Largo,20,2,4.0000,,,
Florencio Varela,19,6,,,,
Alsina,0,2,,1.0000,1.0000,
OPERADOR LOGISTICO 2,17,6,,,,8704.0000
Laferrere,12,1,,,,
Florencio Varela,7,2,1.0000,,,
Gutierrez,0,7,,,1.0000,4.0000
Parque Sarmiento,8,2,1.0000,3.0000,1.0000,1.0000
Dialogos,14,2,,,,1.0000
Boulevard,19,4,,,,1.0000
Villa Luro,6,4,,,,
Villa Luro,7,7,2.0000,2.0000,,
Florencio Varela,5,4,,,,
Las Heras,23,5,,,3.0000,1.0000
Gral Paz Provincia,6,2,2.0000,7.0000,,
America,18,3,,,,4.0000
America,12,3,,,,
Maipu,23,5,2.0000,,1.0000,3.0000
Gral Paz Provincia,12,7,2.0000,7.0000,,4.0000
Bonpland,16,2,,1.0000,,5.0000
Villa Allende,20,7,1.0000,,1.0000,3.0000
Parque Sarmiento,12,6,2.0000,,,1.0000
Centenera,21,5,,,,
Congreso,0,7,,,1.0000,4.0000
La Bandera,23,3,,2.0000,,
La Bandera,20,7,,,,
Gutierrez,1,6,,1.0000,,1.0000
AUBASA LP-BA,3,7,1.0000,6.0000,,2.0000
Olivos,11,4,,,1.0000,1.0000
Trelles,18,7,,,,1.0000
Las Heras,8,4,1.0000,5.0000,,1.0000
Bonpland,14,1,,,,1.0000
Maschwitz,0,6,,,,
Cabildo,17,4,,,,1.0000
Gral Paz Capital,4,2,1.0000,1.0000,,1.0000
Cabildo,14,2,,,,
El Arco,19,4,,,,3.0000
Parque Sarmiento,9,3,,1.0000,,6.0000
Cabildo,16,6,1.0000,,1.0000,1.0000
Los Incas,20,3,,,,
Boulevard,3,1,2.0000,,,
Villa Luro,16,4,3.0000,1.0000,,2.0000
Pilar,6,7,1.0000,1.0000,,
Alvear,20,1,,1.0000,4.0000,7.0000
Lima,2,5,,2.0000,,1.0000
Emilio Castro,18,1,,,,
Las Heras,15,2,1.0000,,,2.0000
Laferrere,4,2,1.0000,1.0000,,
Maipu,12,7,,,,
Zarate,11,4,1.0000,2.0000,1.0000,
Boulevard,2,1,,,,
Buen Ayre,6,7,8.0000,3.0000,1.0000,2.0000
OPERADOR LOGISTICO 2,13,6,,,,6165.0000
Floresta,16,2,,,,4.0000
Las Heras,11,6,1.0000,,1.0000,
Gral Paz Provincia,5,7,1.0000,,,
Santa Rita,16,6,,1.0000,,3.0000
El Arco,12,3,,,,
Gutierrez,5,5,,,,
OPERADOR LOGISTICO,19,5,,,,
Los Incas,21,5,,,,
Del Tejar,9,1,,,,
Buen Ayre,20,2,1.0000,2.0000,1.0000,2.0000
Los Incas,10,3,1.0000,3.0000,,
El Arco,3,1,,1.0000,,
Lima,4,4,5.0000,4.0000,,2.0000
Del Tejar,23,6,,,,
Centenera,1,1,,,,1.0000
Santa Rita,5,4,,2.0000,,
Laferrere,11,1,,,,
Olivos,23,1,,,1.0000,
Gral Paz Capital,10,5,2.0000,,4.0000,1.0000
Villa Luro,23,2,,2.0000,,3.0000
Parque Sarmiento,13,6,,1.0000,,2.0000
AUBASA LP-BA,0,1,6.0000,9.0000,,1.0000
Villa Luro,9,1,,1.0000,,
Laferrere,9,2,,,,
Buen Ayre,8,1,1.0000,2.0000,,3.0000
Congreso,5,7,,2.0000,,
OPERADOR LOGISTICO 2,11,3,,,,7469.0000
Parque Sarmiento,9,2,1.0000,3.0000,,4.0000
Laferrere,22,3,1.0000,,,1.0000
Emilio Castro,22,1,,1.0000,,
Alberdi,0,1,,,,
Santa Rita,21,5,1.0000,,,
El Club,4,1,,,,2.0000
Gutierrez,6,2,1.0000,,2.0000,
San Isidro,11,3,,3.0000,2.0000,1.0000
Olivos,22,2,2.0000,,,1.0000
Boulevard,17,7,,1.0000,,5.0000
Bulnes,10,1,,,,2.0000
Ovidio Lagos,20,6,,,,2.0000
Boulevard,4,7,,2.0000,,
Amanecer,18,4,,1.0000,,
Laferrere,16,7,,,,2.0000
America,17,2,,,,
Santa Rita,3,5,,,,1.0000
Alsina,4,5,3.0000,,1.0000,
Amanecer,11,3,,,,1.0000
Congreso,6,7,1.0000,,,
El Arco,10,7,1.0000,,3.0000,
Amanecer,0,3,1.0000,,,2.0000
Floresta,16,1,,1.0000,,4.0000
El Club,10,5,,1.0000,1.0000,2.0000
Maipu,3,4,1.0000,,,
El Club,23,6,,,3.0000,11.0000
Luis Viale,19,6,,2.0000,,1.0000
Garay,10,7,,,1.0000,3.0000
Villa Allende,15,2,,1.0000,,
Luis Viale,8,2,,2.0000,,1.0000
El Arco,18,2,1.0000,,2.0000,
Gutierrez,7,6,1.0000,1.0000,,4.0000
Las Heras,5,3,,1.0000,,
Luis Viale,13,6,,,2.0000,
Santa Rita,20,3,,,,1.0000
Emilio Castro,7,4,3.0000,,,
Laferrere,9,3,,1.0000,,
Quilmes,15,5,1.0000,2.0000,,3.0000
Floresta,13,2,,,,
Laferrere,15,7,,,,
Villa Allende,20,3,,,1.0000,1.0000
America,5,2,,,,
Parque Sarmiento,6,2,,1.0000,,
Gral Paz Capital,8,3,,2.0000,1.0000,1.0000
OPERADOR LOGISTICO,12,2,,,,1600.0000
America,11,3,,1.0000,,
Dialogos,6,7,1.0000,,,1.0000
Alsina,12,2,,,,
El Club,3,5,,1.0000,,
Pilar,21,2,,,1.0000,
Maschwitz,23,4,,,,
El Arco,12,1,,2.0000,,1.0000
Santa Rita,19,5,,1.0000,1.0000,1.0000
Amanecer,9,6,,3.0000,,
Emilio Castro,21,7,,,,
Olivos,16,7,,,1.0000,1.0000
Alberdi,21,2,,,,
Cabildo,19,6,,,,1.0000
La Carmela,1,3,,,,
Cabildo,23,3,,1.0000,,1.0000
Ovidio Lagos,2,6,,,,
Florencio Varela,3,1,1.0000,,2.0000,9.0000
Villa Allende,19,7,,1.0000,,
La Carmela,18,5,1.0000,,1.0000,2.0000
El Club,8,2,1.0000,,1.0000,2.0000
Quilmes,9,1,,1.0000,,
Congreso,13,7,,,,
Alberdi,0,2,,,,
Gutierrez,12,7,,,,
Congreso,1,3,1.0000,1.0000,,
Garay,19,3,,1.0000,,2.0000
Quilmes,8,2,,1.0000,1.0000,7.0000
Floresta,13,3,,,,
Parque Sarmiento,2,3,,,,
San Isidro,1,2,1.0000,,,
Boulevard,0,4,1.0000,1.0000,,
Zarate,19,4,1.0000,,,
Dialogos,21,2,,,,
Emilio Castro,14,4,,,,1.0000
Cabildo,3,3,,,,
Pilar,12,2,1.0000,1.0000,,1.0000
Centenera,2,3,,,,
America,2,1,,,1.0000,
Las Heras,9,1,,,,
Alberdi,15,5,,,,
AUBASA BA-LP,6,7,6.0000,4.0000,1.0000,4.0000
Del Tejar,4,5,,,2.0000,1.0000
Villa Allende,14,3,,,2.0000,1.0000
Del Tejar,9,5,,,,
Boulevard,17,1,2.0000,2.0000,,3.0000
Quilmes,11,1,,,,
Luis Viale,11,4,,,,
Alvear,7,1,3.0000,,1.0000,
Pilar,11,3,,,,
Centenera,2,1,,1.0000,,2.0000
Cabildo,14,4,,,,
Gral Paz Provincia,1,4,,2.0000,,2.0000
Villa Luro,5,3,,1.0000,,
San Isidro,12,7,1.0000,,,
Florencio Varela,5,1,,3.0000,2.0000,2.0000
Del Tejar,5,2,,,,
Lima,23,7,1.0000,3.0000,,3.0000
La Bandera,14,4,,1.0000,,4.0000
Villa Allende,18,6,,,,1.0000
AUBASA BA-LP,6,4,2.0000,1.0000,5.0000,1.0000
Las Heras,10,6,3.0000,,,1.0000
Gutierrez,6,1,,,,
Santa Rita,21,7,,,,
Santa Fe,20,7,,,,
Zarate Brazo Largo,4,4,,,,
Laferrere,5,7,,,,
Los Incas,14,1,2.0000,,,
Parque Sarmiento,20,1,,,,2.0000
Parque Sarmiento,10,6,3.0000,,1.0000,2.0000
Bulnes,13,5,,,,3.0000
Maschwitz,1,4,,,,
Alsina,6,5,,,,
Rivadavia,7,4,,2.0000,,
Florencio Varela,22,7,,,,2.0000
Centenera,20,6,,,,1.0000
Bulnes,20,1,,,2.0000,
Pilar,10,2,,1.0000,2.0000,2.0000
Maschwitz,16,5,,,,
Olivos,19,2,2.0000,,,
Centenera,8,6,2.0000,,,1.0000
La Bandera,19,5,,,,3.0000
Laferrere,23,7,,1.0000,,7.0000
OPERADOR LOGISTICO 2,20,4,,,,5850.0000
Maschwitz,12,2,,,,
Villa Allende,13,2,,,1.0000,
America,18,5,,,,
OPERADOR LOGISTICO 2,11,7,,,,5291.0000
Bonpland,20,1,,,3.0000,5.0000
Boulevard,13,6,,,,2.0000
Emilio Castro,21,5,,,,3.0000
Laferrere,5,1,,1.0000,1.0000,1.0000
Villa Allende,20,1,,,,1.0000
OPERADOR LOGISTICO,10,5,,,,
Floresta,21,1,2.0000,,,
Boulevard,7,5,,,,
Santa Fe,16,1,,,,1.0000
Floresta,9,5,,,,
San Isidro,0,4,,,1.0000,2.0000
Parque Sarmiento,6,5,4.0000,4.0000,,
Centenera,18,6,1.0000,,,
La Carmela,9,7,,,,
Garay,13,6,,,,
Floresta,18,5,3.0000,,,
America,15,1,,,,1.0000
Gutierrez,5,2,2.0000,,,
Emilio Castro,7,7,,,,
Pilar,15,3,,,,2.0000
San Isidro,4,3,,,,
Del Tejar,3,3,,,2.0000,
Los Incas,19,6,,,,
America,20,5,,,1.0000,
Luis Viale,4,4,4.0000,2.0000,,3.0000
Quilmes,16,5,,1.0000,2.0000,2.0000
Boulevard,11,6,,1.0000,,
Olivos,8,7,,,,
AUBASA LP-BA,9,1,,2.0000,,1.0000
Santa Fe,10,6,,,,
Alberdi,2,1,,,,
Gutierrez,8,5,2.0000,2.0000,,
Villa Luro,2,2,,,,
Boulevard,22,7,,,,2.0000
La Carmela,2,3,,,,
Cabildo,12,1,,,,
Pilar,11,6,,1.0000,,1.0000
Santa Rita,13,4,,3.0000,1.0000,1.0000
Bulnes,10,6,,1.0000,1.0000,3.0000
Ovidio Lagos,9,7,,,,
Laferrere,5,4,,,,
San Isidro,7,4,2.0000,1.0000,1.0000,3.0000
Santa Fe,8,2,,,,
El Arco,18,7,,,,4.0000
Alsina,5,1,,,,1.0000
El Arco,15,4,,,,2.0000
Los Incas,6,4,5.0000,2.0000,,
Alberdi,9,5,,,,
Fisherton,21,6,,,,2.0000
El Arco,14,2,,,,
AUBASA LP-BA,4,3,,3.0000,1.0000,1.0000
Garay,5,4,,,,2.0000
Boulevard,19,7,,,,
Los Incas,14,7,,,,
Gutierrez,21,7,,,,
Maipu,18,7,,,,
Santa Fe,18,7,,,,2.0000
Quilmes,13,1,,2.0000,,
Centenera,22,2,,,,
Gral Paz Provincia,2,2,,3.0000,1.0000,1.0000
San Isidro,10,2,1.0000,2.0000,,8.0000
Santa Fe,9,2,,1.0000,,
Dialogos,0,2,,,,
Gutierrez,7,1,1.0000,,,
Maschwitz,8,6,,1.0000,,
Fisherton,7,1,,,,
San Isidro,9,3,1.0000,,,1.0000
Maschwitz,10,4,,1.0000,,
Zarate,6,7,,,,
Alberdi,21,5,,,,
Floresta,21,6,,,,
Laferrere,9,1,,,,
Bulnes,13,3,,,,1.0000
Bonpland,1,4,,1.0000,,1.0000
Ovidio Lagos,14,1,1.0000,,,2.0000
Maschwitz,7,5,,1.0000,,
Alsina,2,3,,,,
Laferrere,11,5,,,,
Emilio Castro,21,2,,,,
Arroyo Seco,3,4,3.0000,5.0000,,5.0000
El Club,9,5,3.0000,2.0000,,4.0000
Laferrere,5,6,,,,1.0000
America,10,4,,1.0000,,
El Arco,1,3,,,,1.0000
Dialogos,19,5,,1.0000,,
Los Incas,13,7,,,,
Trelles,6,1,,,,
Olivos,2,4,1.0000,,,
San Isidro,4,1,,,,1.0000
La Bandera,13,5,,,,1.0000
Floresta,12,7,,,1.0000,
CORS Alem,7,7,,1.0000,,
Floresta,8,6,,,,
La Carmela,4,3,1.0000,3.0000,,
Garay,2,5,2.0000,1.0000,,
Cabildo,20,6,1.0000,,,
Bonpland,4,3,1.0000,,,1.0000
OPERADOR LOGISTICO,23,4,,,,
OPERADOR LOGISTICO,22,1,,,,
Las Heras,5,7,,1.0000,,
Floresta,14,4,,,1.0000,1.0000
Parque Sarmiento,4,5,,1.0000,,
Villa Allende,23,4,,,,
Bulnes,11,2,,1.0000,,2.0000
La Bandera,18,4,,,,5.0000
Santa Rita,2,4,,,,
Centenera,20,2,,,,
Boulevard,12,4,,,,2.0000
Emilio Castro,4,6,1.0000,,,
Maipu,10,5,1.0000,,,
Parque Sarmiento,6,6,2.0000,2.0000,,
Bulnes,13,2,,,,
Centenera,21,1,,,,
Zarate,20,3,,,,
Luis Viale,8,4,,,1.0000,2.0000
Las Heras,9,3,3.0000,3.0000,,
Villa Allende,17,2,,,,4.0000
Villa Luro,7,5,1.0000,1.0000,,1.0000
Floresta,15,1,,,,1.0000
Luis Viale,13,4,1.0000,,,
El Club,11,1,,1.0000,,1.0000
Boulevard,14,5,1.0000,,,2.0000
Alberdi,14,7,,,,
Ovidio Lagos,4,6,,,,
Rivadavia,20,7,,,,
Fisherton,3,5,,,2.0000,
Villa Allende,21,3,,,,2.0000
Gutierrez,0,3,1.0000,5.0000,,
El Arco,13,1,,,,4.0000
OPERADOR LOGISTICO,18,4,,,,4536.0000
La Carmela,3,7,,,,
AUBASA BA-LP,3,6,2.0000,1.0000,,
Zarate,5,6,,,,
La Bandera,19,3,,1.0000,,7.0000
AUBASA BA-LP,4,5,2.0000,,,
Congreso,8,7,,2.0000,,
Alsina,0,3,2.0000,,,2.0000
Zarate,2,4,,,,
Lima,2,4,,4.0000,,
Laferrere,8,1,,,,
Emilio Castro,12,2,,,,
Villa Luro,19,7,,4.0000,1.0000,4.0000
Cabildo,5,6,,,,
Boulevard,12,5,,1.0000,,
Alsina,15,4,,,,5.0000
Alberdi,8,1,,,,
Ovidio Lagos,23,6,,,,
Maipu,9,5,1.0000,,,
OPERADOR LOGISTICO,21,3,,,,100.0000
Ovidio Lagos,0,5,,,,3.0000
La Bandera,10,3,,1.0000,,1.0000
Maschwitz,11,5,,3.0000,,
Santa Fe,8,7,,1.0000,,
Del Tejar,5,3,,,1.0000,
Zarate Brazo Largo,4,7,,1.0000,,
Emilio Castro,19,2,,,,
Del Tejar,11,2,,,,
OPERADOR LOGISTICO 2,22,2,,,,
AUBASA LP-BA,1,3,1.0000,1.0000,1.0000,9.0000
Fisherton,2,6,,,,
Gutierrez,5,6,,,,
Gutierrez,7,5,1.0000,1.0000,,4.0000
San Isidro,3,3,,,,
