estacion,hora,q_cafes_llevar_algo_leche_bakery,q_cafes_llevar_algo_otros_bakery,q_cafes_local_algo_leche_bakery,q_cafes_local_algo_otros_bakery
Garay,10,339.0000,228.0000,653.0000,897.0000
Las Heras,8,509.0000,168.0000,321.0000,271.0000
Bulnes,13,16.0000,8.0000,58.0000,138.0000
La Bandera,14,38.0000,9.0000,76.0000,256.0000
Gutierrez,16,71.0000,54.0000,157.0000,205.0000
Boulevard,9,517.0000,356.0000,1244.0000,1562.0000
Dialogos,18,232.0000,141.0000,535.0000,414.0000
America,8,609.0000,427.0000,null,1125.0000
La Bandera,6,73.0000,41.0000,170.0000,133.0000
Ovidio Lagos,17,47.0000,89.0000,151.0000,542.0000
Centenera,20,5.0000,5.0000,11.0000,7.0000
Gral Paz Capital,4,1216.0000,131.0000,null,422.0000
Zarate,18,246.0000,83.0000,128.0000,98.0000
Las Heras,5,430.0000,91.0000,78.0000,131.0000
Laferrere,7,506.0000,256.0000,657.0000,265.0000
AUBASA BA-LP,8,2259.0000,1331.0000,3265.0000,2370.0000
Del Tejar,11,562.0000,65.0000,513.0000,730.0000
Los Incas,14,56.0000,20.0000,null,6.0000
Bulnes,21,2.0000,1.0000,34.0000,38.0000
Arroyo Seco,7,3651.0000,2656.0000,4942.0000,3458.0000
Luis Viale,8,176.0000,576.0000,398.0000,832.0000
Gutierrez,18,113.0000,73.0000,261.0000,263.0000
Ovidio Lagos,1,2.0000,3.0000,15.0000,23.0000
Gral Paz Capital,14,191.0000,98.0000,null,452.0000
San Isidro,12,130.0000,120.0000,192.0000,351.0000
El Arco,8,743.0000,484.0000,1243.0000,889.0000
Alsina,8,219.0000,347.0000,429.0000,607.0000
Dialogos,11,205.0000,117.0000,528.0000,404.0000
Gral Paz Capital,13,124.0000,103.0000,null,468.0000
Floresta,19,21.0000,67.0000,127.0000,162.0000
AUBASA BA-LP,4,311.0000,209.0000,173.0000,200.0000
Luis Viale,15,42.0000,62.0000,92.0000,558.0000
Bulnes,19,13.0000,10.0000,110.0000,177.0000
Olivos,16,219.0000,38.0000,172.0000,273.0000
La Carmela,5,318.0000,177.0000,282.0000,181.0000
Gral Paz Capital,22,212.0000,32.0000,null,196.0000
El Arco,20,82.0000,80.0000,247.0000,227.0000
Pilar,5,196.0000,200.0000,116.0000,56.0000
La Carmela,20,34.0000,36.0000,41.0000,74.0000
Gutierrez,6,212.0000,144.0000,175.0000,162.0000
Los Incas,9,723.0000,74.0000,1.0000,16.0000
Alsina,9,189.0000,380.0000,434.0000,613.0000
Floresta,17,66.0000,132.0000,167.0000,312.0000
AUBASA BA-LP,19,548.0000,562.0000,779.0000,895.0000
Gral Paz Provincia,7,2425.0000,1151.0000,1866.0000,1899.0000
Del Tejar,1,105.0000,30.0000,77.0000,86.0000
Cabildo,1,11.0000,7.0000,10.0000,4.0000
Maipu,1,20.0000,28.0000,14.0000,47.0000
Pilar,3,46.0000,47.0000,72.0000,12.0000
Dialogos,17,295.0000,111.0000,602.0000,439.0000
Bonpland,20,117.0000,34.0000,173.0000,276.0000
Ovidio Lagos,19,27.0000,72.0000,116.0000,367.0000
AUBASA LP-BA,15,266.0000,277.0000,384.0000,626.0000
Boulevard,19,67.0000,25.0000,170.0000,223.0000
Santa Fe,14,17.0000,18.0000,8.0000,12.0000
Parque Sarmiento,13,68.0000,42.0000,49.0000,217.0000
Parque Sarmiento,2,61.0000,null,6.0000,19.0000
Las Heras,13,102.0000,49.0000,124.0000,108.0000
Lima,0,221.0000,181.0000,149.0000,178.0000
Alvear,4,169.0000,85.0000,299.0000,208.0000
Emilio Castro,16,26.0000,27.0000,52.0000,121.0000
Las Heras,19,151.0000,92.0000,104.0000,155.0000
Arroyo Seco,5,391.0000,241.0000,354.0000,215.0000
Congreso,0,24.0000,55.0000,25.0000,52.0000
Gutierrez,14,23.0000,23.0000,46.0000,82.0000
Laferrere,14,14.0000,5.0000,56.0000,64.0000
La Carmela,1,41.0000,20.0000,36.0000,28.0000
Santa Fe,6,56.0000,21.0000,13.0000,10.0000
Fisherton,2,null,24.0000,null,41.0000
Disc Panamericana,17,2.0000,13.0000,1.0000,17.0000
Bulnes,20,11.0000,2.0000,94.0000,123.0000
Las Heras,23,53.0000,13.0000,20.0000,11.0000
Las Heras,1,79.0000,14.0000,25.0000,25.0000
Santa Fe,20,16.0000,4.0000,8.0000,8.0000
Gutierrez,0,14.0000,5.0000,16.0000,55.0000
Pilar,1,34.0000,45.0000,28.0000,22.0000
Amanecer,3,8.0000,10.0000,null,49.0000
Florencio Varela,0,19.0000,49.0000,24.0000,109.0000
Los Incas,0,15.0000,5.0000,null,null
Fisherton,23,1.0000,6.0000,null,24.0000
Alberdi,10,null,null,null,16.0000
Dialogos,3,1.0000,null,2.0000,null
Alberdi,19,null,null,null,3.0000
El Club,19,256.0000,141.0000,759.0000,834.0000
Santa Fe,10,154.0000,96.0000,82.0000,134.0000
Las Heras,12,112.0000,54.0000,136.0000,163.0000
Luis Viale,18,100.0000,100.0000,170.0000,575.0000
Trelles,8,346.0000,196.0000,354.0000,487.0000
Ovidio Lagos,22,2.0000,7.0000,15.0000,26.0000
Cabildo,13,25.0000,29.0000,34.0000,38.0000
Bonpland,11,337.0000,238.0000,639.0000,1076.0000
Del Tejar,6,581.0000,60.0000,343.0000,334.0000
America,7,427.0000,347.0000,null,957.0000
El Arco,9,735.0000,438.0000,1345.0000,1161.0000
Amanecer,11,141.0000,138.0000,null,710.0000
Alvear,13,80.0000,64.0000,264.0000,391.0000
AUBASA BA-LP,18,774.0000,737.0000,1392.0000,1494.0000
Gral Paz Capital,5,2220.0000,264.0000,null,672.0000
Alsina,11,92.0000,258.0000,302.0000,459.0000
Villa Luro,23,39.0000,50.0000,62.0000,75.0000
Olivos,4,105.0000,1.0000,41.0000,20.0000
Santa Rita,4,15.0000,125.0000,18.0000,111.0000
El Club,23,29.0000,37.0000,93.0000,166.0000
Emilio Castro,15,30.0000,19.0000,40.0000,79.0000
Zarate,13,69.0000,44.0000,73.0000,104.0000
Gral Paz Capital,18,854.0000,390.0000,null,1603.0000
Florencio Varela,6,410.0000,413.0000,568.0000,251.0000
America,14,59.0000,110.0000,null,225.0000
CORS EVENTOS,9,188.0000,202.0000,null,2.0000
Ovidio Lagos,2,4.0000,4.0000,19.0000,34.0000
Ovidio Lagos,14,14.0000,30.0000,53.0000,263.0000
La Bandera,18,106.0000,57.0000,258.0000,1054.0000
Santa Fe,17,41.0000,60.0000,17.0000,37.0000
Zarate Brazo Largo,19,129.0000,33.0000,19.0000,171.0000
America,13,49.0000,30.0000,null,196.0000
Santa Rita,10,43.0000,198.0000,85.0000,626.0000
Garay,4,28.0000,32.0000,35.0000,49.0000
Santa Rita,22,null,20.0000,7.0000,34.0000
Zarate Brazo Largo,10,272.0000,63.0000,23.0000,561.0000
America,17,72.0000,134.0000,null,775.0000
Buen Ayre,18,590.0000,297.0000,1218.0000,1109.0000
Bonpland,19,260.0000,134.0000,405.0000,524.0000
Alvear,18,274.0000,172.0000,1106.0000,979.0000
Fisherton,7,733.0000,719.0000,null,3382.0000
AUBASA LP-BA,12,334.0000,269.0000,364.0000,572.0000
Villa Allende,13,55.0000,24.0000,84.0000,275.0000
Alsina,21,27.0000,178.0000,59.0000,173.0000
Gral Paz Provincia,4,545.0000,441.0000,326.0000,330.0000
Gral Paz Provincia,6,1776.0000,1002.0000,1631.0000,1338.0000
San Isidro,5,439.0000,167.0000,164.0000,143.0000
Luis Viale,7,154.0000,526.0000,295.0000,774.0000
Villa Luro,21,68.0000,56.0000,115.0000,165.0000
Fisherton,14,12.0000,97.0000,null,460.0000
Amanecer,16,65.0000,58.0000,null,450.0000
Los Incas,13,120.0000,11.0000,null,4.0000
Gutierrez,19,97.0000,47.0000,125.0000,154.0000
Alvear,8,851.0000,446.0000,1848.0000,1469.0000
La Bandera,8,457.0000,182.0000,918.0000,1201.0000
Amanecer,8,568.0000,454.0000,null,1314.0000
Emilio Castro,11,132.0000,115.0000,80.0000,204.0000
Arroyo Seco,20,518.0000,512.0000,652.0000,709.0000
Villa Luro,20,87.0000,72.0000,198.0000,286.0000
El Arco,6,441.0000,232.0000,386.0000,265.0000
La Carmela,12,44.0000,32.0000,49.0000,84.0000
Amanecer,20,19.0000,33.0000,null,163.0000
San Isidro,11,287.0000,245.0000,465.0000,654.0000
Gutierrez,17,98.0000,48.0000,247.0000,287.0000
AUBASA LP-BA,13,155.0000,187.0000,201.0000,308.0000
El Club,22,27.0000,42.0000,74.0000,89.0000
Los Incas,22,6.0000,3.0000,null,2.0000
Buen Ayre,22,42.0000,69.0000,77.0000,94.0000
Dialogos,8,901.0000,506.0000,966.0000,606.0000
AUBASA BA-LP,9,2037.0000,1208.0000,2953.0000,2583.0000
AUBASA LP-BA,7,2000.0000,1167.0000,995.0000,803.0000
Gral Paz Capital,19,600.0000,290.0000,null,1155.0000
Garay,17,111.0000,137.0000,179.0000,640.0000
Los Incas,18,141.0000,29.0000,null,2.0000
AUBASA LP-BA,14,182.0000,221.0000,199.0000,326.0000
Fisherton,21,5.0000,17.0000,null,57.0000
Luis Viale,9,129.0000,603.0000,370.0000,701.0000
Lima,13,220.0000,220.0000,239.0000,466.0000
Villa Allende,16,93.0000,68.0000,216.0000,409.0000
Parque Sarmiento,14,47.0000,75.0000,51.0000,284.0000
Boulevard,14,24.0000,20.0000,118.0000,202.0000
Florencio Varela,18,200.0000,55.0000,457.0000,361.0000
Los Incas,16,115.0000,27.0000,null,8.0000
Del Tejar,7,1122.0000,111.0000,925.0000,526.0000
Emilio Castro,4,32.0000,18.0000,26.0000,36.0000
Fisherton,0,1.0000,12.0000,null,36.0000
Alsina,23,8.0000,93.0000,17.0000,72.0000
Villa Luro,12,149.0000,144.0000,414.0000,458.0000
Olivos,18,269.0000,54.0000,250.0000,325.0000
Del Tejar,2,83.0000,14.0000,71.0000,88.0000
Disc Panamericana,10,2.0000,39.0000,null,50.0000
Villa Allende,5,6.0000,3.0000,8.0000,20.0000
Centenera,5,99.0000,70.0000,53.0000,71.0000
Garay,21,18.0000,29.0000,45.0000,114.0000
San Isidro,22,11.0000,14.0000,33.0000,37.0000
Luis Viale,11,84.0000,286.0000,246.0000,604.0000
Del Tejar,13,227.0000,20.0000,138.0000,163.0000
Ovidio Lagos,15,38.0000,43.0000,50.0000,253.0000
Del Tejar,21,70.0000,39.0000,33.0000,46.0000
Arroyo Seco,9,4431.0000,3091.0000,5735.0000,5266.0000
Alvear,14,79.0000,86.0000,318.0000,378.0000
Congreso,9,511.0000,544.0000,249.0000,895.0000
Amanecer,19,56.0000,57.0000,null,303.0000
Las Heras,22,51.0000,10.0000,12.0000,9.0000
Las Heras,0,106.0000,22.0000,22.0000,15.0000
Bonpland,9,770.0000,445.0000,1216.0000,1185.0000
Floresta,15,14.0000,72.0000,90.0000,159.0000
Maipu,6,161.0000,76.0000,239.0000,270.0000
Dialogos,19,167.0000,83.0000,258.0000,198.0000
Buen Ayre,12,314.0000,194.0000,315.0000,499.0000
Las Heras,20,60.0000,19.0000,52.0000,74.0000
Arroyo Seco,19,1258.0000,1091.0000,1499.0000,1620.0000
Lima,11,1014.0000,1005.0000,1423.0000,2366.0000
Ovidio Lagos,13,15.0000,43.0000,58.0000,273.0000
Alsina,2,19.0000,97.0000,38.0000,126.0000
Luis Viale,21,18.0000,41.0000,30.0000,153.0000
Disc Panamericana,19,2.0000,11.0000,null,13.0000
Zarate Brazo Largo,7,513.0000,112.0000,29.0000,700.0000
Trelles,7,372.0000,158.0000,374.0000,505.0000
Gral Paz Capital,6,1462.0000,795.0000,null,1648.0000
Villa Allende,8,1635.0000,443.0000,1321.0000,1428.0000
Maipu,2,25.0000,20.0000,16.0000,51.0000
Cabildo,23,10.0000,7.0000,4.0000,13.0000
Las Heras,3,78.0000,25.0000,19.0000,27.0000
Bulnes,16,11.0000,8.0000,66.0000,175.0000
Emilio Castro,20,17.0000,12.0000,22.0000,62.0000
Villa Allende,21,18.0000,13.0000,43.0000,59.0000
Boulevard,21,5.0000,6.0000,10.0000,10.0000
CORS EVENTOS,15,32.0000,59.0000,null,null
Alberdi,12,null,null,null,11.0000
CORS EVENTOS,12,3.0000,11.0000,null,null
Santa Rita,3,9.0000,36.0000,11.0000,66.0000
Santa Fe,21,3.0000,4.0000,null,4.0000
Zarate,3,2.0000,1.0000,null,1.0000
Alberdi,17,null,null,null,7.0000
Disc Panamericana,20,null,null,null,5.0000
Alberdi,15,null,null,null,9.0000
Dialogos,4,null,2.0000,null,null
Villa Allende,1,1.0000,null,null,3.0000
Disc Panamericana,3,2.0000,1.0000,null,null
La Bandera,10,306.0000,103.0000,599.0000,1448.0000
Floresta,12,46.0000,60.0000,119.0000,205.0000
Floresta,7,192.0000,305.0000,575.0000,409.0000
Lima,2,213.0000,208.0000,156.0000,192.0000
America,2,12.0000,26.0000,null,67.0000
Florencio Varela,16,109.0000,38.0000,449.0000,233.0000
Laferrere,5,102.0000,95.0000,155.0000,85.0000
America,20,19.0000,40.0000,null,142.0000
Alvear,17,239.0000,148.0000,1006.0000,1082.0000
Fisherton,10,405.0000,460.0000,50.0000,5608.0000
Libertador,11,239.0000,196.0000,399.0000,511.0000
Villa Allende,20,60.0000,41.0000,139.0000,275.0000
AUBASA LP-BA,19,454.0000,394.0000,693.0000,817.0000
Zarate,10,447.0000,202.0000,286.0000,186.0000
Parque Sarmiento,15,55.0000,107.0000,63.0000,354.0000
Buen Ayre,1,72.0000,91.0000,94.0000,118.0000
Alsina,19,71.0000,227.0000,191.0000,211.0000
El Arco,14,53.0000,25.0000,46.0000,110.0000
El Arco,18,190.0000,117.0000,593.0000,745.0000
El Arco,11,324.0000,178.0000,740.0000,1110.0000
Centenera,7,300.0000,105.0000,311.0000,140.0000
Arroyo Seco,10,2990.0000,2245.0000,3732.0000,4387.0000
