estacion,hora,q_cafes_llevar_algo_leche_bakery,q_cafes_llevar_algo_otros_bakery,q_cafes_local_algo_leche_bakery,q_cafes_local_algo_otros_bakery
Alsina,20,47.0000,205.0000,92.0000,149.0000
Las Heras,11,201.0000,112.0000,172.0000,322.0000
Bonpland,0,40.0000,37.0000,74.0000,106.0000
CORS EVENTOS,16,105.0000,136.0000,null,6.0000
Florencio Varela,12,69.0000,83.0000,292.0000,220.0000
Gral Paz Provincia,5,1057.0000,878.0000,709.0000,775.0000
Florencio Varela,8,680.0000,554.0000,1461.0000,933.0000
Garay,8,487.0000,310.0000,600.0000,985.0000
Alvear,5,333.0000,188.0000,459.0000,428.0000
Ovidio Lagos,4,4.0000,5.0000,27.0000,45.0000
Ovidio Lagos,18,49.0000,106.0000,125.0000,549.0000
Ovidio Lagos,7,123.0000,333.0000,247.0000,781.0000
Laferrere,12,47.0000,39.0000,116.0000,162.0000
Villa Luro,1,51.0000,77.0000,91.0000,127.0000
Pilar,18,188.0000,161.0000,285.0000,417.0000
El Club,21,57.0000,47.0000,122.0000,140.0000
Florencio Varela,10,275.0000,300.0000,1013.0000,706.0000
Santa Rita,9,49.0000,231.0000,137.0000,742.0000
Arroyo Seco,16,1039.0000,1102.0000,1148.0000,2028.0000
Centenera,9,272.0000,127.0000,352.0000,601.0000
Trelles,12,76.0000,44.0000,117.0000,236.0000
Emilio Castro,10,208.0000,200.0000,142.0000,258.0000
Luis Viale,16,99.0000,107.0000,156.0000,592.0000
Cabildo,17,42.0000,44.0000,49.0000,59.0000
El Club,2,36.0000,45.0000,80.0000,153.0000
CORS EVENTOS,13,5.0000,5.0000,null,null
Pilar,8,1165.0000,567.0000,848.0000,1145.0000
Gral Paz Capital,11,770.0000,542.0000,null,2099.0000
El Club,9,804.0000,458.0000,1960.0000,1693.0000
Arroyo Seco,0,218.0000,196.0000,256.0000,173.0000
Gral Paz Provincia,8,2159.0000,1275.0000,2145.0000,1639.0000
Zarate Brazo Largo,4,94.0000,30.0000,2.0000,99.0000
Garay,5,95.0000,110.0000,75.0000,148.0000
El Club,11,363.0000,247.0000,1132.0000,1246.0000
Garay,11,256.0000,203.0000,435.0000,737.0000
Congreso,17,141.0000,258.0000,160.0000,668.0000
Las Heras,10,436.0000,186.0000,238.0000,314.0000
Cabildo,5,43.0000,18.0000,30.0000,13.0000
Zarate,19,149.0000,40.0000,71.0000,43.0000
Buen Ayre,23,58.0000,74.0000,49.0000,101.0000
Centenera,8,288.0000,149.0000,406.0000,226.0000
El Club,10,563.0000,342.0000,1715.0000,1938.0000
San Isidro,1,36.0000,49.0000,29.0000,51.0000
San Isidro,0,47.0000,24.0000,38.0000,60.0000
Los Incas,15,81.0000,25.0000,null,3.0000
Del Tejar,9,1270.0000,153.0000,760.0000,755.0000
Ovidio Lagos,11,74.0000,209.0000,162.0000,871.0000
Las Heras,16,173.0000,86.0000,134.0000,189.0000
Florencio Varela,1,8.0000,32.0000,26.0000,78.0000
Buen Ayre,8,1865.0000,698.0000,2080.0000,1531.0000
Parque Sarmiento,11,293.0000,135.0000,169.0000,683.0000
Bulnes,17,23.0000,17.0000,120.0000,220.0000
Bulnes,15,12.0000,7.0000,43.0000,84.0000
Lima,21,209.0000,178.0000,223.0000,226.0000
Zarate,12,115.0000,90.0000,106.0000,102.0000
Del Tejar,10,891.0000,93.0000,578.0000,754.0000
Villa Allende,19,159.0000,94.0000,364.0000,528.0000
Dialogos,7,835.0000,411.0000,739.0000,538.0000
Lima,22,147.0000,125.0000,122.0000,181.0000
Gutierrez,7,296.0000,285.0000,363.0000,399.0000
AUBASA LP-BA,8,2097.0000,1348.0000,1625.0000,1388.0000
Zarate Brazo Largo,15,55.0000,23.0000,11.0000,109.0000
Santa Rita,14,9.0000,53.0000,17.0000,172.0000
Alvear,6,849.0000,404.0000,1604.0000,1237.0000
Lima,18,1307.0000,1097.0000,1407.0000,2015.0000
Gutierrez,13,26.0000,25.0000,65.0000,85.0000
Los Incas,21,24.0000,6.0000,null,null
Villa Luro,18,207.0000,222.0000,618.0000,844.0000
Gutierrez,4,135.0000,32.0000,85.0000,88.0000
Zarate Brazo Largo,12,61.0000,15.0000,3.0000,177.0000
Alsina,13,33.0000,109.0000,108.0000,172.0000
Cabildo,22,16.0000,5.0000,4.0000,10.0000
El Arco,7,847.0000,539.0000,829.0000,705.0000
Ovidio Lagos,3,5.0000,5.0000,21.0000,37.0000
Dialogos,5,12.0000,5.0000,8.0000,17.0000
La Bandera,7,452.0000,116.0000,578.0000,914.0000
Floresta,14,11.0000,45.0000,87.0000,157.0000
Quilmes,5,157.0000,75.0000,167.0000,76.0000
Garay,14,20.0000,48.0000,126.0000,294.0000
Amanecer,9,434.0000,360.0000,null,1081.0000
Villa Allende,18,187.0000,84.0000,416.0000,643.0000
Boulevard,18,116.0000,67.0000,454.0000,551.0000
Villa Luro,17,269.0000,236.0000,661.0000,936.0000
Villa Allende,10,830.0000,231.0000,1074.0000,1647.0000
Bulnes,9,198.0000,124.0000,445.0000,478.0000
Amanecer,4,31.0000,37.0000,null,102.0000
Emilio Castro,23,4.0000,8.0000,5.0000,1.0000
El Arco,15,32.0000,39.0000,75.0000,176.0000
America,22,9.0000,8.0000,null,45.0000
Floresta,3,6.0000,29.0000,24.0000,47.0000
Trelles,16,69.0000,91.0000,171.0000,220.0000
Fisherton,4,null,7.0000,null,60.0000
Laferrere,15,25.0000,6.0000,65.0000,74.0000
CORS EVENTOS,10,134.0000,157.0000,null,3.0000
Libertador,2,24.0000,29.0000,58.0000,41.0000
Alberdi,18,null,null,null,8.0000
America,0,12.0000,17.0000,null,58.0000
Gutierrez,20,36.0000,21.0000,34.0000,62.0000
Amanecer,1,9.0000,10.0000,null,42.0000
Libertador,23,30.0000,20.0000,25.0000,42.0000
Floresta,23,11.0000,13.0000,20.0000,27.0000
Ovidio Lagos,5,10.0000,20.0000,48.0000,68.0000
Trelles,23,13.0000,9.0000,8.0000,23.0000
Emilio Castro,21,5.0000,3.0000,7.0000,19.0000
DISC Caraffa,20,null,7.0000,12.0000,45.0000
Alberdi,11,null,null,null,9.0000
Centenera,23,6.0000,4.0000,1.0000,2.0000
Alberdi,6,null,null,null,15.0000
Alberdi,7,null,null,null,27.0000
DISC Caraffa,5,1.0000,null,null,null
DISC Caraffa,22,null,1.0000,1.0000,7.0000
Disc Panamericana,1,1.0000,null,null,null
CORS EVENTOS,18,3.0000,null,null,null
DISC Caraffa,1,null,null,null,1.0000
El Arco,5,2.0000,null,1.0000,null
AUBASA LP-BA,11,618.0000,591.0000,943.0000,1233.0000
Garay,19,58.0000,109.0000,137.0000,391.0000
Congreso,19,70.0000,119.0000,57.0000,241.0000
Bonpland,2,90.0000,34.0000,91.0000,121.0000
Zarate Brazo Largo,1,32.0000,8.0000,null,39.0000
Bulnes,11,90.0000,50.0000,260.0000,522.0000
Gral Paz Provincia,19,516.0000,319.0000,921.0000,782.0000
Lima,12,409.0000,465.0000,501.0000,1050.0000
Florencio Varela,5,30.0000,93.0000,66.0000,180.0000
Las Heras,6,735.0000,145.0000,396.0000,431.0000
Trelles,2,17.0000,13.0000,14.0000,21.0000
AUBASA BA-LP,23,79.0000,84.0000,70.0000,160.0000
Cabildo,14,15.0000,14.0000,32.0000,59.0000
Zarate Brazo Largo,0,27.0000,4.0000,null,28.0000
Disc Panamericana,5,3.0000,16.0000,null,null
Las Heras,18,181.0000,101.0000,120.0000,207.0000
Buen Ayre,9,1659.0000,644.0000,2149.0000,1561.0000
Pilar,0,40.0000,57.0000,42.0000,43.0000
Florencio Varela,7,558.0000,487.0000,1289.0000,526.0000
Del Tejar,4,94.0000,29.0000,31.0000,29.0000
Florencio Varela,21,20.0000,9.0000,45.0000,32.0000
Gral Paz Provincia,10,1238.0000,843.0000,1570.0000,1764.0000
Fisherton,5,null,16.0000,null,90.0000
Pilar,7,1018.0000,461.0000,641.0000,670.0000
Libertador,16,124.0000,137.0000,306.0000,430.0000
Lima,4,410.0000,368.0000,270.0000,359.0000
Olivos,10,509.0000,25.0000,385.0000,636.0000
La Carmela,6,646.0000,392.0000,601.0000,668.0000
Parque Sarmiento,18,106.0000,253.0000,142.0000,500.0000
Arroyo Seco,1,303.0000,249.0000,198.0000,217.0000
Florencio Varela,4,4.0000,38.0000,28.0000,54.0000
Congreso,18,120.0000,244.0000,121.0000,487.0000
Villa Allende,9,1213.0000,330.0000,1355.0000,1830.0000
Gral Paz Capital,2,383.0000,64.0000,null,204.0000
Villa Allende,15,32.0000,34.0000,84.0000,247.0000
Floresta,8,241.0000,310.0000,415.0000,402.0000
Villa Allende,17,146.0000,108.0000,327.0000,636.0000
Lima,16,718.0000,749.0000,680.0000,1452.0000
Del Tejar,15,152.0000,54.0000,217.0000,337.0000
Maipu,16,41.0000,36.0000,77.0000,325.0000
Alvear,7,970.0000,448.0000,1901.0000,1302.0000
San Isidro,9,645.0000,546.0000,788.0000,962.0000
DISC Caraffa,8,8.0000,122.0000,182.0000,269.0000
Pilar,2,35.0000,53.0000,57.0000,42.0000
Buen Ayre,15,230.0000,165.0000,306.0000,446.0000
La Carmela,9,495.0000,320.0000,370.0000,483.0000
Arroyo Seco,12,515.0000,528.0000,671.0000,1047.0000
Zarate,1,31.0000,8.0000,4.0000,10.0000
Quilmes,7,532.0000,365.0000,756.0000,643.0000
AUBASA BA-LP,0,98.0000,135.0000,95.0000,147.0000
Trelles,15,29.0000,40.0000,134.0000,115.0000
Garay,2,27.0000,21.0000,20.0000,39.0000
El Club,17,355.0000,179.0000,1336.0000,1360.0000
Fisherton,17,50.0000,249.0000,null,2173.0000
Trelles,14,29.0000,27.0000,84.0000,103.0000
Maipu,8,232.0000,150.0000,356.0000,490.0000
San Isidro,4,149.0000,76.0000,86.0000,66.0000
AUBASA BA-LP,15,268.0000,397.0000,451.0000,706.0000
Zarate Brazo Largo,17,138.0000,48.0000,31.0000,170.0000
Santa Rita,20,12.0000,31.0000,15.0000,188.0000
Santa Rita,1,3.0000,28.0000,2.0000,64.0000
Parque Sarmiento,7,702.0000,372.0000,252.0000,790.0000
Fisherton,19,32.0000,211.0000,null,1332.0000
Arroyo Seco,6,2075.0000,1533.0000,2188.0000,1720.0000
Parque Sarmiento,21,32.0000,46.0000,8.0000,66.0000
America,12,65.0000,71.0000,null,380.0000
Pilar,13,105.0000,53.0000,59.0000,99.0000
Congreso,13,71.0000,77.0000,66.0000,217.0000
Zarate Brazo Largo,18,159.0000,53.0000,26.0000,207.0000
Lima,9,2382.0000,1816.0000,3992.0000,4017.0000
Boulevard,8,678.0000,409.0000,919.0000,1173.0000
La Bandera,11,228.0000,49.0000,359.0000,1269.0000
Santa Rita,6,50.0000,278.0000,175.0000,650.0000
Amanecer,5,174.0000,103.0000,null,262.0000
Congreso,3,36.0000,64.0000,20.0000,44.0000
Congreso,20,41.0000,63.0000,13.0000,90.0000
Los Incas,12,158.0000,29.0000,null,2.0000
DISC Caraffa,11,2.0000,59.0000,114.0000,290.0000
Trelles,9,333.0000,271.0000,336.0000,456.0000
Libertador,6,341.0000,192.0000,528.0000,321.0000
El Club,4,58.0000,55.0000,72.0000,75.0000
Lima,15,323.0000,482.0000,405.0000,814.0000
Arroyo Seco,15,471.0000,664.0000,582.0000,1141.0000
Los Incas,19,99.0000,26.0000,null,3.0000
Garay,6,357.0000,157.0000,298.0000,289.0000
Gral Paz Provincia,12,306.0000,290.0000,455.0000,646.0000
Floresta,4,11.0000,61.0000,40.0000,58.0000
Ovidio Lagos,20,13.0000,23.0000,30.0000,146.0000
Bonpland,8,950.0000,531.0000,1338.0000,1134.0000
Dialogos,10,506.0000,221.0000,852.0000,582.0000
DISC Caraffa,16,3.0000,16.0000,24.0000,90.0000
Gutierrez,10,158.0000,167.0000,295.0000,356.0000
Maipu,22,14.0000,7.0000,15.0000,41.0000
Congreso,12,98.0000,130.0000,68.0000,342.0000
Trelles,20,14.0000,12.0000,41.0000,46.0000
Zarate Brazo Largo,2,28.0000,6.0000,4.0000,33.0000
San Isidro,10,432.0000,356.0000,679.0000,937.0000
Quilmes,10,265.0000,282.0000,614.0000,616.0000
AUBASA LP-BA,9,1564.0000,1098.0000,1754.0000,1634.0000
Garay,9,407.0000,335.0000,691.0000,923.0000
