estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro_choco,q_cafes_local_algo_otros_sinbakery_negro_choco
Luis Viale,13,2.0000,9.0000
Emilio Castro,19,3.0000,2.0000
Bulnes,12,1.0000,1.0000
Maipu,5,null,null
Fisherton,8,4.0000,3.0000
Pilar,4,2.0000,null
Centenera,15,6.0000,4.0000
Luis Viale,2,null,9.0000
Lima,1,56.0000,28.0000
El Arco,21,4.0000,13.0000
Garay,12,3.0000,7.0000
DISC Caraffa,14,null,7.0000
Luis Viale,5,2.0000,2.0000
Trelles,18,6.0000,15.0000
Garay,0,1.0000,null
Bonpland,6,null,3.0000
Gutierrez,11,2.0000,5.0000
Quilmes,3,2.0000,1.0000
America,5,3.0000,null
Garay,7,null,1.0000
Villa Luro,2,6.0000,10.0000
Garay,1,2.0000,1.0000
Alvear,12,2.0000,14.0000
AUBASA BA-LP,1,22.0000,28.0000
Zarate Brazo Largo,13,null,null
Zarate,16,null,null
San Isidro,18,9.0000,13.0000
Libertador,10,14.0000,40.0000
Laferrere,6,1.0000,null
Olivos,5,null,null
Santa Rita,8,null,3.0000
Gral Paz Provincia,1,16.0000,25.0000
Arroyo Seco,18,51.0000,91.0000
DISC Echeverria,0,null,null
Arroyo Seco,13,47.0000,202.0000
Luis Viale,19,3.0000,9.0000
El Club,3,5.0000,10.0000
Rosario Sur,22,null,null
Gutierrez,8,1.0000,4.0000
Santa Rita,12,null,3.0000
Boulevard,16,5.0000,24.0000
AUBASA LP-BA,20,20.0000,11.0000
Los Incas,17,1.0000,null
Alberdi,14,null,2.0000
Trelles,6,null,2.0000
Trelles,1,10.0000,11.0000
Maipu,10,null,1.0000
Amanecer,18,6.0000,null
La Bandera,15,4.0000,28.0000
DISC Caraffa,13,1.0000,2.0000
Florencio Varela,11,null,7.0000
Santa Rita,23,null,null
Zarate Brazo Largo,16,1.0000,null
Florencio Varela,2,1.0000,null
Amanecer,0,5.0000,null
Alvear,11,4.0000,7.0000
Libertador,15,21.0000,52.0000
Cabildo,2,1.0000,2.0000
DISC Echeverria,18,null,1.0000
El Club,6,null,1.0000
El Club,13,6.0000,57.0000
Luis Viale,14,2.0000,17.0000
Zarate,11,null,1.0000
Fisherton,16,14.0000,23.0000
Santa Rita,5,null,null
AUBASA BA-LP,11,23.0000,19.0000
