estacion,hora,q_cafes_llevar_algo_leche_sinbakery,q_cafes_llevar_algo_otros_sinbakery,q_cafes_local_algo_leche_sinbakery,q_cafes_local_algo_otros_sinbakery
Villa Allende,12,73.0000,43.0000,49.0000,564.0000
El Club,16,193.0000,288.0000,483.0000,1210.0000
Santa Fe,22,null,2.0000,null,null
Florencio Varela,0,22.0000,73.0000,12.0000,111.0000
Olivos,7,751.0000,140.0000,264.0000,168.0000
Maipu,3,76.0000,28.0000,41.0000,76.0000
Libertador,1,31.0000,137.0000,41.0000,226.0000
Gral Paz Provincia,14,87.0000,199.0000,138.0000,805.0000
Santa Fe,11,53.0000,82.0000,3.0000,39.0000
La Carmela,0,91.0000,111.0000,24.0000,91.0000
Centenera,13,40.0000,36.0000,47.0000,128.0000
Arroyo Seco,2,370.0000,561.0000,95.0000,222.0000
AUBASA LP-BA,2,134.0000,354.0000,45.0000,179.0000
Mitre,23,null,null,null,null
Quilmes,8,531.0000,431.0000,294.0000,456.0000
El Club,0,92.0000,116.0000,65.0000,548.0000
Disc Panamericana,12,1.0000,11.0000,null,24.0000
Floresta,0,31.0000,119.0000,15.0000,115.0000
Alsina,7,131.0000,170.0000,51.0000,203.0000
Santa Fe,6,154.0000,89.0000,14.0000,25.0000
Bonpland,3,102.0000,90.0000,61.0000,157.0000
Buen Ayre,0,39.0000,89.0000,35.0000,225.0000
Bulnes,10,137.0000,105.0000,72.0000,251.0000
Gral Paz Capital,9,811.0000,604.0000,null,1381.0000
La Bandera,20,38.0000,19.0000,21.0000,225.0000
Laferrere,8,199.0000,141.0000,156.0000,146.0000
Luis Viale,22,12.0000,40.0000,12.0000,184.0000
Del Tejar,23,12.0000,55.0000,22.0000,215.0000
Maipu,12,49.0000,25.0000,73.0000,291.0000
Maipu,13,53.0000,37.0000,87.0000,267.0000
La Bandera,13,82.0000,39.0000,77.0000,532.0000
Centenera,11,58.0000,108.0000,56.0000,217.0000
Amanecer,12,65.0000,150.0000,null,289.0000
Garay,20,49.0000,114.0000,45.0000,304.0000
Rosario Sur,13,null,null,null,null
Ovidio Lagos,10,65.0000,199.0000,33.0000,582.0000
AUBASA BA-LP,12,281.0000,523.0000,228.0000,758.0000
Fisherton,2,2.0000,43.0000,null,79.0000
Dialogos,3,null,1.0000,null,null
Boulevard,22,null,null,null,null
Parque Sarmiento,23,76.0000,9.0000,5.0000,61.0000
Disc Panamericana,17,3.0000,12.0000,null,16.0000
Bonpland,5,145.0000,154.0000,115.0000,104.0000
Bulnes,8,229.0000,105.0000,55.0000,267.0000
Santa Fe,13,10.0000,32.0000,2.0000,31.0000
Alberdi,19,null,null,null,77.0000
DISC Caraffa,15,null,8.0000,9.0000,130.0000
Trelles,17,90.0000,80.0000,48.0000,181.0000
Gral Paz Provincia,13,82.0000,177.0000,98.0000,653.0000
Ovidio Lagos,12,24.0000,80.0000,17.0000,359.0000
Congreso,22,50.0000,47.0000,9.0000,102.0000
Bonpland,1,72.0000,117.0000,47.0000,268.0000
Zarate Brazo Largo,3,52.0000,5.0000,1.0000,52.0000
Buen Ayre,14,113.0000,266.0000,123.0000,862.0000
Villa Luro,13,60.0000,152.0000,130.0000,409.0000
Maschwitz,17,null,null,null,246.0000
Bulnes,20,16.0000,9.0000,29.0000,117.0000
El Arco,19,170.0000,142.0000,85.0000,440.0000
AUBASA BA-LP,3,115.0000,242.0000,43.0000,140.0000
Dialogos,16,148.0000,110.0000,117.0000,209.0000
Fisherton,18,30.0000,233.0000,null,2287.0000
Alsina,18,83.0000,101.0000,84.0000,460.0000
AUBASA LP-BA,0,127.0000,365.0000,34.0000,335.0000
Arroyo Seco,8,1171.0000,1361.0000,333.0000,916.0000
Anchorena,19,null,null,13.0000,20.0000
El Club,12,95.0000,183.0000,223.0000,775.0000
Rosario Sur,1,null,null,null,null
Buen Ayre,17,312.0000,350.0000,526.0000,803.0000
El Club,18,240.0000,284.0000,652.0000,948.0000
Libertador,8,299.0000,338.0000,283.0000,493.0000
San Isidro,6,264.0000,271.0000,149.0000,159.0000
Las Heras,23,31.0000,36.0000,13.0000,73.0000
Garay,10,136.0000,191.0000,163.0000,488.0000
DISC Echeverria,17,null,null,null,52.0000
La Bandera,14,98.0000,44.0000,79.0000,765.0000
Bulnes,13,29.0000,28.0000,19.0000,171.0000
Gutierrez,16,49.0000,119.0000,76.0000,251.0000
Las Heras,8,169.0000,154.0000,37.0000,109.0000
