estacion,hora,dia_semana,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Garay,1,7,9.0000,31.0000,4.0000,5.0000,8.0000,23.0000,3.0000,24.0000
Luis Viale,11,1,13.0000,41.0000,7.0000,6.0000,2.0000,39.0000,5.0000,27.0000
Fisherton,17,4,19.0000,249.0000,2.0000,17.0000,,249.0000,6.0000,245.0000
Alvear,18,6,32.0000,96.0000,17.0000,15.0000,12.0000,84.0000,5.0000,73.0000
Cabildo,7,6,23.0000,15.0000,11.0000,12.0000,4.0000,11.0000,,15.0000
AUBASA LP-BA,11,7,76.0000,34.0000,26.0000,50.0000,3.0000,31.0000,10.0000,25.0000
AUBASA BA-LP,18,3,66.0000,29.0000,18.0000,48.0000,3.0000,26.0000,13.0000,23.0000
Parque Sarmiento,21,4,6.0000,23.0000,3.0000,3.0000,,23.0000,,15.0000
AUBASA BA-LP,4,6,44.0000,6.0000,10.0000,34.0000,4.0000,2.0000,12.0000,5.0000
Fisherton,9,1,26.0000,142.0000,14.0000,12.0000,3.0000,139.0000,2.0000,142.0000
Olivos,20,6,6.0000,22.0000,6.0000,,3.0000,19.0000,,20.0000
Amanecer,6,7,12.0000,154.0000,6.0000,6.0000,2.0000,152.0000,,151.0000
Del Tejar,11,4,23.0000,98.0000,18.0000,5.0000,12.0000,86.0000,1.0000,70.0000
Florencio Varela,17,6,17.0000,30.0000,7.0000,10.0000,9.0000,21.0000,,29.0000
Olivos,15,6,10.0000,46.0000,7.0000,3.0000,11.0000,35.0000,,40.0000
Buen Ayre,18,7,58.0000,87.0000,24.0000,34.0000,12.0000,75.0000,4.0000,75.0000
Floresta,11,7,15.0000,17.0000,4.0000,11.0000,1.0000,16.0000,5.0000,15.0000
El Club,15,7,44.0000,111.0000,8.0000,36.0000,15.0000,96.0000,8.0000,91.0000
America,15,3,15.0000,70.0000,11.0000,4.0000,4.0000,66.0000,1.0000,53.0000
Santa Rita,2,7,9.0000,14.0000,4.0000,5.0000,7.0000,7.0000,1.0000,13.0000
Emilio Castro,14,1,5.0000,4.0000,1.0000,4.0000,1.0000,3.0000,1.0000,4.0000
Del Tejar,14,4,14.0000,56.0000,4.0000,10.0000,9.0000,47.0000,2.0000,55.0000
Ovidio Lagos,19,5,4.0000,51.0000,1.0000,3.0000,2.0000,49.0000,,48.0000
El Arco,10,6,33.0000,118.0000,21.0000,12.0000,6.0000,112.0000,7.0000,91.0000
Del Tejar,10,2,31.0000,75.0000,20.0000,11.0000,19.0000,56.0000,4.0000,62.0000
Lima,14,6,95.0000,98.0000,18.0000,77.0000,5.0000,93.0000,36.0000,59.0000
AUBASA LP-BA,19,3,40.0000,48.0000,10.0000,30.0000,8.0000,40.0000,8.0000,37.0000
Lima,7,7,209.0000,60.0000,82.0000,127.0000,9.0000,51.0000,40.0000,48.0000
Gral Paz Capital,8,4,138.0000,82.0000,60.0000,78.0000,15.0000,67.0000,21.0000,69.0000
CORS Alem,11,3,43.0000,,24.0000,19.0000,,,5.0000,
Gral Paz Capital,20,2,22.0000,54.0000,15.0000,7.0000,7.0000,47.0000,6.0000,49.0000
El Club,13,4,35.0000,105.0000,3.0000,32.0000,12.0000,93.0000,5.0000,81.0000
Lima,12,6,95.0000,82.0000,27.0000,68.0000,10.0000,72.0000,30.0000,56.0000
Parque Sarmiento,14,5,10.0000,47.0000,1.0000,9.0000,6.0000,41.0000,4.0000,40.0000
Villa Luro,12,2,30.0000,44.0000,10.0000,20.0000,9.0000,35.0000,4.0000,33.0000
Garay,9,3,30.0000,86.0000,13.0000,17.0000,5.0000,81.0000,4.0000,77.0000
Garay,10,2,24.0000,73.0000,11.0000,13.0000,9.0000,64.0000,3.0000,61.0000
Boulevard,1,7,12.0000,26.0000,5.0000,7.0000,2.0000,24.0000,6.0000,25.0000
Quilmes,17,2,11.0000,52.0000,,11.0000,7.0000,45.0000,3.0000,51.0000
Del Tejar,8,7,48.0000,30.0000,37.0000,11.0000,2.0000,28.0000,2.0000,28.0000
Alsina,19,7,18.0000,31.0000,4.0000,14.0000,3.0000,28.0000,1.0000,20.0000
Buen Ayre,16,2,70.0000,145.0000,25.0000,45.0000,18.0000,127.0000,11.0000,104.0000
Alsina,18,6,29.0000,28.0000,13.0000,16.0000,6.0000,22.0000,3.0000,18.0000
Emilio Castro,9,4,46.0000,15.0000,24.0000,22.0000,2.0000,13.0000,10.0000,14.0000
San Isidro,18,7,32.0000,25.0000,12.0000,20.0000,3.0000,22.0000,2.0000,20.0000
AUBASA LP-BA,14,3,70.0000,91.0000,23.0000,47.0000,3.0000,88.0000,12.0000,53.0000
El Arco,5,1,34.0000,42.0000,12.0000,22.0000,7.0000,35.0000,16.0000,30.0000
Centenera,16,6,7.0000,18.0000,4.0000,3.0000,3.0000,15.0000,2.0000,12.0000
Alsina,18,5,40.0000,38.0000,14.0000,26.0000,6.0000,32.0000,2.0000,24.0000
Arroyo Seco,20,5,86.0000,64.0000,45.0000,41.0000,21.0000,43.0000,12.0000,51.0000
Del Tejar,11,6,31.0000,72.0000,22.0000,9.0000,8.0000,64.0000,,53.0000
Villa Allende,11,5,13.0000,75.0000,3.0000,10.0000,4.0000,71.0000,4.0000,62.0000
Quilmes,11,2,18.0000,55.0000,7.0000,11.0000,4.0000,51.0000,,54.0000
Ovidio Lagos,2,3,6.0000,9.0000,1.0000,5.0000,,9.0000,,9.0000
Florencio Varela,12,3,10.0000,33.0000,5.0000,5.0000,5.0000,28.0000,2.0000,31.0000
Congreso,6,4,37.0000,82.0000,14.0000,23.0000,35.0000,47.0000,7.0000,73.0000
Garay,18,2,17.0000,49.0000,4.0000,13.0000,2.0000,47.0000,5.0000,34.0000
Congreso,17,4,26.0000,47.0000,10.0000,16.0000,2.0000,45.0000,2.0000,44.0000
Santa Rita,15,2,16.0000,59.0000,7.0000,9.0000,8.0000,51.0000,3.0000,49.0000
Parque Sarmiento,17,2,25.0000,64.0000,14.0000,11.0000,3.0000,61.0000,3.0000,55.0000
AUBASA LP-BA,15,2,81.0000,106.0000,21.0000,60.0000,7.0000,99.0000,14.0000,80.0000
Del Tejar,12,7,25.0000,24.0000,19.0000,6.0000,2.0000,22.0000,1.0000,21.0000
Alsina,10,3,32.0000,32.0000,14.0000,18.0000,3.0000,29.0000,2.0000,25.0000
San Isidro,7,5,97.0000,58.0000,51.0000,46.0000,11.0000,47.0000,6.0000,52.0000
Lima,8,7,193.0000,87.0000,89.0000,104.0000,25.0000,62.0000,44.0000,72.0000
Villa Luro,1,1,28.0000,56.0000,11.0000,17.0000,8.0000,48.0000,3.0000,39.0000
Florencio Varela,19,5,35.0000,18.0000,16.0000,19.0000,3.0000,15.0000,1.0000,18.0000
Olivos,12,3,8.0000,26.0000,4.0000,4.0000,5.0000,21.0000,,24.0000
Las Heras,20,5,11.0000,31.0000,2.0000,9.0000,5.0000,26.0000,3.0000,31.0000
Amanecer,9,4,55.0000,56.0000,29.0000,26.0000,13.0000,43.0000,15.0000,53.0000
Rosario Sur,15,2,3.0000,,,3.0000,,,,
Del Tejar,2,3,12.0000,12.0000,8.0000,4.0000,1.0000,11.0000,1.0000,9.0000
Santa Fe,12,6,5.0000,2.0000,2.0000,3.0000,,2.0000,1.0000,2.0000
La Bandera,7,7,29.0000,29.0000,17.0000,12.0000,4.0000,25.0000,11.0000,29.0000
Olivos,0,6,12.0000,18.0000,12.0000,,1.0000,17.0000,,18.0000
Olivos,8,1,33.0000,21.0000,32.0000,1.0000,7.0000,14.0000,,20.0000
Ovidio Lagos,10,5,27.0000,151.0000,8.0000,19.0000,6.0000,145.0000,,150.0000
Florencio Varela,13,7,5.0000,36.0000,3.0000,2.0000,3.0000,33.0000,1.0000,19.0000
Santa Rita,22,4,3.0000,19.0000,1.0000,2.0000,3.0000,16.0000,,19.0000
AUBASA BA-LP,4,4,29.0000,4.0000,14.0000,15.0000,,4.0000,11.0000,3.0000
Congreso,8,3,65.0000,43.0000,31.0000,34.0000,4.0000,39.0000,9.0000,39.0000
Alberdi,9,2,14.0000,,2.0000,12.0000,,,,
America,15,5,15.0000,61.0000,5.0000,10.0000,10.0000,51.0000,1.0000,44.0000
San Isidro,19,5,32.0000,54.0000,16.0000,16.0000,12.0000,42.0000,2.0000,51.0000
Amanecer,11,2,24.0000,66.0000,11.0000,13.0000,4.0000,62.0000,6.0000,64.0000
Maipu,16,6,15.0000,35.0000,13.0000,2.0000,2.0000,33.0000,,35.0000
America,18,2,16.0000,83.0000,9.0000,7.0000,5.0000,78.0000,1.0000,63.0000
Buen Ayre,15,5,64.0000,173.0000,16.0000,48.0000,8.0000,165.0000,20.0000,126.0000
Lima,0,2,126.0000,31.0000,45.0000,81.0000,9.0000,22.0000,46.0000,22.0000
Congreso,11,6,19.0000,57.0000,7.0000,12.0000,2.0000,55.0000,3.0000,47.0000
Las Heras,6,1,31.0000,24.0000,10.0000,21.0000,6.0000,18.0000,12.0000,23.0000
El Arco,20,4,6.0000,35.0000,3.0000,3.0000,5.0000,30.0000,2.0000,31.0000
Garay,4,6,8.0000,8.0000,4.0000,4.0000,1.0000,7.0000,2.0000,6.0000
Lima,22,6,43.0000,26.0000,11.0000,32.0000,2.0000,24.0000,16.0000,17.0000
Luis Viale,0,6,4.0000,32.0000,,4.0000,1.0000,31.0000,2.0000,24.0000
Las Heras,20,7,6.0000,17.0000,4.0000,2.0000,4.0000,13.0000,,17.0000
Gral Paz Provincia,23,6,24.0000,52.0000,8.0000,16.0000,1.0000,51.0000,4.0000,38.0000
AUBASA LP-BA,3,1,47.0000,19.0000,12.0000,35.0000,3.0000,16.0000,9.0000,13.0000
Pilar,1,7,9.0000,12.0000,2.0000,7.0000,,12.0000,3.0000,12.0000
Garay,8,3,42.0000,57.0000,23.0000,19.0000,6.0000,51.0000,6.0000,48.0000
AUBASA BA-LP,4,1,27.0000,7.0000,11.0000,16.0000,3.0000,4.0000,8.0000,6.0000
Fisherton,21,1,6.0000,37.0000,4.0000,2.0000,,37.0000,,37.0000
Maipu,11,5,12.0000,83.0000,12.0000,,13.0000,70.0000,,81.0000
El Arco,20,1,13.0000,39.0000,6.0000,7.0000,,39.0000,7.0000,30.0000
AUBASA LP-BA,14,2,43.0000,106.0000,16.0000,27.0000,11.0000,95.0000,7.0000,65.0000
Gral Paz Provincia,12,5,26.0000,94.0000,6.0000,20.0000,9.0000,85.0000,5.0000,72.0000
El Club,21,3,8.0000,38.0000,3.0000,5.0000,4.0000,34.0000,,35.0000
Del Tejar,11,1,28.0000,45.0000,21.0000,7.0000,8.0000,37.0000,1.0000,35.0000
Villa Allende,9,1,11.0000,18.0000,3.0000,8.0000,,18.0000,1.0000,14.0000
Villa Luro,7,2,64.0000,50.0000,40.0000,24.0000,11.0000,39.0000,8.0000,33.0000
Olivos,7,1,29.0000,25.0000,28.0000,1.0000,12.0000,13.0000,,25.0000
San Isidro,23,6,5.0000,10.0000,3.0000,2.0000,,10.0000,1.0000,8.0000
Dialogos,23,1,8.0000,20.0000,3.0000,5.0000,7.0000,13.0000,,20.0000
Gral Paz Provincia,23,5,22.0000,43.0000,9.0000,13.0000,6.0000,37.0000,3.0000,36.0000
Luis Viale,20,1,6.0000,44.0000,2.0000,4.0000,2.0000,42.0000,,26.0000
La Bandera,0,2,,6.0000,,,,6.0000,,6.0000
Centenera,13,7,6.0000,17.0000,3.0000,3.0000,2.0000,15.0000,3.0000,14.0000
Del Tejar,16,6,18.0000,79.0000,12.0000,6.0000,8.0000,71.0000,1.0000,67.0000
Luis Viale,23,5,6.0000,32.0000,1.0000,5.0000,1.0000,31.0000,,16.0000
Ovidio Lagos,1,2,6.0000,43.0000,2.0000,4.0000,1.0000,42.0000,,43.0000
Parque Sarmiento,19,2,18.0000,31.0000,9.0000,9.0000,4.0000,27.0000,1.0000,28.0000
Florencio Varela,23,1,7.0000,18.0000,1.0000,6.0000,8.0000,10.0000,4.0000,16.0000
Quilmes,21,7,2.0000,10.0000,,2.0000,1.0000,9.0000,,10.0000
Maschwitz,10,3,20.0000,,11.0000,9.0000,,,,
Buen Ayre,1,2,8.0000,23.0000,2.0000,6.0000,3.0000,20.0000,1.0000,14.0000
Congreso,6,5,43.0000,80.0000,19.0000,24.0000,29.0000,51.0000,7.0000,77.0000
Arroyo Seco,23,5,67.0000,22.0000,29.0000,38.0000,1.0000,21.0000,12.0000,17.0000
Garay,21,5,10.0000,25.0000,2.0000,8.0000,2.0000,23.0000,2.0000,15.0000
Amanecer,18,3,16.0000,41.0000,9.0000,7.0000,4.0000,37.0000,1.0000,38.0000
AUBASA LP-BA,5,5,63.0000,5.0000,27.0000,36.0000,,5.0000,9.0000,1.0000
Parque Sarmiento,3,4,5.0000,5.0000,2.0000,3.0000,1.0000,4.0000,1.0000,5.0000
Gral Paz Capital,4,1,62.0000,30.0000,31.0000,31.0000,8.0000,22.0000,12.0000,25.0000
La Bandera,11,2,26.0000,187.0000,13.0000,13.0000,15.0000,172.0000,12.0000,187.0000
Amanecer,10,4,33.0000,63.0000,25.0000,8.0000,9.0000,54.0000,2.0000,60.0000
Gutierrez,22,2,5.0000,13.0000,1.0000,4.0000,5.0000,8.0000,,9.0000
Cabildo,4,2,6.0000,4.0000,3.0000,3.0000,,4.0000,,4.0000
Quilmes,20,4,4.0000,14.0000,,4.0000,1.0000,13.0000,,14.0000
Las Heras,12,2,19.0000,33.0000,1.0000,18.0000,1.0000,32.0000,11.0000,32.0000
Cabildo,16,1,4.0000,7.0000,1.0000,3.0000,,7.0000,,7.0000
Bulnes,18,7,5.0000,10.0000,3.0000,2.0000,3.0000,7.0000,,10.0000
El Arco,19,3,38.0000,49.0000,13.0000,25.0000,4.0000,45.0000,11.0000,45.0000
Lima,0,5,53.0000,30.0000,15.0000,38.0000,5.0000,25.0000,20.0000,21.0000
Laferrere,16,6,4.0000,22.0000,,4.0000,,22.0000,1.0000,21.0000
Florencio Varela,20,4,7.0000,8.0000,2.0000,5.0000,2.0000,6.0000,1.0000,8.0000
Buen Ayre,3,4,24.0000,11.0000,12.0000,12.0000,5.0000,6.0000,3.0000,9.0000
Alvear,5,2,55.0000,52.0000,21.0000,34.0000,7.0000,45.0000,19.0000,38.0000
Quilmes,17,7,12.0000,17.0000,5.0000,7.0000,1.0000,16.0000,1.0000,17.0000
Emilio Castro,2,3,10.0000,4.0000,9.0000,1.0000,4.0000,,1.0000,4.0000
Maschwitz,9,4,27.0000,,12.0000,15.0000,,,,
Las Heras,18,6,14.0000,40.0000,6.0000,8.0000,3.0000,37.0000,1.0000,40.0000
Cabildo,1,3,4.0000,13.0000,4.0000,,1.0000,12.0000,,13.0000
Zarate Brazo Largo,9,3,29.0000,30.0000,11.0000,18.0000,4.0000,26.0000,6.0000,15.0000
Quilmes,13,3,9.0000,37.0000,,9.0000,6.0000,31.0000,,36.0000
Alberdi,23,2,3.0000,,1.0000,2.0000,,,,
Trelles,1,7,3.0000,15.0000,,3.0000,1.0000,14.0000,2.0000,10.0000
Laferrere,4,3,16.0000,10.0000,10.0000,6.0000,5.0000,5.0000,1.0000,9.0000
Emilio Castro,2,1,10.0000,23.0000,2.0000,8.0000,3.0000,20.0000,3.0000,17.0000
Santa Rita,13,3,9.0000,38.0000,2.0000,7.0000,2.0000,36.0000,4.0000,34.0000
Amanecer,3,6,2.0000,4.0000,2.0000,,,4.0000,,4.0000
La Bandera,0,5,,12.0000,,,1.0000,11.0000,,10.0000
Trelles,15,2,9.0000,25.0000,3.0000,6.0000,,25.0000,1.0000,19.0000
Floresta,7,4,58.0000,41.0000,18.0000,40.0000,11.0000,30.0000,8.0000,34.0000
Bonpland,16,3,35.0000,78.0000,16.0000,19.0000,8.0000,70.0000,4.0000,67.0000
Las Heras,16,7,21.0000,17.0000,8.0000,13.0000,,17.0000,8.0000,17.0000
Laferrere,14,2,5.0000,9.0000,,5.0000,,9.0000,1.0000,9.0000
Santa Fe,9,7,30.0000,13.0000,10.0000,20.0000,3.0000,10.0000,8.0000,10.0000
Congreso,23,5,8.0000,26.0000,,8.0000,,26.0000,5.0000,25.0000
Florencio Varela,14,7,6.0000,25.0000,,6.0000,9.0000,16.0000,2.0000,24.0000
El Arco,1,2,11.0000,12.0000,4.0000,7.0000,,12.0000,4.0000,8.0000
La Carmela,15,2,14.0000,13.0000,4.0000,10.0000,,13.0000,1.0000,12.0000
La Bandera,18,1,9.0000,104.0000,2.0000,7.0000,5.0000,99.0000,,103.0000
Quilmes,1,2,5.0000,14.0000,1.0000,4.0000,,14.0000,,14.0000
Villa Luro,3,5,8.0000,11.0000,1.0000,7.0000,1.0000,10.0000,2.0000,10.0000
Zarate Brazo Largo,1,3,7.0000,,4.0000,3.0000,,,,
Dialogos,1,2,7.0000,8.0000,6.0000,1.0000,2.0000,6.0000,,7.0000
Emilio Castro,19,6,5.0000,11.0000,1.0000,4.0000,1.0000,10.0000,1.0000,8.0000
Maipu,9,6,27.0000,27.0000,25.0000,2.0000,7.0000,20.0000,,27.0000
America,14,1,10.0000,27.0000,7.0000,3.0000,2.0000,25.0000,,27.0000
AUBASA LP-BA,3,2,41.0000,9.0000,19.0000,22.0000,6.0000,3.0000,12.0000,9.0000
Villa Allende,6,4,11.0000,32.0000,2.0000,9.0000,,32.0000,4.0000,16.0000
Gutierrez,4,5,8.0000,5.0000,5.0000,3.0000,1.0000,4.0000,,3.0000
Dialogos,21,1,5.0000,4.0000,1.0000,4.0000,2.0000,2.0000,1.0000,3.0000
Amanecer,21,4,5.0000,12.0000,2.0000,3.0000,2.0000,10.0000,1.0000,12.0000
America,20,1,7.0000,38.0000,4.0000,3.0000,3.0000,35.0000,,33.0000
Cabildo,13,7,7.0000,8.0000,1.0000,6.0000,1.0000,7.0000,,8.0000
Congreso,22,4,7.0000,8.0000,1.0000,6.0000,,8.0000,3.0000,8.0000
Alberdi,20,2,1.0000,,,1.0000,,,,
Olivos,2,2,4.0000,6.0000,4.0000,,4.0000,2.0000,,6.0000
Cabildo,0,4,6.0000,,5.0000,1.0000,,,,
La Bandera,1,1,2.0000,16.0000,,2.0000,,16.0000,,16.0000
AUBASA BA-LP,6,1,62.0000,15.0000,20.0000,42.0000,1.0000,14.0000,9.0000,10.0000
Del Tejar,4,6,11.0000,9.0000,8.0000,3.0000,1.0000,8.0000,,8.0000
Zarate,14,3,8.0000,7.0000,3.0000,5.0000,,7.0000,,7.0000
Zarate Brazo Largo,17,3,22.0000,7.0000,9.0000,13.0000,,7.0000,3.0000,5.0000
Emilio Castro,13,7,8.0000,7.0000,4.0000,4.0000,,7.0000,,6.0000
Floresta,10,5,19.0000,38.0000,5.0000,14.0000,4.0000,34.0000,6.0000,34.0000
San Isidro,20,6,13.0000,25.0000,11.0000,2.0000,3.0000,22.0000,,20.0000
Alvear,21,1,12.0000,49.0000,3.0000,9.0000,7.0000,42.0000,2.0000,37.0000
Rosario Sur,11,7,6.0000,,2.0000,4.0000,,,,
Pilar,21,7,6.0000,7.0000,3.0000,3.0000,2.0000,5.0000,1.0000,6.0000
San Isidro,13,4,18.0000,62.0000,4.0000,14.0000,6.0000,56.0000,3.0000,51.0000
Santa Rita,10,3,30.0000,68.0000,12.0000,18.0000,17.0000,51.0000,7.0000,64.0000
Zarate Brazo Largo,5,2,23.0000,8.0000,8.0000,15.0000,1.0000,7.0000,8.0000,4.0000
Emilio Castro,12,7,10.0000,30.0000,5.0000,5.0000,2.0000,28.0000,,26.0000
Amanecer,23,1,10.0000,20.0000,2.0000,8.0000,1.0000,19.0000,1.0000,20.0000
Bonpland,0,2,16.0000,24.0000,6.0000,10.0000,1.0000,23.0000,2.0000,18.0000
Gral Paz Capital,14,6,28.0000,87.0000,10.0000,18.0000,2.0000,85.0000,4.0000,69.0000
Rosario Sur,21,4,1.0000,,,1.0000,,,,
Bulnes,6,4,8.0000,4.0000,,8.0000,,4.0000,1.0000,4.0000
Olivos,10,1,18.0000,29.0000,16.0000,2.0000,8.0000,21.0000,,29.0000
Congreso,18,5,22.0000,35.0000,8.0000,14.0000,3.0000,32.0000,3.0000,33.0000
Zarate Brazo Largo,20,5,10.0000,9.0000,6.0000,4.0000,1.0000,8.0000,2.0000,4.0000
Pilar,17,1,12.0000,19.0000,12.0000,,6.0000,13.0000,,19.0000
Los Incas,17,6,8.0000,1.0000,5.0000,3.0000,,1.0000,,1.0000
Emilio Castro,23,1,2.0000,7.0000,1.0000,1.0000,1.0000,6.0000,1.0000,7.0000
Fisherton,6,1,24.0000,19.0000,11.0000,13.0000,1.0000,18.0000,2.0000,18.0000
AUBASA BA-LP,22,7,23.0000,20.0000,10.0000,13.0000,4.0000,16.0000,4.0000,12.0000
Floresta,17,5,25.0000,33.0000,8.0000,17.0000,7.0000,26.0000,5.0000,32.0000
Olivos,5,5,15.0000,12.0000,15.0000,,9.0000,3.0000,,12.0000
Emilio Castro,18,3,19.0000,9.0000,6.0000,13.0000,1.0000,8.0000,6.0000,9.0000
Buen Ayre,12,3,52.0000,112.0000,21.0000,31.0000,11.0000,101.0000,7.0000,73.0000
Boulevard,0,2,6.0000,5.0000,1.0000,5.0000,,5.0000,2.0000,4.0000
Santa Fe,12,3,4.0000,7.0000,1.0000,3.0000,,7.0000,1.0000,7.0000
Ovidio Lagos,17,5,10.0000,76.0000,3.0000,7.0000,4.0000,72.0000,,70.0000
Cabildo,3,5,6.0000,6.0000,4.0000,2.0000,1.0000,5.0000,,6.0000
Boulevard,21,6,5.0000,13.0000,4.0000,1.0000,,13.0000,1.0000,12.0000
Trelles,16,6,31.0000,14.0000,9.0000,22.0000,2.0000,12.0000,3.0000,11.0000
Maschwitz,2,2,2.0000,,2.0000,,,,,
Centenera,22,7,3.0000,4.0000,1.0000,2.0000,1.0000,3.0000,,4.0000
Rosario Sur,9,1,3.0000,,,3.0000,,,,
Maipu,14,7,5.0000,20.0000,5.0000,,4.0000,16.0000,,20.0000
Buen Ayre,0,6,16.0000,41.0000,8.0000,8.0000,7.0000,34.0000,3.0000,31.0000
Boulevard,21,1,5.0000,18.0000,1.0000,4.0000,2.0000,16.0000,1.0000,16.0000
Boulevard,0,5,3.0000,9.0000,1.0000,2.0000,1.0000,8.0000,1.0000,7.0000
La Carmela,7,6,55.0000,34.0000,31.0000,24.0000,7.0000,27.0000,1.0000,34.0000
Emilio Castro,15,1,3.0000,9.0000,2.0000,1.0000,1.0000,8.0000,1.0000,8.0000
Villa Luro,14,1,7.0000,32.0000,4.0000,3.0000,6.0000,26.0000,,16.0000
Los Incas,10,2,26.0000,1.0000,16.0000,10.0000,,1.0000,,1.0000
Zarate Brazo Largo,5,3,16.0000,7.0000,5.0000,11.0000,,7.0000,6.0000,3.0000
Centenera,14,7,1.0000,11.0000,1.0000,,1.0000,10.0000,,10.0000
Olivos,21,3,9.0000,12.0000,9.0000,,,12.0000,,8.0000
Maschwitz,11,4,16.0000,,8.0000,8.0000,,,,
Las Heras,23,2,11.0000,12.0000,4.0000,7.0000,,12.0000,4.0000,12.0000
Zarate,20,5,5.0000,5.0000,2.0000,3.0000,2.0000,3.0000,,5.0000
Zarate,12,3,7.0000,15.0000,1.0000,6.0000,2.0000,13.0000,,15.0000
Floresta,13,6,5.0000,15.0000,2.0000,3.0000,,15.0000,,12.0000
Zarate,23,4,7.0000,2.0000,5.0000,2.0000,,2.0000,,2.0000
Del Tejar,13,7,9.0000,21.0000,7.0000,2.0000,4.0000,17.0000,1.0000,17.0000
Santa Fe,19,2,18.0000,4.0000,8.0000,10.0000,,4.0000,4.0000,3.0000
Boulevard,22,6,6.0000,10.0000,2.0000,4.0000,1.0000,9.0000,4.0000,10.0000
Alsina,4,6,12.0000,18.0000,9.0000,3.0000,2.0000,16.0000,,17.0000
Las Heras,21,4,6.0000,10.0000,,6.0000,2.0000,8.0000,2.0000,10.0000
Emilio Castro,22,5,2.0000,1.0000,2.0000,,,1.0000,,1.0000
Olivos,3,4,7.0000,,7.0000,,,,,
Gutierrez,1,2,4.0000,2.0000,2.0000,2.0000,1.0000,1.0000,,2.0000
Floresta,20,6,2.0000,20.0000,1.0000,1.0000,5.0000,15.0000,,20.0000
Trelles,15,4,14.0000,24.0000,4.0000,10.0000,1.0000,23.0000,5.0000,13.0000
La Bandera,3,4,,5.0000,,,4.0000,1.0000,,5.0000
Dialogos,1,7,4.0000,22.0000,2.0000,2.0000,9.0000,13.0000,1.0000,18.0000
Amanecer,22,5,12.0000,12.0000,3.0000,9.0000,1.0000,11.0000,,9.0000
Garay,1,2,9.0000,14.0000,2.0000,7.0000,3.0000,11.0000,4.0000,10.0000
Floresta,4,5,4.0000,7.0000,1.0000,3.0000,,7.0000,,7.0000
Rosario Sur,21,1,4.0000,,2.0000,2.0000,,,,
Parque Sarmiento,1,5,7.0000,16.0000,4.0000,3.0000,2.0000,14.0000,,14.0000
Trelles,0,5,5.0000,11.0000,1.0000,4.0000,5.0000,6.0000,,10.0000
Centenera,17,7,8.0000,16.0000,3.0000,5.0000,4.0000,12.0000,,13.0000
Laferrere,21,4,,8.0000,,,1.0000,7.0000,,7.0000
Pilar,23,4,2.0000,4.0000,1.0000,1.0000,,4.0000,1.0000,4.0000
Rosario Sur,2,5,1.0000,,,1.0000,,,,
Parque Sarmiento,3,3,3.0000,2.0000,2.0000,1.0000,2.0000,,,2.0000
Rosario Sur,0,1,3.0000,,1.0000,2.0000,,,,
Emilio Castro,21,6,5.0000,5.0000,1.0000,4.0000,,5.0000,1.0000,5.0000
La Bandera,22,1,2.0000,7.0000,,2.0000,,7.0000,2.0000,7.0000
Los Incas,15,6,10.0000,,4.0000,6.0000,,,,
Alberdi,10,3,10.0000,1.0000,5.0000,5.0000,,1.0000,,
La Bandera,3,2,2.0000,4.0000,,2.0000,,4.0000,1.0000,4.0000
Alberdi,14,4,3.0000,,3.0000,,,,,
Boulevard,1,4,8.0000,7.0000,,8.0000,1.0000,6.0000,7.0000,5.0000
Floresta,2,6,1.0000,6.0000,1.0000,,1.0000,5.0000,,5.0000
Dialogos,3,6,2.0000,1.0000,2.0000,,,1.0000,,
Florencio Varela,4,2,6.0000,1.0000,,6.0000,,1.0000,2.0000,1.0000
Santa Rita,15,1,12.0000,19.0000,4.0000,8.0000,3.0000,16.0000,2.0000,14.0000
Maipu,5,3,9.0000,9.0000,9.0000,,2.0000,7.0000,,9.0000
La Bandera,1,2,,1.0000,,,,1.0000,,1.0000
Zarate Brazo Largo,20,1,20.0000,6.0000,7.0000,13.0000,3.0000,3.0000,5.0000,4.0000
Cabildo,18,6,4.0000,5.0000,1.0000,3.0000,1.0000,4.0000,,5.0000
Laferrere,17,7,12.0000,17.0000,4.0000,8.0000,1.0000,16.0000,2.0000,17.0000
Trelles,23,2,4.0000,11.0000,1.0000,3.0000,2.0000,9.0000,1.0000,7.0000
Maschwitz,3,6,4.0000,,1.0000,3.0000,,,,
Rivadavia,9,7,7.0000,,4.0000,3.0000,,,,
Pilar,20,1,9.0000,9.0000,8.0000,1.0000,2.0000,7.0000,,9.0000
Rosario Sur,4,6,5.0000,,,5.0000,,,,
Centenera,19,3,6.0000,5.0000,4.0000,2.0000,,5.0000,,2.0000
Rosario Sur,10,5,3.0000,,1.0000,2.0000,,,,
Rivadavia,16,3,2.0000,,1.0000,1.0000,,,,
Rivadavia,15,3,1.0000,,,1.0000,,,,
Las Heras,3,5,3.0000,3.0000,,3.0000,,3.0000,2.0000,3.0000
San Isidro,1,5,7.0000,4.0000,6.0000,1.0000,,4.0000,,1.0000
Rosario Sur,23,2,2.0000,,,2.0000,,,,
CORS EVENTOS,15,4,5.0000,,,5.0000,,,,
Dialogos,2,6,4.0000,4.0000,,4.0000,,4.0000,2.0000,4.0000
