estacion,hora,dia_semana,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
AUBASA BA-LP,1,2,45.0000,22.0000,25.0000,20.0000,5.0000,17.0000,9.0000,15.0000
Emilio Castro,20,1,5.0000,9.0000,1.0000,4.0000,,9.0000,1.0000,7.0000
Villa Luro,5,5,82.0000,13.0000,15.0000,67.0000,2.0000,11.0000,35.0000,13.0000
La Carmela,6,5,29.0000,19.0000,17.0000,12.0000,5.0000,14.0000,,19.0000
Arroyo Seco,15,5,224.0000,189.0000,93.0000,131.0000,27.0000,162.0000,50.0000,142.0000
Villa Allende,10,5,24.0000,70.0000,3.0000,21.0000,2.0000,68.0000,9.0000,60.0000
Floresta,19,3,8.0000,17.0000,5.0000,3.0000,4.0000,13.0000,1.0000,15.0000
Alsina,8,3,41.0000,41.0000,17.0000,24.0000,6.0000,35.0000,4.0000,37.0000
Garay,17,6,17.0000,74.0000,7.0000,10.0000,9.0000,65.0000,3.0000,57.0000
Amanecer,9,2,63.0000,60.0000,31.0000,32.0000,16.0000,44.0000,12.0000,52.0000
El Arco,23,2,12.0000,48.0000,6.0000,6.0000,,48.0000,5.0000,41.0000
Rosario Sur,5,5,10.0000,,2.0000,8.0000,,,,
Boulevard,12,1,21.0000,72.0000,14.0000,7.0000,4.0000,68.0000,2.0000,64.0000
Alvear,12,4,41.0000,119.0000,13.0000,28.0000,10.0000,109.0000,8.0000,99.0000
Garay,10,6,35.0000,60.0000,13.0000,22.0000,5.0000,55.0000,11.0000,49.0000
Arroyo Seco,22,5,52.0000,38.0000,19.0000,33.0000,1.0000,37.0000,14.0000,32.0000
Alvear,10,1,85.0000,75.0000,41.0000,44.0000,10.0000,65.0000,7.0000,55.0000
Amanecer,4,7,9.0000,11.0000,2.0000,7.0000,,11.0000,,11.0000
Buen Ayre,10,7,121.0000,112.0000,60.0000,61.0000,14.0000,98.0000,7.0000,78.0000
Luis Viale,14,5,6.0000,44.0000,5.0000,1.0000,1.0000,43.0000,,30.0000
Boulevard,6,1,20.0000,20.0000,10.0000,10.0000,,20.0000,5.0000,15.0000
Zarate Brazo Largo,23,5,13.0000,6.0000,2.0000,11.0000,,6.0000,3.0000,4.0000
El Arco,0,3,17.0000,22.0000,3.0000,14.0000,1.0000,21.0000,8.0000,13.0000
Bonpland,7,4,115.0000,59.0000,41.0000,74.0000,8.0000,51.0000,16.0000,44.0000
Gral Paz Capital,15,2,47.0000,119.0000,17.0000,30.0000,7.0000,112.0000,10.0000,92.0000
Rivadavia,10,2,14.0000,,6.0000,8.0000,,,,
La Bandera,12,5,18.0000,116.0000,8.0000,10.0000,11.0000,105.0000,7.0000,116.0000
AUBASA LP-BA,9,4,200.0000,110.0000,78.0000,122.0000,6.0000,104.0000,24.0000,57.0000
Parque Sarmiento,3,6,4.0000,3.0000,2.0000,2.0000,,3.0000,,3.0000
Gral Paz Provincia,4,3,75.0000,15.0000,40.0000,35.0000,4.0000,11.0000,21.0000,9.0000
Villa Luro,10,3,45.0000,108.0000,10.0000,35.0000,18.0000,90.0000,13.0000,84.0000
Arroyo Seco,21,2,74.0000,45.0000,39.0000,35.0000,11.0000,34.0000,11.0000,42.0000
Arroyo Seco,11,7,209.0000,152.0000,87.0000,122.0000,26.0000,126.0000,43.0000,116.0000
Alvear,1,7,21.0000,82.0000,6.0000,15.0000,21.0000,61.0000,6.0000,59.0000
La Carmela,11,2,15.0000,14.0000,10.0000,5.0000,,14.0000,,14.0000
Ovidio Lagos,21,1,2.0000,26.0000,,2.0000,1.0000,25.0000,,24.0000
Del Tejar,2,6,24.0000,10.0000,13.0000,11.0000,1.0000,9.0000,1.0000,9.0000
Alvear,2,1,41.0000,103.0000,21.0000,20.0000,10.0000,93.0000,6.0000,84.0000
Zarate Brazo Largo,6,5,29.0000,8.0000,18.0000,11.0000,4.0000,4.0000,6.0000,6.0000
CORS EVENTOS,21,7,2.0000,,,2.0000,,,,
La Bandera,10,7,24.0000,96.0000,15.0000,9.0000,2.0000,94.0000,5.0000,96.0000
Villa Luro,0,4,12.0000,41.0000,5.0000,7.0000,3.0000,38.0000,1.0000,26.0000
Gutierrez,9,7,28.0000,38.0000,10.0000,18.0000,7.0000,31.0000,7.0000,26.0000
Congreso,14,2,5.0000,31.0000,1.0000,4.0000,1.0000,30.0000,,28.0000
Trelles,16,4,6.0000,23.0000,1.0000,5.0000,,23.0000,,16.0000
San Isidro,23,5,4.0000,12.0000,3.0000,1.0000,4.0000,8.0000,,10.0000
America,17,7,13.0000,21.0000,11.0000,2.0000,2.0000,19.0000,,19.0000
Zarate,11,3,10.0000,14.0000,6.0000,4.0000,2.0000,12.0000,,14.0000
Bonpland,4,7,35.0000,44.0000,14.0000,21.0000,11.0000,33.0000,6.0000,37.0000
Fisherton,15,7,4.0000,80.0000,2.0000,2.0000,,80.0000,,77.0000
Bonpland,15,4,28.0000,64.0000,9.0000,19.0000,8.0000,56.0000,8.0000,46.0000
Gutierrez,17,1,38.0000,49.0000,20.0000,18.0000,21.0000,28.0000,6.0000,43.0000
Lima,20,3,59.0000,30.0000,26.0000,33.0000,6.0000,24.0000,16.0000,23.0000
Laferrere,12,2,2.0000,23.0000,1.0000,1.0000,4.0000,19.0000,,23.0000
Alsina,12,5,26.0000,29.0000,12.0000,14.0000,4.0000,25.0000,6.0000,22.0000
Maschwitz,7,1,36.0000,,23.0000,13.0000,,,,
