estacion,hora,dia_semana,q_cafes_llevar_algo_bakery_negro1,q_cafes_local_algo_bakery_negro1
Florencio Varela,6,2,6.0000,10.0000
AUBASA BA-LP,9,4,48.0000,80.0000
San Isidro,0,5,,1.0000
Bulnes,8,5,3.0000,9.0000
Del Tejar,16,1,,2.0000
Villa Luro,4,6,1.0000,1.0000
AUBASA BA-LP,18,5,25.0000,34.0000
La Carmela,20,7,,
Centenera,7,1,7.0000,5.0000
Villa Luro,21,1,,8.0000
Villa Luro,21,3,,3.0000
Emilio Castro,12,6,3.0000,1.0000
Olivos,14,3,,3.0000
Emilio Castro,8,3,2.0000,3.0000
Dialogos,20,4,,1.0000
Trelles,16,4,1.0000,6.0000
Centenera,5,7,8.0000,
Santa Rita,19,6,1.0000,5.0000
Congreso,14,2,2.0000,6.0000
Zarate,15,6,,
Floresta,11,5,2.0000,8.0000
Garay,1,4,,
Bonpland,15,4,,26.0000
Santa Fe,17,5,2.0000,
Luis Viale,12,3,6.0000,16.0000
Las Heras,15,7,3.0000,
America,5,6,3.0000,11.0000
Santa Fe,10,3,6.0000,3.0000
Fisherton,3,3,,
Zarate,11,3,,1.0000
Trelles,11,6,4.0000,14.0000
Maipu,0,3,,
Alsina,15,3,3.0000,11.0000
La Bandera,16,2,,
Laferrere,1,2,,
Zarate Brazo Largo,22,5,4.0000,4.0000
Pilar,13,7,1.0000,
San Isidro,12,3,2.0000,20.0000
Centenera,6,2,3.0000,10.0000
Bonpland,11,5,5.0000,50.0000
Zarate Brazo Largo,14,4,5.0000,11.0000
Garay,19,6,3.0000,15.0000
La Bandera,1,4,,
Dialogos,9,2,1.0000,11.0000
San Isidro,14,2,1.0000,15.0000
Zarate Brazo Largo,3,3,4.0000,1.0000
El Club,2,4,,1.0000
Bulnes,18,5,1.0000,10.0000
Trelles,14,1,,3.0000
Maipu,15,5,,
Garay,23,2,1.0000,1.0000
Laferrere,14,3,4.0000,
Laferrere,22,4,1.0000,
Santa Fe,14,1,,
Floresta,5,6,8.0000,1.0000
La Carmela,12,6,,
Pilar,12,7,,11.0000
Congreso,5,1,7.0000,7.0000
El Arco,14,5,2.0000,3.0000
Bulnes,8,1,1.0000,
Trelles,16,2,1.0000,9.0000
Las Heras,22,4,1.0000,
Alsina,2,4,,
America,1,3,,3.0000
Cabildo,18,7,,
Laferrere,19,4,,
Luis Viale,7,1,2.0000,13.0000
Arroyo Seco,21,2,7.0000,4.0000
Santa Rita,14,7,1.0000,2.0000
Gral Paz Capital,0,1,2.0000,3.0000
El Arco,13,6,3.0000,7.0000
El Club,5,2,2.0000,1.0000
Villa Luro,18,6,4.0000,25.0000
Quilmes,4,3,,3.0000
Cabildo,6,7,,
CORS Alem,10,5,8.0000,
AUBASA BA-LP,21,4,,4.0000
Florencio Varela,15,2,,
Garay,5,2,4.0000,3.0000
Quilmes,23,1,,
La Carmela,4,5,,
Gral Paz Capital,16,5,7.0000,12.0000
El Club,4,2,,4.0000
America,12,7,2.0000,17.0000
Pilar,20,3,,
El Arco,4,7,15.0000,3.0000
Alvear,13,1,,9.0000
Dialogos,5,7,2.0000,7.0000
Laferrere,11,2,3.0000,
Emilio Castro,23,6,,
Amanecer,22,4,,
Gutierrez,3,5,,1.0000
Maipu,2,1,,
Maipu,21,6,,
Laferrere,15,5,,1.0000
Floresta,7,1,11.0000,11.0000
Quilmes,22,3,,
Santa Rita,23,4,,
Floresta,0,2,3.0000,1.0000
Ovidio Lagos,16,3,,
Alsina,21,4,1.0000,3.0000
Pilar,15,4,,2.0000
Santa Fe,17,3,4.0000,2.0000
Pilar,16,1,,
Quilmes,1,6,,1.0000
Centenera,5,4,,1.0000
Fisherton,21,5,,
Ovidio Lagos,16,7,,1.0000
Santa Fe,9,3,1.0000,8.0000
Zarate,14,1,,
Bonpland,3,7,2.0000,10.0000
Laferrere,18,7,,1.0000
Santa Rita,19,7,3.0000,3.0000
Cabildo,10,1,,
Zarate,14,6,,
Los Incas,7,7,,
Del Tejar,2,6,,6.0000
La Bandera,12,5,8.0000,
Villa Allende,22,7,,1.0000
Santa Fe,13,7,2.0000,
Zarate,12,2,,1.0000
Floresta,16,5,5.0000,3.0000
Gutierrez,15,7,,11.0000
Parque Sarmiento,0,5,,
Trelles,22,7,,5.0000
San Isidro,4,2,,
Maipu,3,2,,
Santa Rita,14,3,2.0000,4.0000
Ovidio Lagos,18,4,,2.0000
Santa Fe,11,3,4.0000,5.0000
Olivos,12,1,1.0000,4.0000
Parque Sarmiento,14,2,2.0000,6.0000
Centenera,5,6,2.0000,1.0000
Maipu,15,3,,
CORS Alem,16,6,8.0000,
Gutierrez,14,1,2.0000,4.0000
Garay,5,1,5.0000,3.0000
Pilar,20,6,,
Maipu,0,7,,
San Isidro,2,7,,
Quilmes,17,1,,5.0000
Maipu,2,7,,
Zarate,19,5,1.0000,
Ovidio Lagos,1,7,,
Congreso,3,2,1.0000,2.0000
Garay,2,2,,3.0000
Luis Viale,12,6,3.0000,9.0000
AUBASA BA-LP,1,2,3.0000,4.0000
Villa Luro,0,7,1.0000,8.0000
Alsina,0,4,,2.0000
Dialogos,0,6,,2.0000
Santa Rita,0,2,,
Dialogos,3,5,,2.0000
CORS EVENTOS,19,6,,
Quilmes,22,5,,
Laferrere,5,5,1.0000,
Zarate,0,7,,
AUBASA BA-LP,2,4,5.0000,
Dialogos,13,5,,1.0000
