estacion,hora,dia_semana,q_cafes_llevar_algo_bakery_negro1,q_cafes_local_algo_bakery_negro1
Lima,23,4,10.0000,7.0000
Villa Allende,19,7,2.0000,14.0000
Trelles,14,4,1.0000,8.0000
Olivos,15,3,,5.0000
La Carmela,18,5,1.0000,1.0000
Las Heras,22,1,,
Gral Paz Provincia,1,2,,5.0000
Cabildo,12,1,,
Santa Rita,13,4,,7.0000
Dialogos,3,7,,4.0000
Gral Paz Provincia,5,5,29.0000,15.0000
Gutierrez,12,7,2.0000,8.0000
Buen Ayre,1,6,1.0000,4.0000
Fisherton,19,6,5.0000,4.0000
Alsina,13,5,1.0000,6.0000
AUBASA BA-LP,4,5,19.0000,7.0000
Fisherton,14,7,,1.0000
El Club,15,4,3.0000,23.0000
Zarate Brazo Largo,23,4,1.0000,2.0000
Bonpland,22,4,3.0000,8.0000
Trelles,0,5,1.0000,7.0000
AUBASA BA-LP,22,7,1.0000,5.0000
AUBASA BA-LP,0,3,2.0000,9.0000
Zarate Brazo Largo,22,6,1.0000,2.0000
Los Incas,8,6,,
El Arco,1,7,3.0000,3.0000
San Isidro,12,4,2.0000,18.0000
Gral Paz Provincia,14,2,4.0000,10.0000
Gral Paz Provincia,22,1,,4.0000
Congreso,20,6,1.0000,6.0000
Zarate,13,1,,
Santa Rita,16,3,7.0000,11.0000
Zarate Brazo Largo,21,1,12.0000,
Bulnes,17,1,,2.0000
Dialogos,0,1,,
Floresta,16,2,4.0000,3.0000
Las Heras,14,2,2.0000,
Gutierrez,12,6,1.0000,12.0000
Emilio Castro,13,4,,
Centenera,18,6,,3.0000
Santa Rita,20,5,,1.0000
Laferrere,20,2,,2.0000
Florencio Varela,3,4,9.0000,
Alsina,15,4,2.0000,8.0000
Santa Rita,22,3,1.0000,
Los Incas,10,3,,
Alsina,4,6,,3.0000
Quilmes,17,7,2.0000,4.0000
Laferrere,17,2,1.0000,2.0000
Pilar,3,3,,
La Carmela,19,5,,
Trelles,11,2,,11.0000
La Carmela,16,2,1.0000,
Villa Luro,3,7,,17.0000
Emilio Castro,15,5,3.0000,
Santa Fe,6,3,,
Ovidio Lagos,2,6,,
Gral Paz Provincia,1,7,1.0000,10.0000
La Carmela,3,4,,
Alsina,21,3,1.0000,2.0000
Floresta,20,3,2.0000,
Buen Ayre,22,6,3.0000,
Dialogos,20,2,,
Maipu,6,3,,
Laferrere,5,6,,
Buen Ayre,3,4,2.0000,5.0000
Las Heras,21,4,,
San Isidro,1,5,1.0000,
La Carmela,1,4,,
Centenera,11,6,2.0000,27.0000
Gral Paz Capital,23,1,1.0000,1.0000
Ovidio Lagos,0,1,,
CORS EVENTOS,16,5,,
Villa Luro,2,2,,2.0000
Florencio Varela,14,1,,
Laferrere,5,4,2.0000,
Maipu,15,1,,
Las Heras,23,2,,
Zarate,20,5,,
Trelles,4,2,,2.0000
Los Incas,21,2,,
Florencio Varela,0,3,4.0000,
San Isidro,22,5,,2.0000
San Isidro,0,4,,3.0000
Trelles,22,2,,2.0000
Ovidio Lagos,0,5,,
Boulevard,5,4,3.0000,
San Isidro,1,4,,1.0000
Zarate,0,5,,
Zarate,2,7,,
Zarate Brazo Largo,2,1,2.0000,1.0000
La Bandera,3,2,,
Laferrere,20,4,,
La Bandera,0,3,,
Fisherton,23,2,,3.0000
San Isidro,21,3,1.0000,4.0000
Parque Sarmiento,3,3,,
Pilar,0,6,,
Pilar,21,7,,1.0000
Centenera,19,2,1.0000,1.0000
Pilar,14,6,,2.0000
Pilar,21,6,,
Centenera,21,1,,
CORS Alem,15,7,,
El Arco,3,7,2.0000,5.0000
CORS EVENTOS,11,1,,
Ovidio Lagos,2,3,,
El Club,0,7,,2.0000
Emilio Castro,1,5,,
Cabildo,23,3,,
Dialogos,0,2,,
Los Incas,21,5,,
Parque Sarmiento,23,4,,
Boulevard,0,5,,1.0000
Florencio Varela,3,2,7.0000,
Florencio Varela,22,6,,
Dialogos,20,7,1.0000,1.0000
Dialogos,1,2,,1.0000
Dialogos,23,1,,
Boulevard,22,7,,
Trelles,2,4,,
CORS EVENTOS,14,3,,
Dialogos,1,7,1.0000,1.0000
CORS EVENTOS,16,4,,
La Bandera,2,4,,
Maipu,3,4,,
CORS EVENTOS,11,5,,
CORS EVENTOS,21,6,,
La Carmela,9,7,,
AUBASA BA-LP,6,6,43.0000,36.0000
Lima,10,6,96.0000,209.0000
America,10,4,1.0000,38.0000
Lima,0,1,12.0000,8.0000
Alvear,1,5,,10.0000
Zarate,8,6,,1.0000
Olivos,11,7,1.0000,1.0000
Quilmes,8,2,,3.0000
Gral Paz Capital,12,3,8.0000,10.0000
Bonpland,10,4,10.0000,70.0000
Zarate,17,1,,
La Bandera,15,6,2.0000,
Garay,13,6,14.0000,13.0000
Los Incas,10,6,,
Zarate Brazo Largo,20,2,9.0000,3.0000
El Club,16,3,,34.0000
Lima,4,4,23.0000,12.0000
Bulnes,12,2,3.0000,4.0000
Congreso,15,4,1.0000,15.0000
Zarate,20,3,,
El Club,6,4,13.0000,31.0000
Gutierrez,12,5,1.0000,12.0000
Alvear,8,1,21.0000,39.0000
La Bandera,10,3,23.0000,2.0000
Quilmes,11,3,,3.0000
AUBASA BA-LP,9,7,57.0000,131.0000
CORS Alem,9,2,18.0000,
Bonpland,3,2,,1.0000
Villa Allende,8,5,41.0000,65.0000
El Arco,9,5,47.0000,63.0000
Trelles,5,4,2.0000,16.0000
Alsina,17,4,1.0000,11.0000
Los Incas,8,7,,
Maipu,3,1,,1.0000
Gutierrez,17,2,3.0000,10.0000
AUBASA BA-LP,6,5,50.0000,58.0000
Cabildo,13,4,,
Garay,10,7,3.0000,13.0000
America,15,1,5.0000,8.0000
Alsina,7,7,5.0000,15.0000
Luis Viale,19,6,,6.0000
Dialogos,19,5,,
Maipu,20,7,,
Floresta,13,3,,2.0000
Gutierrez,5,2,1.0000,2.0000
Gral Paz Provincia,17,7,9.0000,28.0000
Del Tejar,4,1,,8.0000
AUBASA BA-LP,5,1,14.0000,22.0000
Maipu,1,1,,1.0000
Dialogos,6,5,2.0000,3.0000
El Club,11,6,11.0000,60.0000
Santa Rita,6,5,13.0000,5.0000
Zarate Brazo Largo,16,5,10.0000,14.0000
Luis Viale,8,2,6.0000,24.0000
Florencio Varela,11,2,2.0000,21.0000
Ovidio Lagos,9,6,,10.0000
Luis Viale,12,5,1.0000,9.0000
Emilio Castro,7,7,8.0000,1.0000
Centenera,7,5,12.0000,21.0000
Trelles,6,1,,17.0000
El Arco,18,2,5.0000,27.0000
El Arco,18,4,7.0000,21.0000
Arroyo Seco,13,2,5.0000,33.0000
Alsina,19,2,3.0000,10.0000
Luis Viale,0,3,1.0000,4.0000
Cabildo,9,1,,
Los Incas,6,4,,
Las Heras,9,3,27.0000,3.0000
Bonpland,6,2,4.0000,42.0000
Emilio Castro,10,7,6.0000,3.0000
Floresta,8,3,10.0000,6.0000
Luis Viale,8,4,12.0000,27.0000
Zarate,6,7,,
Pilar,15,3,,2.0000
Cabildo,15,3,,
Villa Allende,15,2,1.0000,11.0000
Arroyo Seco,14,4,18.0000,23.0000
Lima,16,7,41.0000,81.0000
Lima,8,3,109.0000,148.0000
Parque Sarmiento,10,6,1.0000,45.0000
Santa Fe,19,1,,
Fisherton,0,6,1.0000,4.0000
Parque Sarmiento,8,2,6.0000,26.0000
Ovidio Lagos,19,3,,
Arroyo Seco,13,4,9.0000,17.0000
Villa Allende,17,2,6.0000,29.0000
Gral Paz Capital,10,5,18.0000,41.0000
Gutierrez,0,7,,1.0000
Florencio Varela,7,2,6.0000,8.0000
Bonpland,9,2,5.0000,51.0000
AUBASA BA-LP,13,3,4.0000,12.0000
Buen Ayre,19,7,10.0000,41.0000
La Bandera,10,2,20.0000,
Lima,16,2,36.0000,87.0000
Gutierrez,5,6,,4.0000
Gutierrez,7,6,10.0000,15.0000
Dialogos,14,2,,
Olivos,18,6,,15.0000
Zarate Brazo Largo,4,1,2.0000,10.0000
Santa Rita,5,4,3.0000,3.0000
AUBASA BA-LP,6,2,27.0000,31.0000
Gral Paz Capital,19,2,2.0000,17.0000
Laferrere,11,1,1.0000,2.0000
Villa Luro,8,6,2.0000,44.0000
Alvear,10,5,20.0000,78.0000
Garay,21,7,,4.0000
Villa Luro,6,4,3.0000,9.0000
Lima,11,1,51.0000,115.0000
San Isidro,15,2,2.0000,9.0000
Zarate Brazo Largo,8,7,39.0000,44.0000
AUBASA LP-BA,4,3,8.0000,11.0000
Luis Viale,13,6,,6.0000
La Carmela,16,4,,
Gral Paz Provincia,6,2,17.0000,31.0000
San Isidro,4,1,,3.0000
El Arco,5,3,29.0000,12.0000
Parque Sarmiento,13,7,,9.0000
San Isidro,21,6,,2.0000
Centenera,14,4,1.0000,2.0000
Zarate Brazo Largo,16,6,15.0000,9.0000
Alsina,13,2,1.0000,5.0000
Buen Ayre,14,1,2.0000,9.0000
Luis Viale,23,6,1.0000,5.0000
Lima,11,4,48.0000,98.0000
Gutierrez,7,5,12.0000,26.0000
Alvear,17,4,9.0000,65.0000
Gral Paz Capital,16,2,3.0000,20.0000
Villa Luro,11,4,1.0000,25.0000
El Arco,13,1,7.0000,5.0000
Floresta,18,4,4.0000,3.0000
Gral Paz Provincia,9,4,14.0000,73.0000
Gral Paz Capital,19,5,6.0000,12.0000
Congreso,7,7,11.0000,8.0000
El Club,15,2,,16.0000
Floresta,9,6,9.0000,3.0000
Gral Paz Provincia,5,4,20.0000,23.0000
America,12,3,3.0000,18.0000
Santa Rita,18,5,3.0000,6.0000
Villa Allende,17,6,6.0000,22.0000
Cabildo,8,3,,
America,14,4,1.0000,7.0000
Los Incas,23,2,,
Bonpland,9,1,4.0000,32.0000
Bulnes,11,2,5.0000,11.0000
AUBASA BA-LP,7,4,46.0000,63.0000
Bulnes,8,4,4.0000,11.0000
Lima,20,2,26.0000,17.0000
Boulevard,14,4,1.0000,6.0000
Alvear,11,1,12.0000,34.0000
Congreso,11,2,5.0000,13.0000
Pilar,22,7,,
Villa Luro,7,5,15.0000,28.0000
AUBASA LP-BA,12,2,14.0000,23.0000
Pilar,12,2,,4.0000
Ovidio Lagos,3,5,,
San Isidro,6,6,5.0000,24.0000
Gral Paz Capital,18,4,5.0000,11.0000
Florencio Varela,11,4,2.0000,13.0000
Villa Luro,6,2,3.0000,8.0000
Alvear,17,1,3.0000,47.0000
Gral Paz Capital,18,2,7.0000,20.0000
Trelles,17,4,4.0000,14.0000
Bonpland,16,2,4.0000,29.0000
Trelles,17,2,2.0000,8.0000
Gutierrez,19,3,2.0000,12.0000
Quilmes,17,4,,
Gral Paz Provincia,12,7,9.0000,23.0000
Emilio Castro,18,4,3.0000,1.0000
Gutierrez,14,6,1.0000,8.0000
Villa Luro,16,6,,16.0000
La Carmela,3,7,,
Las Heras,19,4,1.0000,1.0000
Lima,6,7,95.0000,84.0000
Villa Luro,18,7,1.0000,32.0000
Villa Luro,9,1,8.0000,20.0000
Alsina,6,5,4.0000,19.0000
Alvear,6,5,10.0000,68.0000
Boulevard,16,6,1.0000,22.0000
CORS Alem,10,4,9.0000,
Alvear,8,2,22.0000,59.0000
Quilmes,15,5,,3.0000
Zarate Brazo Largo,14,7,6.0000,3.0000
Florencio Varela,3,6,11.0000,
Santa Rita,11,4,6.0000,22.0000
Trelles,8,4,6.0000,17.0000
AUBASA LP-BA,8,3,40.0000,53.0000
Lima,19,6,44.0000,46.0000
Boulevard,19,7,1.0000,4.0000
Gral Paz Provincia,9,7,29.0000,79.0000
Centenera,20,6,1.0000,1.0000
Buen Ayre,8,1,28.0000,50.0000
Laferrere,9,2,4.0000,1.0000
Villa Allende,20,3,1.0000,14.0000
El Club,18,5,,44.0000
Floresta,15,1,1.0000,
Pilar,22,3,,
El Arco,22,6,1.0000,8.0000
Fisherton,14,6,4.0000,
Florencio Varela,22,7,,
America,5,2,2.0000,5.0000
Trelles,11,1,1.0000,13.0000
Lima,2,4,20.0000,13.0000
Zarate Brazo Largo,14,6,17.0000,6.0000
Santa Fe,17,4,,1.0000
La Bandera,20,2,,
Floresta,12,7,4.0000,3.0000
AUBASA LP-BA,7,4,42.0000,32.0000
La Bandera,18,4,3.0000,
Arroyo Seco,12,4,12.0000,37.0000
Olivos,3,2,,
Arroyo Seco,19,5,26.0000,55.0000
AUBASA LP-BA,17,5,10.0000,46.0000
AUBASA BA-LP,3,6,4.0000,1.0000
Cabildo,9,7,,
Fisherton,13,1,,
Parque Sarmiento,9,1,12.0000,9.0000
Parque Sarmiento,9,2,9.0000,35.0000
Gral Paz Provincia,18,6,5.0000,31.0000
Las Heras,6,7,21.0000,3.0000
Pilar,10,2,,15.0000
Boulevard,11,6,9.0000,31.0000
Laferrere,9,1,1.0000,1.0000
La Bandera,14,2,,
Zarate Brazo Largo,19,5,11.0000,13.0000
America,12,6,2.0000,18.0000
Olivos,8,4,3.0000,3.0000
Santa Fe,8,7,7.0000,10.0000
El Club,11,1,13.0000,49.0000
Amanecer,13,7,3.0000,2.0000
AUBASA BA-LP,6,7,57.0000,36.0000
Bulnes,20,1,,
Emilio Castro,1,6,,
Parque Sarmiento,6,2,7.0000,13.0000
Emilio Castro,10,6,5.0000,4.0000
Quilmes,16,5,,2.0000
Boulevard,17,1,,11.0000
Alsina,11,3,3.0000,14.0000
Gral Paz Capital,8,3,20.0000,40.0000
Villa Allende,11,7,19.0000,50.0000
Del Tejar,9,5,1.0000,32.0000
El Arco,19,6,10.0000,28.0000
Fisherton,9,6,13.0000,3.0000
Gral Paz Provincia,0,1,1.0000,4.0000
Alsina,14,5,4.0000,4.0000
Bonpland,1,4,1.0000,
Gral Paz Provincia,19,6,5.0000,16.0000
Buen Ayre,23,4,1.0000,6.0000
Del Tejar,5,3,,3.0000
La Carmela,8,3,,
CORS Alem,7,7,1.0000,
Fisherton,19,3,2.0000,
Olivos,11,4,1.0000,4.0000
Zarate Brazo Largo,1,2,7.0000,1.0000
La Bandera,19,2,2.0000,
AUBASA LP-BA,3,7,3.0000,4.0000
Gral Paz Capital,22,4,2.0000,4.0000
Zarate Brazo Largo,4,4,3.0000,1.0000
Bulnes,14,3,,4.0000
Laferrere,18,6,2.0000,4.0000
El Arco,3,1,5.0000,6.0000
La Carmela,11,1,,
San Isidro,21,1,,1.0000
Cabildo,20,4,,
Del Tejar,18,6,2.0000,9.0000
Emilio Castro,11,5,4.0000,3.0000
Floresta,18,7,1.0000,2.0000
Florencio Varela,4,5,26.0000,
El Arco,15,4,2.0000,5.0000
Floresta,18,5,1.0000,4.0000
Dialogos,21,6,,1.0000
Alsina,0,2,,2.0000
Alvear,5,7,7.0000,16.0000
Gutierrez,17,5,5.0000,13.0000
Los Incas,17,4,,
Alvear,3,4,3.0000,5.0000
Pilar,10,1,1.0000,17.0000
Gutierrez,19,2,,9.0000
Del Tejar,23,6,,3.0000
Laferrere,5,7,4.0000,
Fisherton,2,6,,2.0000
Las Heras,5,3,3.0000,
Quilmes,3,1,,
Villa Allende,21,3,,3.0000
El Club,23,5,,2.0000
Zarate,19,4,,
Las Heras,2,1,1.0000,
El Arco,14,2,,6.0000
El Club,0,6,,
Luis Viale,21,1,1.0000,6.0000
Villa Luro,7,7,7.0000,50.0000
Boulevard,19,4,1.0000,5.0000
Florencio Varela,5,4,24.0000,
Villa Allende,23,4,,2.0000
San Isidro,22,2,,1.0000
Gral Paz Provincia,13,3,4.0000,12.0000
Maipu,23,5,,
America,18,3,1.0000,11.0000
Zarate Brazo Largo,14,5,6.0000,10.0000
Santa Rita,20,3,,
Cabildo,19,3,,
CORS Alem,12,6,,
Bulnes,13,5,1.0000,9.0000
Quilmes,7,1,,
CORS Alem,13,5,1.0000,
Gral Paz Provincia,0,6,,3.0000
Amanecer,16,2,,10.0000
Trelles,18,3,3.0000,13.0000
Villa Allende,20,7,1.0000,10.0000
Floresta,13,2,,3.0000
Laferrere,9,3,4.0000,4.0000
Luis Viale,4,4,3.0000,
Cabildo,8,6,,
Florencio Varela,3,5,16.0000,
America,2,1,,2.0000
CORS Alem,15,3,6.0000,
Las Heras,9,1,11.0000,
Del Tejar,23,4,,1.0000
Garay,5,4,11.0000,
Maipu,2,3,,
Congreso,5,7,1.0000,2.0000
Parque Sarmiento,12,6,1.0000,8.0000
Luis Viale,13,4,1.0000,11.0000
Laferrere,8,1,1.0000,
Arroyo Seco,1,6,7.0000,15.0000
Del Tejar,4,5,,4.0000
Cabildo,8,2,,
Emilio Castro,4,5,,
Fisherton,19,4,6.0000,1.0000
La Bandera,20,7,2.0000,
Bulnes,13,3,1.0000,6.0000
Quilmes,5,5,,1.0000
Los Incas,18,6,,
Floresta,8,6,12.0000,6.0000
Centenera,8,6,8.0000,31.0000
Zarate Brazo Largo,4,6,6.0000,3.0000
AUBASA BA-LP,21,6,,2.0000
San Isidro,20,3,,1.0000
Olivos,12,5,,4.0000
Boulevard,14,5,,6.0000
Ovidio Lagos,4,6,,
Bonpland,15,2,1.0000,21.0000
Villa Allende,12,2,5.0000,8.0000
El Club,23,6,1.0000,
CORS EVENTOS,20,6,,
Ovidio Lagos,3,1,,
CORS EVENTOS,18,6,,
Santa Fe,16,5,2.0000,1.0000
Luis Viale,3,4,1.0000,
San Isidro,1,2,,2.0000
Fisherton,3,5,4.0000,4.0000
Ovidio Lagos,23,1,,
Las Heras,23,5,,
Luis Viale,1,6,,3.0000
El Club,23,7,,1.0000
Olivos,19,6,,5.0000
Emilio Castro,7,4,10.0000,2.0000
Luis Viale,5,2,,1.0000
Alsina,4,3,1.0000,2.0000
Villa Luro,22,2,,2.0000
Zarate,19,3,,
Villa Luro,0,6,,4.0000
Floresta,21,6,,1.0000
Gral Paz Capital,1,6,,3.0000
San Isidro,1,3,,
Luis Viale,17,1,2.0000,15.0000
Fisherton,22,1,1.0000,3.0000
Floresta,14,4,1.0000,3.0000
Santa Rita,21,7,2.0000,2.0000
Gral Paz Capital,1,2,,1.0000
Dialogos,23,3,,
San Isidro,4,3,,
Gral Paz Capital,0,6,1.0000,1.0000
Quilmes,14,1,,1.0000
Trelles,20,4,3.0000,2.0000
Villa Luro,23,2,1.0000,7.0000
Emilio Castro,14,4,2.0000,1.0000
Gutierrez,0,3,,2.0000
Parque Sarmiento,13,6,1.0000,3.0000
Los Incas,18,2,,
Los Incas,19,6,,
America,20,5,1.0000,3.0000
Laferrere,13,3,2.0000,1.0000
Laferrere,15,7,,1.0000
La Bandera,13,5,7.0000,
Olivos,19,2,,7.0000
Gral Paz Capital,23,4,1.0000,
Alsina,5,1,1.0000,7.0000
Alsina,0,3,,2.0000
Florencio Varela,19,6,,
Centenera,21,6,2.0000,
Congreso,6,2,3.0000,6.0000
Parque Sarmiento,2,3,,1.0000
Del Tejar,3,3,,1.0000
Congreso,4,6,2.0000,
Alvear,20,6,,13.0000
Olivos,2,3,,
Villa Luro,20,1,1.0000,9.0000
Dialogos,22,3,,
Zarate,0,3,,
Santa Fe,18,5,,3.0000
Pilar,23,1,,1.0000
Buen Ayre,2,7,3.0000,7.0000
Gutierrez,1,6,,1.0000
Amanecer,1,1,2.0000,1.0000
Villa Allende,14,3,,9.0000
Gutierrez,21,7,,4.0000
Bulnes,15,5,,2.0000
Parque Sarmiento,20,1,2.0000,1.0000
Los Incas,13,7,,
CORS EVENTOS,17,7,,
Los Incas,14,7,,
AUBASA LP-BA,1,3,1.0000,1.0000
Laferrere,12,1,,1.0000
Quilmes,21,3,,
Ovidio Lagos,23,6,,
Centenera,2,3,1.0000,1.0000
Olivos,23,7,,1.0000
America,23,4,1.0000,
Boulevard,23,7,,
Santa Fe,20,7,,
Fisherton,21,6,,1.0000
Gutierrez,1,4,1.0000,
Floresta,0,4,,1.0000
Florencio Varela,21,1,1.0000,1.0000
Centenera,23,4,,
AUBASA BA-LP,23,5,2.0000,2.0000
Quilmes,0,6,,2.0000
Garay,3,6,1.0000,
El Club,22,3,,1.0000
Los Incas,20,1,,
Laferrere,22,3,,
Floresta,23,6,1.0000,
AUBASA LP-BA,0,1,,1.0000
Centenera,21,5,1.0000,2.0000
Florencio Varela,13,1,,1.0000
Los Incas,14,1,,
Olivos,2,4,,
Cabildo,3,3,,
Parque Sarmiento,4,5,,
Cabildo,2,2,,
Los Incas,2,7,,
Olivos,23,1,,
Maipu,23,6,,
Maipu,0,4,,
Parque Sarmiento,0,1,,2.0000
Congreso,0,7,,5.0000
Dialogos,21,2,,
El Arco,1,3,1.0000,1.0000
Garay,2,3,1.0000,1.0000
Villa Allende,0,6,,1.0000
Centenera,1,1,,
Villa Allende,5,3,,
Boulevard,0,4,,
Boulevard,22,4,,
Boulevard,2,2,,
La Bandera,23,3,,
Zarate,2,4,,
CORS Alem,6,6,,
AUBASA LP-BA,8,6,43.0000,48.0000
La Bandera,19,5,,2.0000
Gutierrez,6,2,10.0000,13.0000
Arroyo Seco,10,3,64.0000,136.0000
Ovidio Lagos,11,3,,6.0000
Las Heras,8,4,12.0000,5.0000
Santa Fe,7,2,4.0000,3.0000
Amanecer,16,7,8.0000,
San Isidro,11,2,6.0000,38.0000
Trelles,18,7,1.0000,7.0000
AUBASA LP-BA,6,1,15.0000,7.0000
San Isidro,1,6,,3.0000
Floresta,17,6,1.0000,7.0000
Villa Luro,15,6,2.0000,17.0000
El Arco,4,3,8.0000,1.0000
Emilio Castro,22,1,,
Bonpland,14,1,3.0000,13.0000
America,4,1,,4.0000
Buen Ayre,11,7,31.0000,77.0000
Quilmes,11,1,,
Arroyo Seco,4,7,27.0000,27.0000
AUBASA BA-LP,3,7,9.0000,14.0000
America,11,3,,37.0000
Luis Viale,11,4,7.0000,15.0000
Santa Fe,18,7,2.0000,
Gral Paz Provincia,7,3,23.0000,96.0000
Pilar,9,3,3.0000,6.0000
El Arco,4,2,8.0000,2.0000
Bonpland,16,5,5.0000,43.0000
San Isidro,11,3,4.0000,25.0000
El Club,13,6,,25.0000
Gral Paz Capital,4,2,10.0000,8.0000
Centenera,8,2,6.0000,25.0000
Gutierrez,7,4,15.0000,17.0000
Cabildo,17,4,,
America,18,5,1.0000,17.0000
Quilmes,13,1,,
Amanecer,22,6,2.0000,1.0000
America,8,5,12.0000,47.0000
Zarate Brazo Largo,12,2,4.0000,11.0000
Ovidio Lagos,14,1,,
Santa Fe,10,7,5.0000,2.0000
Gral Paz Provincia,15,6,6.0000,14.0000
Santa Fe,17,6,1.0000,5.0000
Olivos,0,1,,1.0000
Ovidio Lagos,9,1,,1.0000
Dialogos,6,7,6.0000,2.0000
AUBASA BA-LP,9,5,55.0000,109.0000
Floresta,8,7,14.0000,6.0000
Alvear,7,1,8.0000,32.0000
AUBASA LP-BA,12,3,4.0000,23.0000
Las Heras,18,4,10.0000,
Villa Allende,18,7,4.0000,18.0000
Gral Paz Provincia,21,3,1.0000,10.0000
Dialogos,10,3,,8.0000
Alsina,12,2,3.0000,9.0000
AUBASA BA-LP,16,5,16.0000,50.0000
Boulevard,20,6,,
Maipu,19,5,,
Boulevard,12,4,1.0000,10.0000
Boulevard,6,6,3.0000,3.0000
Parque Sarmiento,9,3,11.0000,40.0000
Lima,15,4,17.0000,39.0000
Maipu,9,5,,1.0000
Bonpland,7,1,4.0000,34.0000
El Arco,19,4,8.0000,11.0000
Lima,22,2,9.0000,7.0000
Gral Paz Provincia,1,5,,7.0000
Floresta,23,2,1.0000,
Pilar,11,3,1.0000,14.0000
Bonpland,20,1,,22.0000
Maipu,14,3,,
Olivos,8,7,3.0000,3.0000
Bulnes,11,3,,17.0000
AUBASA LP-BA,9,1,17.0000,51.0000
Garay,17,4,1.0000,20.0000
Gral Paz Provincia,14,3,,9.0000
Santa Rita,7,1,7.0000,13.0000
Gral Paz Provincia,13,2,2.0000,8.0000
Villa Luro,16,4,4.0000,22.0000
San Isidro,17,2,2.0000,41.0000
Ovidio Lagos,20,6,,
Las Heras,7,6,25.0000,5.0000
Maipu,10,5,,
Cabildo,20,6,,
Florencio Varela,1,7,3.0000,
Amanecer,13,2,1.0000,
La Carmela,4,3,,
El Arco,12,1,11.0000,20.0000
Congreso,19,1,,5.0000
Trelles,9,2,8.0000,16.0000
AUBASA BA-LP,20,4,6.0000,7.0000
Emilio Castro,12,2,1.0000,1.0000
Bulnes,12,6,2.0000,7.0000
Gral Paz Capital,23,2,6.0000,3.0000
Zarate Brazo Largo,4,7,11.0000,7.0000
Boulevard,13,6,,11.0000
Bonpland,4,3,,4.0000
Amanecer,9,6,11.0000,19.0000
Garay,17,2,6.0000,18.0000
Gral Paz Capital,13,6,6.0000,3.0000
Laferrere,5,1,3.0000,
Fisherton,14,2,,1.0000
Del Tejar,8,1,2.0000,6.0000
Villa Luro,13,2,1.0000,12.0000
Villa Allende,20,1,1.0000,4.0000
Alvear,1,1,,9.0000
La Bandera,5,7,1.0000,
Arroyo Seco,14,5,16.0000,20.0000
Gral Paz Capital,20,4,7.0000,9.0000
Laferrere,11,5,1.0000,
Fisherton,17,1,5.0000,
Santa Rita,12,7,2.0000,1.0000
Zarate Brazo Largo,17,4,12.0000,12.0000
Centenera,16,5,8.0000,8.0000
America,17,2,1.0000,10.0000
Lima,2,5,16.0000,8.0000
El Club,7,4,12.0000,80.0000
Pilar,8,3,1.0000,12.0000
Villa Luro,20,7,1.0000,7.0000
Las Heras,15,2,2.0000,
Ovidio Lagos,8,5,1.0000,2.0000
Fisherton,7,7,14.0000,3.0000
Villa Luro,5,3,4.0000,7.0000
La Bandera,7,6,32.0000,
Maipu,3,7,,
Amanecer,16,5,4.0000,6.0000
Emilio Castro,18,1,1.0000,4.0000
San Isidro,11,4,7.0000,57.0000
Cabildo,17,5,,
Gral Paz Capital,21,4,,2.0000
Amanecer,9,7,18.0000,20.0000
Maipu,12,7,,
Trelles,9,1,4.0000,10.0000
Alsina,4,5,,2.0000
Las Heras,16,5,8.0000,2.0000
AUBASA BA-LP,22,5,1.0000,5.0000
Amanecer,11,3,6.0000,9.0000
Lima,6,6,77.0000,87.0000
Buen Ayre,6,7,13.0000,25.0000
Cabildo,5,6,,
Villa Allende,12,4,4.0000,33.0000
Del Tejar,11,2,2.0000,20.0000
Alvear,9,3,13.0000,65.0000
Las Heras,11,1,12.0000,
Buen Ayre,23,5,2.0000,5.0000
Emilio Castro,21,7,,
Luis Viale,15,3,,18.0000
El Club,16,7,2.0000,40.0000
Zarate,11,4,,1.0000
Las Heras,22,5,,
Zarate,5,6,,
Parque Sarmiento,6,6,6.0000,7.0000
Olivos,16,7,,7.0000
Pilar,12,4,,5.0000
Ovidio Lagos,15,4,,2.0000
Zarate Brazo Largo,16,3,9.0000,9.0000
AUBASA LP-BA,2,7,3.0000,6.0000
Amanecer,18,6,2.0000,10.0000
Florencio Varela,5,1,11.0000,6.0000
Villa Allende,13,5,6.0000,14.0000
Pilar,18,1,,1.0000
Boulevard,7,5,8.0000,32.0000
Los Incas,9,4,,
Floresta,21,1,1.0000,1.0000
San Isidro,10,2,7.0000,47.0000
Bulnes,15,4,2.0000,8.0000
Gral Paz Capital,5,4,15.0000,6.0000
Gral Paz Provincia,7,5,27.0000,68.0000
Arroyo Seco,21,7,3.0000,12.0000
Arroyo Seco,16,6,46.0000,87.0000
Floresta,13,7,1.0000,1.0000
Gral Paz Provincia,17,2,3.0000,30.0000
Gutierrez,15,4,,6.0000
Garay,6,6,9.0000,4.0000
Lima,19,1,41.0000,68.0000
Santa Fe,12,4,3.0000,2.0000
Fisherton,12,2,1.0000,1.0000
Bonpland,14,5,2.0000,24.0000
Floresta,14,6,2.0000,1.0000
Floresta,14,1,1.0000,5.0000
Gutierrez,16,2,5.0000,19.0000
Parque Sarmiento,16,3,5.0000,11.0000
El Club,1,1,1.0000,9.0000
Garay,21,2,1.0000,9.0000
Luis Viale,20,7,,2.0000
San Isidro,5,7,,8.0000
Del Tejar,8,6,,15.0000
