estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_llevar_algo_otros_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_otros_sinbakery_sinsandwiches_caramelos
America,9,21.0000,17.0000,null,32.0000
San Isidro,17,17.0000,75.0000,4.0000,113.0000
Maschwitz,12,null,null,null,28.0000
Emilio Castro,1,12.0000,22.0000,null,11.0000
Dialogos,2,1.0000,null,2.0000,null
La Carmela,14,17.0000,15.0000,4.0000,29.0000
Alberdi,9,null,null,null,21.0000
Del Tejar,18,15.0000,14.0000,6.0000,52.0000
Del Tejar,20,3.0000,12.0000,3.0000,40.0000
America,19,9.0000,28.0000,null,67.0000
Santa Fe,16,10.0000,12.0000,1.0000,15.0000
DISC Echeverria,11,null,null,null,6.0000
AUBASA BA-LP,21,19.0000,73.0000,5.0000,50.0000
Alvear,1,21.0000,53.0000,35.0000,148.0000
Santa Rita,17,5.0000,78.0000,1.0000,234.0000
Los Incas,10,110.0000,17.0000,null,4.0000
Gutierrez,3,null,9.0000,null,3.0000
Cabildo,3,2.0000,8.0000,null,1.0000
Rosario Sur,8,null,null,null,null
Zarate,5,null,null,null,null
La Bandera,3,null,null,null,null
Anchorena,10,null,null,null,null
Anchorena,22,null,null,null,null
Anchorena,3,null,null,null,null
La Bandera,0,null,null,null,null
Rivadavia,11,null,null,null,null
AUBASA BA-LP,2,21.0000,89.0000,8.0000,54.0000
Rosario Sur,20,null,null,null,null
Luis Viale,12,5.0000,24.0000,7.0000,54.0000
Ovidio Lagos,0,14.0000,29.0000,2.0000,46.0000
Buen Ayre,7,70.0000,76.0000,14.0000,29.0000
Fisherton,13,10.0000,29.0000,null,174.0000
Alvear,0,12.0000,59.0000,18.0000,220.0000
Centenera,10,18.0000,41.0000,1.0000,14.0000
Amanecer,13,4.0000,17.0000,null,41.0000
Alberdi,16,null,null,null,9.0000
AUBASA LP-BA,16,75.0000,212.0000,28.0000,273.0000
Congreso,8,56.0000,23.0000,4.0000,64.0000
DISC Caraffa,18,1.0000,null,1.0000,21.0000
Alvear,9,16.0000,77.0000,25.0000,127.0000
El Club,15,29.0000,54.0000,13.0000,255.0000
Florencio Varela,23,5.0000,25.0000,3.0000,29.0000
Luis Viale,23,7.0000,22.0000,3.0000,48.0000
Buen Ayre,16,57.0000,115.0000,37.0000,181.0000
La Carmela,10,29.0000,34.0000,1.0000,11.0000
Emilio Castro,14,7.0000,25.0000,1.0000,25.0000
Emilio Castro,7,31.0000,54.0000,1.0000,5.0000
Bonpland,17,30.0000,34.0000,13.0000,108.0000
Centenera,16,8.0000,22.0000,2.0000,38.0000
La Bandera,17,28.0000,8.0000,23.0000,127.0000
Disc Panamericana,13,null,3.0000,null,1.0000
Pilar,6,30.0000,14.0000,1.0000,7.0000
Buen Ayre,10,46.0000,71.0000,24.0000,102.0000
Zarate Brazo Largo,22,20.0000,7.0000,null,21.0000
Bulnes,7,7.0000,6.0000,1.0000,3.0000
AUBASA LP-BA,1,36.0000,92.0000,9.0000,70.0000
Alberdi,0,null,null,null,11.0000
Villa Luro,6,9.0000,25.0000,15.0000,17.0000
Las Heras,9,21.0000,26.0000,8.0000,17.0000
San Isidro,21,2.0000,22.0000,3.0000,46.0000
Gral Paz Provincia,21,19.0000,26.0000,7.0000,40.0000
Luis Viale,0,10.0000,29.0000,2.0000,33.0000
Los Incas,11,29.0000,9.0000,null,null
Trelles,19,14.0000,19.0000,1.0000,24.0000
DISC Caraffa,12,null,1.0000,null,21.0000
Congreso,11,26.0000,6.0000,1.0000,133.0000
Alsina,22,5.0000,15.0000,2.0000,17.0000
Congreso,16,36.0000,34.0000,5.0000,143.0000
Del Tejar,22,2.0000,4.0000,1.0000,28.0000
Quilmes,11,9.0000,25.0000,6.0000,58.0000
Villa Allende,14,11.0000,22.0000,2.0000,97.0000
La Carmela,8,38.0000,35.0000,31.0000,15.0000
Del Tejar,19,9.0000,9.0000,6.0000,45.0000
Alsina,0,2.0000,10.0000,1.0000,23.0000
Alvear,22,20.0000,47.0000,35.0000,138.0000
San Isidro,16,11.0000,72.0000,4.0000,140.0000
Boulevard,13,8.0000,13.0000,6.0000,65.0000
Villa Luro,10,19.0000,30.0000,5.0000,62.0000
Cabildo,12,5.0000,4.0000,null,12.0000
Las Heras,4,null,4.0000,1.0000,3.0000
Quilmes,18,18.0000,23.0000,18.0000,48.0000
Fisherton,15,4.0000,45.0000,null,274.0000
Quilmes,21,5.0000,11.0000,null,15.0000
Ovidio Lagos,9,9.0000,33.0000,2.0000,57.0000
Dialogos,9,28.0000,29.0000,5.0000,32.0000
La Bandera,12,7.0000,3.0000,null,81.0000
America,11,25.0000,10.0000,null,68.0000
Emilio Castro,12,4.0000,17.0000,null,8.0000
Los Incas,5,5.0000,5.0000,null,null
Parque Sarmiento,6,71.0000,34.0000,7.0000,26.0000
Floresta,6,4.0000,9.0000,null,9.0000
Buen Ayre,19,35.0000,65.0000,13.0000,120.0000
Laferrere,21,6.0000,5.0000,3.0000,14.0000
La Carmela,18,26.0000,33.0000,6.0000,10.0000
Gral Paz Capital,12,37.0000,30.0000,null,100.0000
Floresta,18,4.0000,30.0000,5.0000,20.0000
Maipu,15,16.0000,9.0000,5.0000,84.0000
Olivos,17,29.0000,23.0000,8.0000,68.0000
La Bandera,16,25.0000,17.0000,7.0000,121.0000
