estacion,hora,dia_semana,q_cafes_llevar_mas_1
Villa Luro,5,5,19.0000
San Isidro,14,2,22.0000
Zarate Brazo Largo,13,5,41.0000
Villa Allende,10,5,65.0000
Las Heras,16,1,10.0000
AUBASA BA-LP,13,1,116.0000
Ovidio Lagos,5,3,4.0000
Amanecer,4,7,1.0000
Luis Viale,14,5,2.0000
La Carmela,11,2,27.0000
Ovidio Lagos,21,1,
Bonpland,7,4,89.0000
Amanecer,11,6,31.0000
El Club,3,1,27.0000
Santa Rita,4,2,18.0000
Garay,5,2,35.0000
Villa Luro,21,3,10.0000
Parque Sarmiento,2,6,4.0000
San Isidro,0,5,8.0000
Olivos,12,1,10.0000
Bulnes,8,5,22.0000
Garay,17,7,15.0000
Amanecer,19,7,9.0000
Santa Rita,13,2,6.0000
Floresta,20,2,5.0000
Del Tejar,6,1,25.0000
Emilio Castro,20,5,4.0000
Centenera,17,2,28.0000
Zarate Brazo Largo,19,6,63.0000
AUBASA BA-LP,21,1,34.0000
Buen Ayre,23,2,6.0000
Boulevard,22,3,2.0000
La Bandera,17,6,33.0000
Laferrere,3,6,6.0000
Trelles,5,7,14.0000
America,9,1,33.0000
Floresta,16,7,2.0000
Amanecer,1,3,3.0000
OPERADOR LOGISTICO 2,20,5,
Gral Paz Capital,5,7,166.0000
Santa Rita,8,5,35.0000
Laferrere,3,7,14.0000
AUBASA LP-BA,5,2,88.0000
Villa Allende,23,3,4.0000
Lima,5,7,269.0000
El Club,1,2,19.0000
Parque Sarmiento,5,3,21.0000
Ovidio Lagos,0,7,2.0000
Lima,21,5,83.0000
Pilar,8,6,130.0000
El Club,2,3,9.0000
Bonpland,22,5,34.0000
Lima,0,3,94.0000
Gutierrez,5,1,33.0000
Del Tejar,2,1,7.0000
Amanecer,22,4,4.0000
Emilio Castro,8,3,82.0000
Olivos,6,7,25.0000
OPERADOR LOGISTICO 2,8,3,
OPERADOR LOGISTICO 2,7,1,
Laferrere,1,2,3.0000
Olivos,23,3,4.0000
Maschwitz,7,1,27.0000
San Isidro,22,3,6.0000
Villa Allende,6,5,13.0000
