estacion,hora,dia_semana,q_cafes_llevar_mas_1
Del Tejar,9,1,63.0000
Laferrere,5,4,20.0000
Congreso,13,7,22.0000
Santa Rita,22,3,3.0000
El Club,20,5,33.0000
Centenera,15,2,8.0000
El Arco,18,7,26.0000
Maschwitz,18,7,13.0000
Zarate,8,6,67.0000
Lima,4,4,136.0000
Alvear,1,5,8.0000
La Bandera,10,3,27.0000
Alsina,7,7,39.0000
America,15,1,6.0000
Trelles,6,1,9.0000
Los Incas,13,7,4.0000
Zarate Brazo Largo,16,5,44.0000
El Arco,18,2,36.0000
Congreso,6,2,33.0000
Alvear,3,4,13.0000
Villa Allende,17,2,10.0000
Fisherton,21,6,5.0000
Santa Rita,5,4,20.0000
El Club,23,5,99.0000
Santa Fe,19,1,23.0000
Villa Luro,6,4,58.0000
Boulevard,19,4,23.0000
San Isidro,22,2,
Villa Allende,23,4,2.0000
Zarate Brazo Largo,17,3,46.0000
La Carmela,15,2,12.0000
Laferrere,16,6,13.0000
Floresta,10,5,26.0000
Alsina,19,7,15.0000
Luis Viale,20,1,13.0000
La Bandera,0,2,
Quilmes,17,7,32.0000
Zarate Brazo Largo,5,2,55.0000
Amanecer,17,6,19.0000
Gutierrez,11,6,28.0000
Luis Viale,7,2,21.0000
Zarate Brazo Largo,21,5,25.0000
Del Tejar,18,7,6.0000
San Isidro,2,1,15.0000
Ovidio Lagos,0,1,4.0000
Gral Paz Provincia,20,6,40.0000
Florencio Varela,0,3,13.0000
Boulevard,12,5,15.0000
Las Heras,5,7,22.0000
Las Heras,11,6,27.0000
Ovidio Lagos,12,2,15.0000
Buen Ayre,22,6,37.0000
Garay,12,1,13.0000
Alberdi,0,2,6.0000
Congreso,7,5,42.0000
Fisherton,7,1,43.0000
Laferrere,5,6,28.0000
Las Heras,11,3,36.0000
Cabildo,4,4,3.0000
Cabildo,20,4,13.0000
Olivos,11,7,17.0000
Bonpland,3,2,12.0000
Dialogos,23,3,
Trelles,5,4,42.0000
Boulevard,2,2,2.0000
OPERADOR LOGISTICO 2,17,6,
Zarate Brazo Largo,4,1,17.0000
Parque Sarmiento,8,2,57.0000
Florencio Varela,7,2,46.0000
Alberdi,10,2,14.0000
El Club,0,6,66.0000
Boulevard,22,6,
Los Incas,15,6,2.0000
Fisherton,21,1,9.0000
Emilio Castro,9,4,45.0000
Emilio Castro,18,3,20.0000
Rosario Sur,11,7,12.0000
Congreso,17,4,19.0000
Congreso,6,4,11.0000
Boulevard,0,5,4.0000
Maschwitz,0,3,13.0000
AUBASA BA-LP,0,3,59.0000
La Carmela,9,4,47.0000
Los Incas,8,2,21.0000
La Carmela,16,2,16.0000
Rosario Sur,3,3,2.0000
Centenera,19,2,12.0000
AUBASA LP-BA,1,7,74.0000
Ovidio Lagos,2,6,2.0000
Dialogos,0,2,15.0000
Bulnes,13,2,6.0000
Gutierrez,5,5,48.0000
Dialogos,3,7,5.0000
San Isidro,22,5,3.0000
Ovidio Lagos,0,5,3.0000
Gutierrez,6,1,43.0000
Zarate Brazo Largo,19,2,42.0000
Maipu,15,1,2.0000
Garay,13,6,49.0000
Gral Paz Capital,1,2,30.0000
San Isidro,21,1,6.0000
Floresta,18,5,8.0000
Florencio Varela,19,6,18.0000
Alsina,0,3,10.0000
Floresta,13,3,4.0000
Centenera,1,1,9.0000
Santa Rita,6,5,24.0000
San Isidro,4,3,2.0000
Cabildo,9,1,20.0000
Boulevard,0,4,6.0000
Las Heras,5,3,18.0000
Villa Luro,23,2,6.0000
San Isidro,21,6,4.0000
Boulevard,1,7,2.0000
Lima,0,5,71.0000
Amanecer,22,5,7.0000
Las Heras,3,1,9.0000
Maipu,9,2,15.0000
Congreso,14,7,13.0000
La Bandera,2,4,3.0000
Pilar,21,6,6.0000
Floresta,16,1,10.0000
La Bandera,15,5,7.0000
Trelles,22,2,2.0000
Florencio Varela,6,3,38.0000
AUBASA BA-LP,4,5,88.0000
Garay,19,2,20.0000
Boulevard,5,4,4.0000
Emilio Castro,11,5,18.0000
La Bandera,15,6,10.0000
Luis Viale,19,6,10.0000
Bulnes,15,5,4.0000
Maipu,20,7,6.0000
CORS EVENTOS,18,6,52.0000
Olivos,23,1,11.0000
Dialogos,21,2,6.0000
San Isidro,4,1,29.0000
Parque Sarmiento,13,7,6.0000
Zarate,14,3,4.0000
Maschwitz,11,4,11.0000
Villa Allende,6,6,34.0000
Emilio Castro,14,3,6.0000
Florencio Varela,3,2,2.0000
Luis Viale,5,1,6.0000
Santa Rita,17,6,18.0000
Parque Sarmiento,20,4,6.0000
Olivos,15,3,5.0000
Floresta,20,3,9.0000
Dialogos,20,2,12.0000
Gutierrez,12,7,21.0000
Maschwitz,8,6,30.0000
Garay,2,3,4.0000
Ovidio Lagos,3,1,9.0000
Los Incas,17,4,14.0000
Luis Viale,12,5,2.0000
Floresta,8,3,26.0000
Garay,3,6,2.0000
Zarate,19,4,12.0000
Los Incas,17,6,12.0000
Bulnes,18,7,4.0000
Olivos,5,5,10.0000
Alberdi,5,2,6.0000
Emilio Castro,1,5,9.0000
Quilmes,5,3,12.0000
Congreso,12,4,20.0000
Santa Rita,13,4,10.0000
Centenera,21,1,8.0000
Los Incas,10,3,18.0000
America,2,6,29.0000
Florencio Varela,22,6,6.0000
Villa Allende,12,2,9.0000
El Arco,1,3,26.0000
Alsina,17,4,17.0000
Gutierrez,5,2,81.0000
El Arco,15,4,6.0000
Pilar,1,7,9.0000
Centenera,13,7,10.0000
El Club,3,3,4.0000
Zarate Brazo Largo,21,1,18.0000
Pilar,3,1,11.0000
Alsina,15,4,16.0000
El Arco,3,1,20.0000
La Carmela,16,4,20.0000
La Bandera,22,1,2.0000
Buen Ayre,3,4,27.0000
Rosario Sur,10,5,11.0000
Pilar,3,3,7.0000
Trelles,11,2,16.0000
Maipu,5,1,13.0000
Trelles,14,4,2.0000
CORS EVENTOS,16,4,18.0000
Trelles,0,5,2.0000
Ovidio Lagos,2,3,2.0000
Zarate Brazo Largo,22,6,39.0000
Alberdi,11,3,12.0000
Trelles,2,4,6.0000
Santa Rita,23,7,7.0000
La Carmela,2,3,
Zarate Brazo Largo,2,1,13.0000
Fisherton,2,6,4.0000
Dialogos,14,2,6.0000
Alberdi,9,5,7.0000
Fisherton,3,5,9.0000
Emilio Castro,14,4,5.0000
Boulevard,22,4,
Quilmes,21,3,8.0000
Zarate Brazo Largo,1,3,11.0000
Laferrere,17,2,14.0000
Trelles,18,6,9.0000
Luis Viale,6,1,27.0000
Santa Fe,16,1,10.0000
Maipu,6,3,5.0000
Zarate,20,3,8.0000
Zarate Brazo Largo,20,2,17.0000
Boulevard,23,7,6.0000
San Isidro,1,2,6.0000
Ovidio Lagos,23,1,2.0000
Olivos,2,4,2.0000
CORS Alem,11,3,26.0000
Emilio Castro,22,5,6.0000
Maipu,12,4,8.0000
La Carmela,12,1,17.0000
La Carmela,1,3,6.0000
Las Heras,23,5,18.0000
Luis Viale,13,6,4.0000
Florencio Varela,20,4,4.0000
Maipu,5,3,8.0000
Alsina,18,5,28.0000
Florencio Varela,13,1,8.0000
Zarate,17,1,25.0000
Florencio Varela,5,4,20.0000
Garay,21,7,
La Bandera,6,5,8.0000
Villa Luro,2,2,2.0000
Santa Rita,21,7,10.0000
Emilio Castro,19,6,10.0000
CORS Alem,8,3,78.0000
Los Incas,10,6,32.0000
Del Tejar,4,1,4.0000
OPERADOR LOGISTICO,8,5,
Luis Viale,3,4,7.0000
Laferrere,11,1,7.0000
Luis Viale,21,1,9.0000
Emilio Castro,13,7,15.0000
Alberdi,10,3,6.0000
CORS Alem,15,7,9.0000
Santa Rita,17,1,29.0000
San Isidro,1,4,5.0000
La Bandera,0,3,4.0000
Cabildo,7,5,9.0000
Laferrere,20,4,7.0000
Del Tejar,20,3,2.0000
Cabildo,12,1,6.0000
CORS EVENTOS,20,6,36.0000
Luis Viale,0,3,16.0000
Del Tejar,4,6,9.0000
Alberdi,14,4,8.0000
San Isidro,1,5,10.0000
Florencio Varela,3,4,5.0000
OPERADOR LOGISTICO 2,22,2,
Maschwitz,10,4,6.0000
CORS EVENTOS,15,6,15.0000
La Carmela,3,4,8.0000
Villa Allende,0,6,
Maschwitz,21,7,11.0000
OPERADOR LOGISTICO 2,12,7,
La Carmela,19,5,18.0000
Zarate,13,1,9.0000
La Carmela,14,6,8.0000
Alberdi,8,1,11.0000
Laferrere,12,1,9.0000
Centenera,14,4,13.0000
Quilmes,14,1,6.0000
Floresta,23,6,2.0000
Zarate Brazo Largo,23,4,7.0000
Cabildo,13,4,4.0000
Ovidio Lagos,4,6,2.0000
Trelles,4,2,11.0000
Rosario Sur,14,1,2.0000
Parque Sarmiento,2,3,3.0000
Alberdi,12,1,2.0000
Las Heras,23,2,9.0000
Los Incas,14,5,2.0000
OPERADOR LOGISTICO,18,7,
Garay,22,5,7.0000
Boulevard,22,7,
Olivos,2,3,7.0000
Santa Fe,6,3,7.0000
Santa Fe,20,7,2.0000
Maschwitz,11,5,10.0000
Alsina,4,6,4.0000
Alsina,23,3,8.0000
Los Incas,6,4,9.0000
Maschwitz,18,4,8.0000
Emilio Castro,13,4,4.0000
Los Incas,14,1,5.0000
Alberdi,9,6,10.0000
OPERADOR LOGISTICO,9,4,
Rosario Sur,2,1,2.0000
OPERADOR LOGISTICO,22,1,
Parque Sarmiento,4,5,2.0000
Pilar,21,7,4.0000
Maschwitz,21,6,8.0000
Alberdi,11,5,2.0000
Villa Allende,3,7,
CORS EVENTOS,16,5,3.0000
Maschwitz,16,2,7.0000
Cabildo,16,1,2.0000
Emilio Castro,23,1,2.0000
Los Incas,23,1,2.0000
Parque Sarmiento,3,3,
Alberdi,10,6,6.0000
Maschwitz,2,1,4.0000
Rosario Sur,2,5,2.0000
Rivadavia,11,7,2.0000
Alberdi,3,5,3.0000
Del Tejar,3,3,
Rivadavia,18,5,2.0000
OPERADOR LOGISTICO,13,6,
Lima,11,4,316.0000
Gral Paz Capital,16,2,65.0000
Villa Luro,11,4,42.0000
Gral Paz Provincia,9,4,218.0000
Cabildo,19,3,2.0000
AUBASA LP-BA,0,1,94.0000
Zarate Brazo Largo,14,5,19.0000
El Club,15,2,44.0000
Villa Luro,20,1,19.0000
America,14,4,14.0000
Gral Paz Provincia,5,4,143.0000
Villa Allende,17,6,16.0000
Ovidio Lagos,23,6,2.0000
OPERADOR LOGISTICO 2,14,7,
Bulnes,11,2,6.0000
Congreso,7,7,66.0000
Alvear,17,4,61.0000
America,12,3,14.0000
Gral Paz Capital,19,5,65.0000
Rivadavia,11,4,4.0000
Florencio Varela,21,1,12.0000
Gral Paz Provincia,12,7,71.0000
Villa Luro,7,5,44.0000
Gral Paz Provincia,0,6,63.0000
Lima,20,2,159.0000
Gral Paz Capital,18,2,82.0000
Bulnes,8,4,29.0000
Gral Paz Capital,18,4,106.0000
Alvear,17,1,95.0000
Congreso,11,2,28.0000
Villa Luro,6,2,56.0000
AUBASA BA-LP,7,4,295.0000
Quilmes,17,4,21.0000
San Isidro,6,6,29.0000
Alvear,11,1,110.0000
Emilio Castro,18,4,17.0000
Pilar,12,2,14.0000
AUBASA LP-BA,12,2,89.0000
Gutierrez,19,3,29.0000
Trelles,17,4,18.0000
America,20,5,10.0000
Lima,6,7,486.0000
Alsina,6,5,21.0000
Boulevard,16,6,13.0000
Alvear,6,5,70.0000
Alvear,8,2,76.0000
Villa Luro,16,6,33.0000
CORS Alem,15,3,101.0000
Villa Luro,18,7,45.0000
El Club,18,5,119.0000
Gral Paz Provincia,9,7,270.0000
Arroyo Seco,1,6,98.0000
Buen Ayre,2,7,10.0000
AUBASA LP-BA,8,3,323.0000
Buen Ayre,8,1,269.0000
Trelles,11,1,19.0000
Lima,2,4,84.0000
Lima,19,6,377.0000
Floresta,15,1,4.0000
La Bandera,20,2,2.0000
Zarate Brazo Largo,14,6,70.0000
Luis Viale,13,4,1.0000
Boulevard,11,6,34.0000
AUBASA LP-BA,17,5,110.0000
AUBASA BA-LP,6,7,410.0000
El Club,11,1,83.0000
Arroyo Seco,19,5,349.0000
Parque Sarmiento,9,2,45.0000
La Bandera,18,4,15.0000
AUBASA BA-LP,3,6,44.0000
AUBASA LP-BA,7,4,345.0000
Quilmes,16,5,20.0000
La Bandera,14,2,8.0000
Fisherton,13,1,14.0000
Zarate Brazo Largo,19,5,65.0000
America,12,6,11.0000
Fisherton,19,4,12.0000
Santa Fe,8,7,58.0000
Laferrere,9,1,31.0000
Zarate Brazo Largo,4,6,26.0000
Gral Paz Provincia,19,6,89.0000
Centenera,8,6,55.0000
Villa Allende,11,7,38.0000
Fisherton,19,3,14.0000
Del Tejar,9,5,21.0000
Floresta,8,6,22.0000
AUBASA BA-LP,23,5,33.0000
AUBASA LP-BA,3,7,59.0000
Zarate,22,4,14.0000
Arroyo Seco,10,3,559.0000
Villa Luro,15,6,15.0000
Ovidio Lagos,11,3,16.0000
AUBASA LP-BA,8,6,339.0000
Floresta,17,6,16.0000
Gutierrez,6,2,64.0000
San Isidro,11,2,48.0000
Trelles,20,2,10.0000
El Arco,4,3,24.0000
Arroyo Seco,4,7,336.0000
AUBASA BA-LP,3,7,46.0000
San Isidro,11,3,24.0000
Gral Paz Capital,4,2,140.0000
Buen Ayre,11,7,341.0000
Gral Paz Provincia,7,3,228.0000
Villa Allende,13,2,11.0000
America,8,5,41.0000
Zarate Brazo Largo,12,3,28.0000
Pilar,9,3,44.0000
Quilmes,11,1,19.0000
El Club,13,6,17.0000
Maipu,19,7,5.0000
Gutierrez,7,4,74.0000
Luis Viale,11,4,16.0000
Santa Fe,18,7,19.0000
Las Heras,18,4,27.0000
AUBASA BA-LP,9,5,421.0000
Villa Allende,18,7,12.0000
AUBASA BA-LP,16,5,192.0000
Ovidio Lagos,9,1,36.0000
Floresta,8,7,30.0000
Parque Sarmiento,7,1,23.0000
Alvear,7,1,133.0000
Boulevard,6,6,55.0000
Lima,15,4,218.0000
Villa Luro,3,1,44.0000
Garay,15,5,38.0000
Buen Ayre,23,6,20.0000
Pilar,11,3,12.0000
Parque Sarmiento,9,3,29.0000
Bulnes,11,3,13.0000
Villa Allende,14,4,4.0000
Bonpland,7,1,30.0000
Luis Viale,19,1,17.0000
AUBASA BA-LP,13,2,91.0000
El Arco,12,1,34.0000
Gral Paz Capital,23,2,30.0000
Arroyo Seco,13,3,151.0000
Gral Paz Provincia,13,2,28.0000
La Carmela,4,3,17.0000
AUBASA BA-LP,20,4,61.0000
Trelles,9,2,24.0000
Villa Luro,16,4,50.0000
Bulnes,12,6,13.0000
AUBASA LP-BA,9,1,174.0000
Emilio Castro,23,4,2.0000
Garay,17,4,12.0000
Alvear,1,1,28.0000
Santa Fe,10,6,28.0000
Gral Paz Capital,20,4,35.0000
Gutierrez,11,5,25.0000
Santa Rita,12,7,12.0000
Del Tejar,8,1,21.0000
Arroyo Seco,14,5,231.0000
Zarate Brazo Largo,17,4,48.0000
Fisherton,17,1,26.0000
Pilar,18,5,25.0000
Boulevard,13,6,5.0000
Amanecer,9,6,61.0000
El Arco,21,4,2.0000
Alsina,2,3,8.0000
Fisherton,14,2,4.0000
Garay,17,2,19.0000
Fisherton,23,6,10.0000
Villa Luro,5,3,25.0000
San Isidro,11,4,42.0000
La Bandera,7,6,30.0000
Amanecer,16,5,23.0000
San Isidro,12,7,29.0000
Amanecer,9,7,90.0000
El Club,7,4,44.0000
Ovidio Lagos,8,5,23.0000
Santa Fe,9,2,34.0000
Bulnes,15,4,3.0000
Alvear,9,3,95.0000
Zarate,11,4,20.0000
Lima,6,6,421.0000
Floresta,21,1,6.0000
Ovidio Lagos,15,4,4.0000
La Carmela,4,1,25.0000
Florencio Varela,5,1,37.0000
Boulevard,7,5,50.0000
Gral Paz Provincia,2,2,20.0000
San Isidro,10,2,44.0000
El Club,16,7,84.0000
Lima,19,1,573.0000
Arroyo Seco,16,6,622.0000
Gutierrez,16,2,30.0000
Garay,21,2,5.0000
Gral Paz Provincia,17,2,89.0000
Luis Viale,20,7,6.0000
Del Tejar,18,2,16.0000
Emilio Castro,0,6,16.0000
Parque Sarmiento,16,3,29.0000
El Club,21,7,32.0000
Arroyo Seco,21,7,119.0000
Garay,6,6,57.0000
Gral Paz Provincia,7,5,245.0000
Rosario Sur,7,7,10.0000
Boulevard,19,5,19.0000
Villa Allende,12,7,25.0000
Arroyo Seco,5,6,368.0000
AUBASA BA-LP,11,3,220.0000
Luis Viale,0,1,10.0000
Arroyo Seco,6,4,528.0000
Centenera,19,4,9.0000
El Club,18,7,63.0000
Florencio Varela,5,3,10.0000
Quilmes,18,7,25.0000
Fisherton,10,6,34.0000
Florencio Varela,13,5,7.0000
Amanecer,10,7,70.0000
Floresta,16,6,14.0000
Fisherton,6,3,133.0000
Del Tejar,10,7,63.0000
Lima,5,2,302.0000
Arroyo Seco,11,3,258.0000
Bonpland,8,3,75.0000
San Isidro,8,6,123.0000
Lima,23,6,88.0000
Buen Ayre,18,4,176.0000
El Arco,16,2,13.0000
AUBASA LP-BA,10,6,179.0000
Parque Sarmiento,13,1,6.0000
Bonpland,18,1,41.0000
Quilmes,14,2,3.0000
La Bandera,9,7,26.0000
Arroyo Seco,4,2,276.0000
Bulnes,18,4,13.0000
Boulevard,15,6,10.0000
Lima,18,6,610.0000
Florencio Varela,5,2,26.0000
AUBASA BA-LP,10,4,308.0000
Congreso,11,5,25.0000
El Arco,17,3,27.0000
Arroyo Seco,16,5,528.0000
Amanecer,6,6,29.0000
Santa Rita,6,4,36.0000
Florencio Varela,7,4,54.0000
AUBASA LP-BA,16,7,202.0000
El Club,23,1,23.0000
Olivos,7,5,50.0000
America,22,5,8.0000
Gral Paz Capital,2,7,28.0000
Rosario Sur,16,1,8.0000
Olivos,18,7,25.0000
Centenera,18,1,13.0000
AUBASA BA-LP,16,7,175.0000
Luis Viale,6,5,47.0000
Gral Paz Capital,7,5,203.0000
Lima,10,3,457.0000
Arroyo Seco,9,1,861.0000
Las Heras,15,1,7.0000
Las Heras,11,2,19.0000
Gral Paz Provincia,6,1,134.0000
Lima,19,2,273.0000
Florencio Varela,16,2,42.0000
AUBASA LP-BA,20,4,46.0000
Buen Ayre,3,1,36.0000
Del Tejar,20,5,10.0000
El Club,23,7,32.0000
Santa Rita,18,5,11.0000
Alsina,4,3,8.0000
Pilar,22,7,5.0000
Villa Luro,0,6,21.0000
Villa Luro,9,1,66.0000
Zarate,0,3,23.0000
America,2,1,19.0000
Laferrere,8,1,29.0000
Congreso,0,7,12.0000
El Arco,22,6,2.0000
Fisherton,14,6,26.0000
Laferrere,9,2,16.0000
Pilar,22,3,4.0000
Floresta,12,7,14.0000
Pilar,10,2,48.0000
Gral Paz Provincia,18,6,141.0000
Parque Sarmiento,9,1,29.0000
Las Heras,6,7,34.0000
Arroyo Seco,12,4,160.0000
America,23,4,7.0000
Gral Paz Capital,8,3,185.0000
Zarate Brazo Largo,1,2,26.0000
Olivos,11,4,9.0000
Fisherton,9,6,96.0000
La Bandera,19,2,13.0000
Gral Paz Provincia,0,1,58.0000
La Carmela,8,3,78.0000
Villa Allende,14,3,9.0000
El Arco,19,6,34.0000
Alsina,11,3,17.0000
Bonpland,1,4,8.0000
Laferrere,23,7,5.0000
Santa Rita,21,5,4.0000
Santa Fe,10,7,41.0000
Centenera,8,2,56.0000
Gral Paz Provincia,3,2,30.0000
America,18,5,23.0000
Zarate Brazo Largo,12,2,19.0000
America,11,3,19.0000
Bonpland,16,5,37.0000
Gral Paz Provincia,15,6,42.0000
Bulnes,10,1,8.0000
Dialogos,10,3,35.0000
Boulevard,17,7,21.0000
AUBASA LP-BA,12,3,62.0000
Alsina,12,2,10.0000
Bulnes,13,7,2.0000
Luis Viale,4,5,125.0000
Lima,22,2,103.0000
Maipu,9,5,8.0000
Florencio Varela,4,7,19.0000
Las Heras,7,6,40.0000
Santa Rita,7,1,37.0000
Florencio Varela,1,7,14.0000
Gral Paz Provincia,14,3,30.0000
Buen Ayre,2,5,13.0000
Luis Viale,19,5,13.0000
Maipu,10,5,12.0000
Boulevard,3,1,6.0000
Amanecer,18,4,18.0000
Centenera,16,5,13.0000
AUBASA LP-BA,14,1,111.0000
Gutierrez,19,1,38.0000
Zarate Brazo Largo,4,7,36.0000
Laferrere,5,1,29.0000
Fisherton,7,7,92.0000
Amanecer,18,6,42.0000
Del Tejar,1,5,10.0000
Buen Ayre,6,7,244.0000
Gutierrez,15,4,15.0000
Luis Viale,14,3,8.0000
Fisherton,12,2,17.0000
Emilio Castro,15,6,4.0000
Ovidio Lagos,4,7,4.0000
Florencio Varela,2,3,
Fisherton,7,4,93.0000
Del Tejar,10,4,30.0000
Quilmes,14,6,4.0000
Del Tejar,15,1,7.0000
Ovidio Lagos,15,7,
Maipu,12,1,2.0000
Alvear,15,5,22.0000
America,13,5,10.0000
Trelles,16,3,14.0000
El Arco,20,2,22.0000
CORS Alem,11,5,72.0000
El Arco,5,4,40.0000
CORS Alem,8,4,65.0000
Florencio Varela,23,7,11.0000
Emilio Castro,3,1,11.0000
Gral Paz Provincia,19,5,84.0000
Luis Viale,19,2,11.0000
Gral Paz Capital,13,7,48.0000
La Bandera,15,1,8.0000
Zarate,17,4,16.0000
Floresta,6,2,42.0000
Gutierrez,2,6,7.0000
Pilar,14,5,13.0000
Centenera,15,4,13.0000
Gral Paz Capital,4,5,95.0000
Santa Fe,12,1,13.0000
Pilar,23,3,6.0000
Villa Luro,2,7,18.0000
Laferrere,14,6,6.0000
Ovidio Lagos,11,1,20.0000
Luis Viale,6,7,26.0000
Villa Luro,8,5,58.0000
Cabildo,8,3,22.0000
El Arco,13,1,18.0000
Bonpland,9,1,41.0000
Gutierrez,7,5,82.0000
Florencio Varela,11,4,25.0000
Bonpland,16,2,23.0000
Amanecer,16,2,14.0000
CORS Alem,13,5,23.0000
Zarate Brazo Largo,14,7,41.0000
Luis Viale,4,4,113.0000
Laferrere,9,3,35.0000
Santa Fe,18,5,19.0000
Quilmes,15,5,12.0000
Villa Allende,20,3,11.0000
Parque Sarmiento,6,2,21.0000
Gutierrez,21,7,4.0000
Buen Ayre,23,4,26.0000
Luis Viale,17,1,10.0000
AUBASA LP-BA,6,1,97.0000
La Bandera,19,5,10.0000
El Club,4,1,26.0000
La Carmela,14,1,6.0000
Zarate Brazo Largo,0,4,14.0000
El Arco,16,7,14.0000
Olivos,0,1,45.0000
Dialogos,6,7,44.0000
Gral Paz Provincia,21,3,18.0000
Centenera,2,1,6.0000
Bonpland,20,1,4.0000
Amanecer,13,2,6.0000
Parque Sarmiento,4,6,4.0000
Gutierrez,17,7,48.0000
Villa Allende,20,1,6.0000
Laferrere,16,7,14.0000
El Arco,2,3,4.0000
Alvear,20,1,42.0000
Gral Paz Capital,21,4,14.0000
Las Heras,15,2,7.0000
Laferrere,4,2,3.0000
Alvear,23,1,30.0000
Maipu,12,7,14.0000
Las Heras,16,5,3.0000
Villa Allende,12,4,15.0000
Los Incas,9,4,41.0000
Pilar,12,4,16.0000
Villa Luro,19,7,25.0000
Del Tejar,11,2,15.0000
Parque Sarmiento,6,6,30.0000
Bonpland,14,5,10.0000
El Club,1,1,50.0000
Zarate Brazo Largo,18,6,102.0000
Gral Paz Capital,5,4,77.0000
Bonpland,13,2,13.0000
El Arco,2,7,20.0000
Alvear,22,3,16.0000
Las Heras,15,3,7.0000
Garay,18,7,32.0000
Emilio Castro,6,4,48.0000
Alvear,3,5,19.0000
Arroyo Seco,20,4,160.0000
Alberdi,11,7,14.0000
Cabildo,11,6,21.0000
Trelles,10,2,14.0000
Gutierrez,1,5,14.0000
Boulevard,8,4,46.0000
Quilmes,14,3,5.0000
Alsina,9,4,15.0000
Gral Paz Capital,1,7,73.0000
Fisherton,22,6,4.0000
OPERADOR LOGISTICO 2,13,7,
Trelles,19,6,16.0000
Quilmes,1,5,4.0000
Floresta,18,4,14.0000
America,18,3,11.0000
Bulnes,13,5,1.0000
OPERADOR LOGISTICO 2,19,3,
Boulevard,14,4,8.0000
CORS Alem,10,4,69.0000
Villa Luro,22,2,10.0000
Laferrere,15,7,4.0000
La Bandera,13,5,6.0000
Olivos,23,7,28.0000
Centenera,20,6,6.0000
Gral Paz Capital,1,6,27.0000
Parque Sarmiento,12,6,5.0000
Olivos,8,4,47.0000
Emilio Castro,10,6,51.0000
Quilmes,5,5,4.0000
Boulevard,14,5,4.0000
Olivos,12,5,4.0000
Quilmes,16,7,8.0000
Quilmes,13,1,16.0000
Amanecer,22,6,11.0000
Santa Fe,17,6,6.0000
AUBASA BA-LP,3,5,41.0000
Santa Rita,20,6,16.0000
Dialogos,1,3,6.0000
El Arco,19,4,37.0000
Olivos,8,7,31.0000
Santa Rita,19,5,20.0000
San Isidro,17,2,38.0000
Villa Luro,13,2,18.0000
Dialogos,22,1,5.0000
AUBASA BA-LP,22,5,25.0000
Luis Viale,15,3,2.0000
Zarate Brazo Largo,16,3,20.0000
AUBASA LP-BA,2,7,72.0000
Buen Ayre,23,5,38.0000
Bonpland,13,5,4.0000
Alsina,16,4,9.0000
Del Tejar,22,4,4.0000
Del Tejar,8,6,79.0000
AUBASA LP-BA,1,4,32.0000
Gral Paz Capital,23,7,32.0000
Amanecer,15,7,25.0000
America,1,1,21.0000
Maipu,3,6,2.0000
Luis Viale,12,7,14.0000
Garay,0,3,6.0000
La Carmela,21,1,18.0000
El Club,5,7,29.0000
Maipu,22,5,8.0000
Los Incas,11,1,6.0000
Parque Sarmiento,13,6,2.0000
Luis Viale,1,6,12.0000
Luis Viale,5,2,6.0000
Gutierrez,14,6,17.0000
Villa Allende,20,7,12.0000
Las Heras,9,1,16.0000
Boulevard,19,7,15.0000
Trelles,8,4,21.0000
Congreso,5,7,16.0000
Maipu,2,3,6.0000
Boulevard,17,1,28.0000
Amanecer,16,7,16.0000
Dialogos,5,1,21.0000
Maipu,18,7,9.0000
Florencio Varela,16,4,18.0000
Maipu,19,5,8.0000
Boulevard,20,6,6.0000
Boulevard,12,4,6.0000
Emilio Castro,4,6,12.0000
Congreso,22,5,7.0000
Gral Paz Provincia,1,5,22.0000
Congreso,19,1,2.0000
America,17,2,11.0000
Emilio Castro,19,2,8.0000
Trelles,22,4,2.0000
Gral Paz Capital,13,6,33.0000
Emilio Castro,18,1,10.0000
Maipu,17,7,10.0000
Cabildo,17,5,6.0000
Olivos,16,7,17.0000
Boulevard,20,3,2.0000
San Isidro,5,7,8.0000
America,10,7,46.0000
Alvear,15,3,11.0000
Bonpland,3,4,7.0000
Florencio Varela,1,6,6.0000
Olivos,16,3,14.0000
Floresta,1,6,9.0000
Del Tejar,22,7,2.0000
CORS Alem,12,6,23.0000
Dialogos,22,3,7.0000
Quilmes,7,1,34.0000
Emilio Castro,7,4,29.0000
OPERADOR LOGISTICO,18,4,
Alberdi,12,2,2.0000
CORS Alem,7,7,19.0000
CORS Alem,14,5,93.0000
Bonpland,14,1,15.0000
Zarate,1,2,18.0000
Las Heras,8,4,42.0000
Alberdi,8,5,16.0000
Ovidio Lagos,14,1,2.0000
Garay,3,2,6.0000
Cabildo,14,4,6.0000
OPERADOR LOGISTICO,11,6,
Amanecer,21,1,8.0000
San Isidro,13,1,18.0000
Zarate Brazo Largo,13,4,10.0000
Emilio Castro,12,2,14.0000
Gutierrez,23,5,16.0000
Pilar,6,7,51.0000
Maschwitz,7,5,30.0000
Lima,2,5,62.0000
Amanecer,11,3,30.0000
Pilar,8,3,89.0000
OPERADOR LOGISTICO,22,6,
Floresta,14,1,8.0000
Villa Allende,23,7,4.0000
Villa Allende,14,6,8.0000
Luis Viale,16,2,16.0000
La Carmela,19,4,20.0000
Luis Viale,0,4,13.0000
Trelles,0,2,13.0000
Emilio Castro,10,4,31.0000
America,21,7,6.0000
OPERADOR LOGISTICO 2,18,4,
Maipu,23,5,12.0000
