estacion,hora,dia_semana,q_cafes_llevar_algo_otros_sinbakery_negro_caramelonochoco,q_cafes_local_algo_otros_sinbakery_negro_caramelonochoco
Florencio Varela,22,6,3.0000,
Zarate Brazo Largo,19,2,2.0000,
Las Heras,11,3,3.0000,
Centenera,15,2,,7.0000
Fisherton,17,5,3.0000,
Laferrere,5,6,,
Los Incas,10,3,,
Maipu,15,1,,
Amanecer,7,6,2.0000,
Alsina,7,3,1.0000,
San Isidro,9,3,2.0000,7.0000
San Isidro,21,1,,2.0000
La Carmela,9,7,,
Santa Rita,21,7,1.0000,1.0000
Alvear,1,5,4.0000,8.0000
Zarate,17,1,,
Quilmes,8,2,,
Garay,13,6,,
Emilio Castro,11,5,2.0000,
Lima,10,6,30.0000,15.0000
El Club,23,6,,3.0000
Gral Paz Capital,12,3,1.0000,1.0000
Gral Paz Capital,22,4,2.0000,6.0000
Boulevard,23,7,2.0000,
Laferrere,18,6,,
Olivos,11,7,1.0000,1.0000
Fisherton,22,1,2.0000,6.0000
El Club,16,3,4.0000,10.0000
Garay,2,3,,
Florencio Varela,13,1,,1.0000
Santa Fe,20,7,1.0000,
Los Incas,10,6,,
La Carmela,11,1,,
Congreso,15,4,4.0000,7.0000
Del Tejar,18,6,,3.0000
Gral Paz Capital,1,2,5.0000,2.0000
Cabildo,20,4,,
El Arco,3,1,4.0000,1.0000
Zarate,20,3,,
Bonpland,15,2,,12.0000
La Bandera,15,6,2.0000,
AUBASA BA-LP,6,6,19.0000,2.0000
America,10,4,1.0000,4.0000
Floresta,14,4,,3.0000
Lima,4,4,6.0000,
Lima,0,1,17.0000,5.0000
Bonpland,10,4,6.0000,8.0000
Rivadavia,20,7,,
Zarate,8,6,,
El Arco,9,5,5.0000,2.0000
Quilmes,11,3,,
Gutierrez,17,2,,3.0000
Maipu,20,7,,
Bulnes,15,5,1.0000,4.0000
Luis Viale,19,6,1.0000,10.0000
Florencio Varela,19,6,,
Maipu,3,1,,
Floresta,13,3,3.0000,1.0000
Garay,10,7,1.0000,5.0000
Alsina,0,3,,
AUBASA BA-LP,6,5,6.0000,5.0000
Alvear,5,7,5.0000,3.0000
Quilmes,0,6,1.0000,
Dialogos,23,3,,2.0000
El Club,6,4,,3.0000
Villa Allende,8,5,4.0000,1.0000
Gutierrez,5,2,1.0000,1.0000
Alberdi,10,6,,
CORS Alem,9,2,4.0000,
Gral Paz Capital,23,4,2.0000,5.0000
Alsina,0,2,,1.0000
Dialogos,21,6,1.0000,1.0000
Alvear,8,1,6.0000,4.0000
Gutierrez,12,5,,
Maipu,0,4,,2.0000
Floresta,18,5,5.0000,1.0000
Floresta,18,7,3.0000,1.0000
Ovidio Lagos,3,1,,
El Arco,15,4,3.0000,2.0000
Maschwitz,10,4,,
Alsina,17,4,,4.0000
AUBASA BA-LP,9,7,15.0000,6.0000
Dialogos,19,5,6.0000,2.0000
La Bandera,10,3,2.0000,
Florencio Varela,4,5,1.0000,
America,15,1,,3.0000
Lima,23,4,8.0000,3.0000
Alsina,21,3,,6.0000
Mitre,18,1,,
Maschwitz,21,6,,
San Isidro,0,4,,1.0000
Parque Sarmiento,23,4,,
Rivadavia,12,7,,
Maipu,6,3,,
Fisherton,7,1,,
Ovidio Lagos,0,5,,
Del Tejar,9,1,,
Alberdi,11,5,,
Santa Fe,8,2,2.0000,
Garay,16,1,2.0000,3.0000
Zarate Brazo Largo,2,1,1.0000,1.0000
Fisherton,23,2,,5.0000
Rivadavia,20,6,,
Villa Allende,12,2,1.0000,2.0000
Zarate Brazo Largo,20,2,2.0000,
AUBASA LP-BA,1,3,6.0000,4.0000
Alberdi,8,1,,
Trelles,5,4,,1.0000
Cabildo,13,4,,
Parque Sarmiento,4,5,,
Alsina,5,1,,
Maipu,3,4,,
Olivos,9,1,,
Cabildo,12,1,,
Mitre,18,3,,
La Bandera,11,1,,
Las Heras,10,6,6.0000,
Zarate Brazo Largo,23,4,2.0000,
Ovidio Lagos,4,6,,
Bulnes,14,3,4.0000,
Bulnes,12,2,,6.0000
Los Incas,8,7,,
Cabildo,2,2,,
Mitre,19,2,,
Zarate Brazo Largo,4,4,3.0000,
Alsina,7,7,,2.0000
Alberdi,2,4,,
El Arco,1,3,4.0000,1.0000
Rosario Sur,14,1,,
Rivadavia,18,6,,
Cabildo,4,4,,
Bonpland,3,2,1.0000,1.0000
Santa Fe,22,6,,
Mitre,20,1,,
Bulnes,4,4,,
Boulevard,5,4,,
OPERADOR LOGISTICO,19,5,,
OPERADOR LOGISTICO,19,3,,
Mitre,23,4,,
Santa Fe,1,5,,
Anchorena,2,1,,
Mitre,5,1,,
Bulnes,1,2,,
Anchorena,1,2,,
Mitre,0,5,,
OPERADOR LOGISTICO,16,6,,
Anchorena,3,3,,
OPERADOR LOGISTICO 2,22,2,,
Gutierrez,17,5,4.0000,4.0000
Gutierrez,19,2,1.0000,3.0000
El Arco,18,4,4.0000,
Arroyo Seco,13,2,27.0000,38.0000
Los Incas,6,4,,
Santa Rita,6,5,5.0000,2.0000
Del Tejar,23,6,,6.0000
Centenera,1,1,,
Maipu,1,1,,4.0000
Pilar,10,1,,
Alsina,19,2,,2.0000
Centenera,21,6,2.0000,1.0000
Congreso,6,2,1.0000,
Florencio Varela,11,2,2.0000,2.0000
Los Incas,17,4,,
Luis Viale,12,5,1.0000,6.0000
Pilar,15,3,,
Luis Viale,8,4,3.0000,4.0000
Zarate Brazo Largo,16,5,5.0000,3.0000
El Club,11,6,2.0000,9.0000
Villa Allende,15,2,3.0000,7.0000
Laferrere,12,1,1.0000,
Parque Sarmiento,20,1,,
Dialogos,6,5,2.0000,
Los Incas,13,7,,
Emilio Castro,10,7,2.0000,1.0000
Centenera,7,5,4.0000,
Las Heras,9,3,4.0000,
Ovidio Lagos,9,6,,
AUBASA BA-LP,5,1,3.0000,
El Arco,18,2,1.0000,
Gral Paz Capital,0,6,6.0000,
Del Tejar,4,1,,1.0000
Maschwitz,11,5,,
Garay,3,6,,
Gral Paz Provincia,17,7,13.0000,8.0000
Quilmes,14,1,2.0000,2.0000
Laferrere,5,7,,
Rosario Sur,13,1,,
Cabildo,15,3,,
Bonpland,6,2,13.0000,4.0000
Alberdi,9,5,,
Villa Allende,0,6,,
Laferrere,11,1,,
Lima,16,2,27.0000,21.0000
Ovidio Lagos,19,3,,
Santa Rita,5,4,,
AUBASA BA-LP,13,3,6.0000,19.0000
Arroyo Seco,14,4,29.0000,23.0000
Fisherton,21,6,1.0000,
Lima,16,7,36.0000,28.0000
Ovidio Lagos,23,1,,
Gral Paz Capital,19,2,3.0000,2.0000
Buen Ayre,19,7,10.0000,12.0000
AUBASA BA-LP,6,2,19.0000,2.0000
Florencio Varela,7,2,7.0000,1.0000
Arroyo Seco,13,4,16.0000,39.0000
Las Heras,5,3,2.0000,
Lima,8,3,18.0000,4.0000
Quilmes,3,1,,1.0000
Gutierrez,1,4,1.0000,1.0000
Gutierrez,0,7,,2.0000
Dialogos,14,2,,
Olivos,18,6,,3.0000
Las Heras,2,1,4.0000,
Fisherton,0,6,3.0000,5.0000
Olivos,23,1,,
La Bandera,10,2,3.0000,
El Club,23,5,8.0000,3.0000
Alberdi,10,2,,
Villa Allende,21,3,,2.0000
San Isidro,1,2,,
Villa Allende,17,2,1.0000,2.0000
Zarate,19,4,,
Gral Paz Capital,10,5,5.0000,8.0000
El Arco,14,2,1.0000,3.0000
Congreso,4,6,4.0000,1.0000
Gutierrez,7,6,4.0000,1.0000
Mitre,15,3,,
Gutierrez,5,6,,
Quilmes,21,3,,
Luis Viale,13,6,1.0000,5.0000
Villa Luro,23,2,,8.0000
Boulevard,22,4,,
San Isidro,21,6,,
San Isidro,4,1,,
La Carmela,16,4,,
Lima,11,1,17.0000,16.0000
Dialogos,21,2,,
Luis Viale,23,6,2.0000,12.0000
Florencio Varela,5,4,3.0000,
Zarate Brazo Largo,8,7,5.0000,5.0000
Maschwitz,21,7,,
Buen Ayre,14,1,,12.0000
Parque Sarmiento,13,7,1.0000,5.0000
Alvear,10,5,9.0000,12.0000
San Isidro,15,2,,7.0000
El Club,0,6,2.0000,6.0000
Centenera,14,4,2.0000,4.0000
Zarate Brazo Largo,16,6,5.0000,4.0000
Garay,21,7,,4.0000
El Arco,5,3,7.0000,2.0000
Alvear,20,6,1.0000,2.0000
Gral Paz Provincia,6,2,7.0000,4.0000
Maipu,23,6,,
Alsina,13,2,,1.0000
Boulevard,19,4,4.0000,3.0000
Gral Paz Provincia,13,3,4.0000,12.0000
Villa Luro,8,6,3.0000,4.0000
Luis Viale,21,1,2.0000,4.0000
AUBASA LP-BA,4,3,3.0000,1.0000
Alberdi,12,1,,
Gutierrez,0,3,,
Emilio Castro,14,4,1.0000,
Villa Luro,7,7,,1.0000
Villa Luro,6,4,2.0000,4.0000
Lima,11,4,25.0000,26.0000
Villa Luro,20,1,,4.0000
El Arco,13,1,,
America,12,3,,3.0000
CORS Alem,12,6,,
Gral Paz Capital,16,2,2.0000,9.0000
Villa Luro,11,4,,6.0000
Villa Allende,17,6,2.0000,2.0000
Dialogos,22,3,1.0000,
Zarate Brazo Largo,14,5,7.0000,6.0000
El Club,15,2,5.0000,8.0000
Gral Paz Provincia,5,4,10.0000,1.0000
Bulnes,13,5,,1.0000
El Club,23,7,2.0000,7.0000
America,18,3,,
Cabildo,19,3,,
Bulnes,11,2,1.0000,3.0000
Florencio Varela,21,1,,
Gral Paz Capital,19,5,2.0000,8.0000
Ovidio Lagos,23,6,,
Gutierrez,7,5,2.0000,1.0000
Gral Paz Provincia,9,4,7.0000,13.0000
Alvear,17,4,3.0000,11.0000
Luis Viale,1,6,1.0000,1.0000
Santa Rita,18,5,4.0000,4.0000
Congreso,7,7,4.0000,
Floresta,9,6,,
Parque Sarmiento,13,6,,5.0000
Olivos,19,6,,3.0000
America,14,4,1.0000,4.0000
Rivadavia,11,4,,
Los Incas,23,2,,
Maschwitz,1,4,,
AUBASA LP-BA,0,1,12.0000,4.0000
Gral Paz Provincia,12,7,6.0000,4.0000
AUBASA BA-LP,7,4,13.0000,2.0000
Emilio Castro,7,4,14.0000,1.0000
Gral Paz Provincia,0,6,4.0000,13.0000
Quilmes,7,1,,
Lima,20,2,15.0000,6.0000
Boulevard,14,4,1.0000,14.0000
Gral Paz Capital,18,2,6.0000,10.0000
Gutierrez,19,3,1.0000,3.0000
Anchorena,17,4,,
Gral Paz Capital,18,4,8.0000,5.0000
Quilmes,17,4,,1.0000
Pilar,12,2,,3.0000
Amanecer,16,2,1.0000,
Emilio Castro,18,4,5.0000,
Pilar,22,7,,
Villa Luro,6,2,1.0000,3.0000
Florencio Varela,11,4,2.0000,2.0000
Alvear,17,1,4.0000,9.0000
Congreso,11,2,1.0000,2.0000
Villa Luro,7,5,2.0000,3.0000
Trelles,17,2,1.0000,4.0000
San Isidro,6,6,6.0000,6.0000
AUBASA LP-BA,12,2,8.0000,7.0000
Los Incas,19,6,,
Cabildo,3,3,,
Trelles,18,3,2.0000,2.0000
Alsina,4,3,,
Luis Viale,5,2,,1.0000
Alvear,11,1,3.0000,3.0000
Ovidio Lagos,3,5,,
Florencio Varela,3,6,1.0000,
Santa Rita,11,4,4.0000,1.0000
Alberdi,21,5,,
Villa Luro,0,6,,12.0000
Centenera,23,4,,
La Carmela,3,7,,
Laferrere,15,7,,
Zarate Brazo Largo,14,7,3.0000,4.0000
America,20,5,,6.0000
Alvear,6,5,2.0000,11.0000
Pilar,23,1,1.0000,
Alberdi,15,5,,
Zarate,0,3,,
Las Heras,19,4,1.0000,
America,2,1,1.0000,2.0000
Floresta,13,2,1.0000,1.0000
Laferrere,13,3,,1.0000
Villa Allende,20,7,,4.0000
Villa Luro,9,1,1.0000,5.0000
Villa Luro,16,6,2.0000,11.0000
Alsina,6,5,,1.0000
Lima,6,7,16.0000,2.0000
Villa Luro,22,2,,2.0000
Zarate,19,3,,
Santa Fe,18,5,3.0000,1.0000
Laferrere,9,3,2.0000,1.0000
Rosario Sur,7,3,,
Quilmes,15,5,,
Villa Luro,18,7,2.0000,4.0000
Gutierrez,14,6,2.0000,3.0000
Garay,5,4,,2.0000
Luis Viale,4,4,,2.0000
Emilio Castro,7,7,3.0000,
Trelles,6,1,1.0000,3.0000
Los Incas,14,1,,
Fisherton,2,6,,2.0000
Rivadavia,15,5,,
Cabildo,9,1,,
Zarate,6,7,,
Luis Viale,0,3,,1.0000
Alvear,3,4,2.0000,2.0000
Luis Viale,8,2,,1.0000
Trelles,20,4,1.0000,
Santa Fe,16,5,3.0000,
Santa Fe,19,1,,
Bonpland,9,2,8.0000,6.0000
Parque Sarmiento,10,6,5.0000,7.0000
Parque Sarmiento,8,2,2.0000,9.0000
Las Heras,23,5,,
Villa Allende,23,4,,
San Isidro,22,2,,2.0000
Maipu,23,5,,
Santa Rita,20,3,1.0000,2.0000
Floresta,0,4,,1.0000
Alberdi,9,3,,
Bonpland,9,1,1.0000,4.0000
Floresta,18,4,7.0000,
CORS Alem,13,5,,
Zarate,2,4,,
Alberdi,6,6,,
Trelles,17,4,1.0000,1.0000
Bonpland,16,2,1.0000,9.0000
Los Incas,18,2,,
Alvear,8,2,7.0000,11.0000
Boulevard,16,6,2.0000,7.0000
Cabildo,8,6,,
Del Tejar,23,4,,3.0000
Las Heras,9,1,1.0000,
Parque Sarmiento,2,3,,
San Isidro,4,3,,
Fisherton,3,5,1.0000,2.0000
Del Tejar,3,3,,
Floresta,23,6,,
Olivos,2,4,,
Olivos,2,3,,
Alberdi,3,5,,
Cabildo,8,3,,
Bulnes,8,4,,
Rivadavia,9,2,,
Mitre,0,6,,
CORS Alem,15,3,4.0000,
Rosario Sur,14,2,,
CORS Alem,10,4,2.0000,
Luis Viale,3,4,3.0000,2.0000
Boulevard,0,4,1.0000,
Zarate Brazo Largo,4,1,,
Rosario Sur,8,7,,
Florencio Varela,3,5,4.0000,
Centenera,2,3,,
Rosario Sur,11,4,,
Boulevard,2,2,,
Mitre,8,4,,
Rivadavia,7,4,,
Floresta,8,3,,
OPERADOR LOGISTICO 2,12,7,,
Rosario Sur,23,5,,
Anchorena,23,5,,
Anchorena,15,3,,
OPERADOR LOGISTICO,8,5,,
OPERADOR LOGISTICO 2,17,6,,
OPERADOR LOGISTICO 2,19,3,,
Villa Allende,5,3,,
Mitre,11,1,,
OPERADOR LOGISTICO 2,14,7,,
Anchorena,16,7,,
Anchorena,3,2,,
Anchorena,14,7,,
Bulnes,4,7,,
Anchorena,0,6,,
Bulnes,0,4,,
Rivadavia,23,5,,
Bulnes,2,7,,
Anchorena,11,4,,
Bulnes,0,6,,
OPERADOR LOGISTICO 2,22,1,,
Anchorena,22,6,,
Laferrere,8,1,2.0000,
Lima,19,6,21.0000,10.0000
America,5,2,,1.0000
La Bandera,13,5,1.0000,
Florencio Varela,22,7,2.0000,
Parque Sarmiento,0,1,2.0000,1.0000
Centenera,20,6,3.0000,
Trelles,8,4,1.0000,2.0000
El Club,18,5,11.0000,7.0000
Luis Viale,13,4,,6.0000
Maschwitz,15,4,,
Olivos,23,7,,
Floresta,15,1,,1.0000
Alberdi,12,2,,
Alberdi,15,3,,
Fisherton,14,6,,
Gral Paz Capital,1,6,2.0000,
Gral Paz Provincia,9,7,7.0000,2.0000
Floresta,12,7,5.0000,
Los Incas,20,1,,
Congreso,0,7,,4.0000
Trelles,11,1,,3.0000
El Arco,22,6,2.0000,1.0000
El Club,22,3,,3.0000
AUBASA LP-BA,8,3,14.0000,10.0000
Congreso,5,7,1.0000,
Pilar,22,3,,
Boulevard,19,7,1.0000,6.0000
Buen Ayre,2,7,2.0000,8.0000
Buen Ayre,8,1,5.0000,2.0000
Maipu,2,3,,
Arroyo Seco,1,6,16.0000,1.0000
Zarate Brazo Largo,14,6,9.0000,12.0000
Floresta,21,6,,
Laferrere,9,2,1.0000,
Santa Fe,17,4,2.0000,1.0000
Centenera,21,5,2.0000,
La Bandera,20,2,,
Lima,2,4,14.0000,2.0000
AUBASA LP-BA,7,4,13.0000,2.0000
Zarate Brazo Largo,19,5,1.0000,
La Bandera,20,7,1.0000,
Gutierrez,1,6,,1.0000
Alberdi,21,7,,
Boulevard,11,6,2.0000,2.0000
La Bandera,14,2,,
Quilmes,5,5,1.0000,
San Isidro,1,3,,
La Bandera,18,4,1.0000,
Laferrere,9,1,,
AUBASA LP-BA,17,5,18.0000,9.0000
Quilmes,16,5,,
Las Heras,6,7,3.0000,
Maschwitz,16,5,,
Los Incas,18,6,,
America,23,4,,7.0000
Gral Paz Provincia,18,6,6.0000,6.0000
Los Incas,14,7,,
Maschwitz,4,2,,
Arroyo Seco,12,4,14.0000,15.0000
El Club,11,1,1.0000,4.0000
Santa Fe,8,7,4.0000,
Emilio Castro,4,5,4.0000,1.0000
AUBASA BA-LP,6,7,17.0000,1.0000
Pilar,10,2,,1.0000
Fisherton,19,4,6.0000,4.0000
Emilio Castro,10,6,2.0000,
Bulnes,20,1,,1.0000
Cabildo,9,7,,
Arroyo Seco,19,5,23.0000,7.0000
Bulnes,13,3,,3.0000
Parque Sarmiento,9,1,3.0000,11.0000
America,12,6,2.0000,2.0000
Parque Sarmiento,9,2,4.0000,17.0000
Olivos,8,4,,
AUBASA BA-LP,3,6,4.0000,
Cabildo,8,2,,
Emilio Castro,1,6,3.0000,
Amanecer,1,1,,
Olivos,19,2,,3.0000
AUBASA BA-LP,23,5,6.0000,4.0000
Alsina,14,5,3.0000,2.0000
La Bandera,19,2,,
Olivos,11,4,1.0000,
Fisherton,9,6,3.0000,2.0000
La Carmela,8,3,,
San Isidro,20,3,2.0000,1.0000
Olivos,12,5,,
El Arco,19,6,5.0000,4.0000
Laferrere,22,3,1.0000,
Boulevard,14,5,1.0000,6.0000
Gral Paz Provincia,19,6,1.0000,7.0000
Gral Paz Provincia,0,1,7.0000,11.0000
Boulevard,17,1,1.0000,3.0000
Luis Viale,17,1,1.0000,2.0000
Gral Paz Capital,8,3,16.0000,2.0000
Buen Ayre,23,4,2.0000,6.0000
Villa Allende,14,3,1.0000,2.0000
Alsina,11,3,,3.0000
Floresta,8,6,,1.0000
Del Tejar,9,5,,6.0000
Fisherton,19,3,4.0000,1.0000
AUBASA LP-BA,3,7,5.0000,3.0000
Villa Allende,11,7,3.0000,3.0000
Centenera,8,6,3.0000,1.0000
Rosario Sur,20,6,,
Las Heras,8,4,4.0000,
San Isidro,1,6,,3.0000
La Carmela,14,1,,
El Club,4,1,,2.0000
Gutierrez,6,2,2.0000,
San Isidro,11,2,2.0000,11.0000
Zarate,1,2,,
Laferrere,23,7,1.0000,1.0000
Santa Rita,21,5,,1.0000
Dialogos,5,1,1.0000,2.0000
Emilio Castro,21,1,1.0000,
Bonpland,14,1,1.0000,3.0000
Floresta,17,6,3.0000,
CORS Alem,14,5,3.0000,
Alberdi,8,5,,
Trelles,20,2,,
Ovidio Lagos,11,3,,
Santa Fe,7,2,,
Amanecer,16,7,1.0000,
Emilio Castro,22,1,1.0000,
AUBASA LP-BA,8,6,8.0000,3.0000
Quilmes,16,7,1.0000,2.0000
Maipu,18,7,,
Alberdi,0,1,,
Rosario Sur,11,5,,
Maschwitz,12,2,,
Arroyo Seco,10,3,26.0000,16.0000
Trelles,18,7,1.0000,2.0000
Villa Luro,15,6,5.0000,8.0000
El Arco,4,3,,
La Bandera,19,5,,
Maschwitz,0,6,,
Zarate,22,4,,
Villa Allende,13,2,1.0000,1.0000
Maipu,19,7,,
Buen Ayre,11,7,16.0000,13.0000
AUBASA BA-LP,3,7,5.0000,3.0000
Gral Paz Provincia,15,6,4.0000,6.0000
Olivos,0,1,,
Gral Paz Provincia,3,2,1.0000,2.0000
Florencio Varela,16,4,1.0000,2.0000
America,18,5,,1.0000
El Arco,4,2,2.0000,
Dialogos,13,3,1.0000,1.0000
Bonpland,16,5,2.0000,15.0000
El Arco,16,7,2.0000,2.0000
America,8,5,1.0000,1.0000
Santa Fe,17,6,1.0000,
America,11,3,2.0000,3.0000
Zarate Brazo Largo,12,2,2.0000,5.0000
Mitre,16,1,,
Gral Paz Provincia,7,3,9.0000,4.0000
Cabildo,17,4,,
El Club,13,6,3.0000,13.0000
Ovidio Lagos,2,5,,
San Isidro,11,3,,7.0000
Zarate Brazo Largo,12,3,,2.0000
Santa Fe,18,7,,
Trelles,0,1,1.0000,2.0000
Gutierrez,7,4,3.0000,
Arroyo Seco,4,7,23.0000,3.0000
Amanecer,22,6,1.0000,2.0000
Parque Sarmiento,22,7,2.0000,2.0000
Quilmes,11,1,1.0000,1.0000
Gral Paz Capital,4,2,7.0000,3.0000
Santa Fe,10,7,4.0000,
Quilmes,13,1,,
Ovidio Lagos,14,1,,
Pilar,9,3,3.0000,4.0000
Del Tejar,23,2,,3.0000
Las Heras,18,4,3.0000,
AUBASA BA-LP,3,5,2.0000,
AUBASA BA-LP,9,5,11.0000,9.0000
Bulnes,13,7,,3.0000
Gral Paz Provincia,21,3,1.0000,5.0000
AUBASA LP-BA,12,3,5.0000,9.0000
Maipu,19,5,,
Dialogos,10,3,,
Villa Allende,18,7,,1.0000
Ovidio Lagos,9,1,,1.0000
Santa Rita,20,6,,2.0000
Boulevard,20,6,,1.0000
AUBASA BA-LP,16,5,15.0000,10.0000
Pilar,14,7,,1.0000
Alvear,7,1,4.0000,3.0000
Santa Rita,2,4,,
La Carmela,4,6,,
Floresta,8,7,,
Parque Sarmiento,7,1,2.0000,11.0000
Alberdi,21,1,,
Pilar,2,5,1.0000,
Boulevard,17,7,2.0000,5.0000
Dialogos,6,7,2.0000,3.0000
Alsina,12,2,2.0000,
Boulevard,21,3,,
Zarate,4,4,,
Rivadavia,19,7,,
Centenera,20,2,,
Congreso,22,5,3.0000,3.0000
Boulevard,6,6,,3.0000
AUBASA BA-LP,13,2,6.0000,7.0000
Maipu,9,5,,
Villa Luro,3,1,8.0000,1.0000
Luis Viale,19,1,1.0000,8.0000
Zarate,23,5,,
Cabildo,14,4,,
Florencio Varela,4,7,4.0000,
Parque Sarmiento,9,3,1.0000,22.0000
Gral Paz Provincia,1,5,2.0000,3.0000
El Arco,19,4,1.0000,4.0000
Pilar,21,2,,
Olivos,8,7,2.0000,
Villa Allende,14,4,1.0000,3.0000
Buen Ayre,23,6,1.0000,8.0000
Bonpland,20,1,2.0000,7.0000
Pilar,11,3,1.0000,1.0000
Dialogos,1,3,,
Garay,15,5,,4.0000
Laferrere,23,6,1.0000,1.0000
Luis Viale,4,5,1.0000,
Lima,15,4,32.0000,31.0000
Lima,22,2,18.0000,5.0000
San Isidro,13,1,1.0000,
Centenera,2,1,3.0000,3.0000
Amanecer,21,1,2.0000,
Maipu,14,3,,
Villa Allende,20,3,1.0000,3.0000
Parque Sarmiento,12,6,,2.0000
Amanecer,13,7,1.0000,
Fisherton,13,1,1.0000,
Del Tejar,4,5,,1.0000
Olivos,3,2,,
Parque Sarmiento,6,2,,1.0000
Gutierrez,21,7,,2.0000
AUBASA BA-LP,21,6,1.0000,4.0000
Bonpland,1,4,,1.0000
Florencio Varela,15,7,,
America,4,1,,
Cabildo,14,2,,
Alberdi,14,7,,
Olivos,22,2,,
Centenera,8,2,6.0000,5.0000
Boulevard,1,6,,1.0000
Luis Viale,11,4,2.0000,3.0000
Boulevard,12,4,1.0000,2.0000
Boulevard,3,4,,
Mitre,14,7,,
Floresta,23,2,,
Emilio Castro,4,6,6.0000,1.0000
Bonpland,7,1,2.0000,4.0000
El Club,3,5,,
Cabildo,16,6,,
Rivadavia,10,4,,
Rosario Sur,10,2,,
Los Incas,2,7,,
Del Tejar,5,3,,1.0000
Santa Fe,20,4,1.0000,
Zarate Brazo Largo,0,4,1.0000,1.0000
Bulnes,10,1,,
Garay,3,2,1.0000,
Rivadavia,4,4,,
Zarate Brazo Largo,4,6,3.0000,
Rivadavia,18,4,,
CORS Alem,7,7,,
AUBASA LP-BA,6,1,4.0000,
Centenera,22,2,,1.0000
San Isidro,3,3,,
Bulnes,11,3,,5.0000
La Bandera,23,3,,
Rivadavia,7,5,,
Mitre,11,3,,
Rivadavia,8,3,,
Mitre,21,5,,
Rivadavia,6,7,,
Zarate Brazo Largo,1,2,3.0000,1.0000
Mitre,14,3,,
Villa Allende,3,5,1.0000,
Rivadavia,0,7,,
OPERADOR LOGISTICO 2,11,3,,
Mitre,16,6,,
Mitre,2,7,,
Anchorena,3,5,,
OPERADOR LOGISTICO,10,2,,
OPERADOR LOGISTICO 2,11,7,,
Mitre,18,4,,
Mitre,23,7,,
Anchorena,12,7,,
Anchorena,11,2,,
Santa Fe,4,2,,
OPERADOR LOGISTICO 2,20,4,,
Mitre,3,4,,
Mitre,7,2,,
OPERADOR LOGISTICO,12,2,,
OPERADOR LOGISTICO,11,6,,
Garay,17,4,,2.0000
Congreso,19,1,3.0000,3.0000
Florencio Varela,1,7,1.0000,
Gral Paz Provincia,13,2,1.0000,8.0000
Buen Ayre,2,5,2.0000,4.0000
Cabildo,20,6,,
Zarate Brazo Largo,23,7,1.0000,3.0000
Los Incas,20,3,,
San Isidro,17,2,6.0000,10.0000
Maipu,10,5,,
AUBASA BA-LP,20,4,6.0000,3.0000
Boulevard,4,7,,
AUBASA LP-BA,9,1,7.0000,
Alberdi,14,2,,
Floresta,19,4,1.0000,1.0000
Santa Rita,7,1,1.0000,
Garay,2,5,2.0000,1.0000
Ovidio Lagos,20,6,,
El Arco,12,1,2.0000,2.0000
Maschwitz,23,4,,
Emilio Castro,23,4,,
Trelles,9,2,1.0000,
Luis Viale,19,5,3.0000,14.0000
Gral Paz Provincia,14,3,2.0000,5.0000
Emilio Castro,12,2,,
Villa Luro,16,4,5.0000,13.0000
Santa Rita,19,5,1.0000,
Gral Paz Capital,23,2,2.0000,5.0000
Maschwitz,1,2,,
Las Heras,7,6,5.0000,
Zarate Brazo Largo,13,4,1.0000,6.0000
El Arco,21,4,1.0000,1.0000
Gutierrez,11,5,2.0000,1.0000
Centenera,16,5,3.0000,2.0000
Gutierrez,23,5,,2.0000
Villa Allende,20,1,1.0000,3.0000
AUBASA LP-BA,14,1,12.0000,12.0000
Laferrere,21,1,1.0000,
Arroyo Seco,14,5,33.0000,23.0000
Emilio Castro,19,2,,1.0000
Maschwitz,7,5,,
Gral Paz Capital,13,6,2.0000,8.0000
Alvear,1,1,4.0000,2.0000
Amanecer,3,7,2.0000,1.0000
Pilar,18,5,,
Laferrere,16,7,,
Garay,17,2,1.0000,3.0000
Zarate Brazo Largo,17,4,3.0000,
La Bandera,5,7,2.0000,
Gral Paz Capital,20,4,7.0000,2.0000
Villa Luro,13,2,1.0000,6.0000
Fisherton,14,2,,1.0000
Laferrere,11,5,,
Bonpland,4,3,,1.0000
Amanecer,18,4,4.0000,1.0000
Alvear,20,1,4.0000,10.0000
Gutierrez,17,7,3.0000,6.0000
Alberdi,5,1,,
Emilio Castro,21,5,,
Parque Sarmiento,22,2,,
Santa Rita,12,7,,1.0000
Gutierrez,19,1,2.0000,
Fisherton,17,1,2.0000,
Trelles,22,4,1.0000,2.0000
Laferrere,5,1,2.0000,
America,17,2,,6.0000
Ovidio Lagos,8,5,1.0000,
Dialogos,22,1,,
Las Heras,15,2,1.0000,
Amanecer,11,3,3.0000,4.0000
Emilio Castro,18,1,1.0000,
Lima,2,5,5.0000,1.0000
Zarate,21,4,,
Gral Paz Capital,21,4,9.0000,1.0000
Trelles,9,1,1.0000,1.0000
Laferrere,4,2,2.0000,
Gral Paz Provincia,1,4,1.0000,2.0000
Amanecer,16,5,4.0000,2.0000
Amanecer,9,7,9.0000,1.0000
San Isidro,12,7,1.0000,1.0000
Maipu,12,7,,
Fisherton,23,6,3.0000,4.0000
Los Incas,23,5,,
Alvear,23,1,,3.0000
Fisherton,7,7,3.0000,
San Isidro,11,4,6.0000,10.0000
Santa Rita,3,5,,
Maipu,17,7,,
