estacion,hora,dia_semana,q_cafes_llevar_algo_otros_sinbakery_negro_caramelonochoco,q_cafes_local_algo_otros_sinbakery_negro_caramelonochoco
OPERADOR LOGISTICO 2,17,2,,
Anchorena,17,1,,
Rivadavia,4,2,,
Anchorena,13,4,,
OPERADOR LOGISTICO 2,8,3,,
Bulnes,1,6,,
Anchorena,1,7,,
Bulnes,22,5,,
Bulnes,3,6,,
CORS EVENTOS,21,7,,
OPERADOR LOGISTICO 2,7,1,,
OPERADOR LOGISTICO,11,4,,
OPERADOR LOGISTICO,13,4,,
OPERADOR LOGISTICO 2,6,4,,
Laferrere,22,4,,
Garay,10,6,6.0000,1.0000
Garay,22,4,1.0000,
Alberdi,12,7,,
Garay,17,6,2.0000,4.0000
Villa Allende,10,5,9.0000,
America,12,1,,2.0000
Rosario Sur,19,6,,
Bonpland,3,7,1.0000,5.0000
Arroyo Seco,15,5,51.0000,41.0000
La Carmela,12,6,,
El Arco,23,2,,5.0000
Santa Fe,9,3,4.0000,1.0000
Pilar,12,7,,1.0000
Floresta,19,3,2.0000,1.0000
Laferrere,11,7,,1.0000
El Arco,15,1,3.0000,2.0000
AUBASA BA-LP,22,6,2.0000,7.0000
Olivos,23,4,,
Garay,22,1,1.0000,1.0000
Zarate,14,1,,
Alvear,12,4,2.0000,4.0000
Bulnes,19,7,,
Del Tejar,11,3,,2.0000
Boulevard,12,1,2.0000,4.0000
Santa Fe,14,1,,
Villa Luro,0,7,3.0000,7.0000
Buen Ayre,10,7,9.0000,6.0000
Floresta,17,3,,2.0000
Del Tejar,0,5,,2.0000
Laferrere,18,7,,
Alvear,10,1,2.0000,7.0000
Pilar,21,5,,
El Arco,1,4,3.0000,1.0000
Cabildo,18,7,,
Arroyo Seco,22,5,13.0000,5.0000
Trelles,16,2,4.0000,2.0000
Luis Viale,20,2,2.0000,4.0000
Zarate Brazo Largo,23,5,2.0000,
Alsina,2,4,,4.0000
Florencio Varela,15,6,,
Emilio Castro,6,1,2.0000,1.0000
