estacion,hora,q_cafes_llevar_solo_otros_negro1,q_cafes_local_solo_otros_negro1
DISC Echeverria,18,null,11.0000
Libertador,15,20.0000,60.0000
Alvear,11,49.0000,144.0000
El Club,6,27.0000,28.0000
El Club,13,23.0000,102.0000
Fisherton,16,38.0000,90.0000
Luis Viale,6,9.0000,21.0000
Zarate,11,18.0000,1.0000
Luis Viale,14,12.0000,72.0000
Bonpland,7,43.0000,56.0000
AUBASA BA-LP,11,58.0000,101.0000
AUBASA BA-LP,14,77.0000,86.0000
Villa Allende,7,28.0000,59.0000
Luis Viale,10,15.0000,53.0000
Amanecer,21,9.0000,null
Floresta,10,8.0000,null
Bonpland,4,28.0000,22.0000
America,18,24.0000,null
Maipu,23,null,4.0000
Gutierrez,1,16.0000,5.0000
El Arco,13,7.0000,34.0000
Parque Sarmiento,19,32.0000,2.0000
Olivos,8,11.0000,14.0000
Los Incas,7,9.0000,null
Quilmes,14,9.0000,49.0000
Lima,23,145.0000,55.0000
Santa Fe,7,16.0000,1.0000
AUBASA BA-LP,20,40.0000,32.0000
Zarate,8,23.0000,2.0000
Maipu,4,null,null
Florencio Varela,9,19.0000,12.0000
El Arco,16,18.0000,64.0000
Libertador,14,13.0000,44.0000
Florencio Varela,19,4.0000,null
Maipu,11,null,3.0000
Anchorena,6,null,null
Centenera,14,14.0000,6.0000
Gutierrez,23,5.0000,10.0000
Gral Paz Capital,21,33.0000,null
Disc Panamericana,16,null,null
Las Heras,2,8.0000,2.0000
San Isidro,3,7.0000,6.0000
Zarate Brazo Largo,14,null,null
Santa Fe,15,11.0000,5.0000
Pilar,22,8.0000,null
La Bandera,19,7.0000,94.0000
Santa Rita,11,1.0000,7.0000
Olivos,22,null,15.0000
Maschwitz,20,null,4.0000
Parque Sarmiento,3,1.0000,null
Congreso,21,null,null
Alberdi,2,null,9.0000
Gutierrez,15,11.0000,31.0000
Olivos,6,3.0000,7.0000
Quilmes,22,8.0000,21.0000
Santa Rita,2,null,null
Olivos,1,3.0000,11.0000
Zarate,5,null,null
Maschwitz,4,null,8.0000
Las Heras,17,18.0000,15.0000
Del Tejar,5,8.0000,null
