estacion,hora,q_cafes_llevar_algo_leche_sinbakery_alfajor,q_cafes_llevar_algo_otros_sinbakery_alfajor,q_cafes_local_algo_leche_sinbakery_alfajor,q_cafes_local_algo_otros_sinbakery_alfajor
DISC Caraffa,18,null,null,3.0000,3.0000
Alberdi,16,null,null,null,31.0000
Congreso,8,10.0000,5.0000,null,9.0000
El Club,15,10.0000,13.0000,13.0000,67.0000
Alvear,9,10.0000,13.0000,14.0000,31.0000
Luis Viale,23,5.0000,6.0000,3.0000,10.0000
Buen Ayre,16,19.0000,33.0000,22.0000,88.0000
Florencio Varela,23,null,8.0000,null,13.0000
La Bandera,17,6.0000,3.0000,5.0000,55.0000
Emilio Castro,7,11.0000,13.0000,1.0000,7.0000
Centenera,16,3.0000,3.0000,9.0000,13.0000
Bonpland,17,14.0000,14.0000,10.0000,38.0000
Emilio Castro,14,1.0000,5.0000,2.0000,7.0000
La Carmela,10,13.0000,12.0000,7.0000,8.0000
Pilar,6,7.0000,11.0000,4.0000,6.0000
Buen Ayre,10,16.0000,16.0000,7.0000,17.0000
Alberdi,1,null,null,null,6.0000
La Bandera,19,9.0000,2.0000,4.0000,9.0000
Congreso,1,2.0000,6.0000,null,1.0000
Buen Ayre,2,11.0000,7.0000,4.0000,19.0000
Laferrere,4,9.0000,17.0000,2.0000,2.0000
Alberdi,2,null,null,null,15.0000
America,21,null,5.0000,null,8.0000
Emilio Castro,5,1.0000,4.0000,3.0000,2.0000
Disc Panamericana,13,null,null,null,1.0000
Anchorena,9,null,null,null,null
Disc Panamericana,16,1.0000,5.0000,null,null
Centenera,4,2.0000,2.0000,2.0000,1.0000
Bulnes,4,null,null,null,null
DISC Caraffa,9,null,null,null,1.0000
Disc Panamericana,21,null,null,null,2.0000
DISC Caraffa,10,null,null,null,1.0000
Disc Panamericana,2,null,null,null,null
Disc Panamericana,7,null,1.0000,null,null
Anchorena,22,null,null,null,null
Anchorena,10,null,null,null,null
Zarate,5,null,null,null,null
La Bandera,4,null,null,null,null
Anchorena,3,null,null,null,null
Rivadavia,6,null,null,null,null
Las Heras,9,11.0000,14.0000,null,13.0000
Bulnes,7,null,null,3.0000,5.0000
Zarate Brazo Largo,22,4.0000,3.0000,null,8.0000
Alberdi,0,null,null,null,8.0000
Villa Luro,6,12.0000,13.0000,3.0000,13.0000
AUBASA LP-BA,1,12.0000,24.0000,8.0000,36.0000
Gral Paz Provincia,21,2.0000,11.0000,6.0000,23.0000
San Isidro,21,null,null,4.0000,8.0000
Luis Viale,0,7.0000,2.0000,1.0000,16.0000
Los Incas,11,22.0000,3.0000,null,null
Trelles,19,7.0000,6.0000,7.0000,6.0000
Congreso,11,4.0000,10.0000,null,3.0000
Alsina,22,4.0000,20.0000,null,56.0000
Villa Allende,14,1.0000,null,2.0000,7.0000
Quilmes,11,3.0000,1.0000,4.0000,11.0000
Del Tejar,22,null,null,null,11.0000
