estacion,hora,dia_semana,q_cafes_local_mas_1
Laferrere,3,6,11.0000
Amanecer,1,3,23.0000
Parque Sarmiento,1,4,10.0000
Centenera,22,6,9.0000
Olivos,2,6,20.0000
Luis Viale,12,2,75.0000
Emilio Castro,4,7,33.0000
Maipu,18,5,73.0000
Centenera,16,2,70.0000
Gutierrez,18,1,178.0000
America,5,6,9.0000
Gutierrez,14,1,50.0000
Alsina,21,4,17.0000
Emilio Castro,5,4,26.0000
Los Incas,9,5,1.0000
Ovidio Lagos,5,6,18.0000
Del Tejar,6,7,54.0000
Garay,23,2,54.0000
El Club,5,5,16.0000
Villa Luro,5,5,63.0000
America,12,1,55.0000
Del Tejar,0,5,21.0000
Florencio Varela,0,5,72.0000
Florencio Varela,15,6,54.0000
Las Heras,16,1,31.0000
Santa Fe,21,7,7.0000
Del Tejar,2,6,30.0000
La Carmela,13,6,12.0000
Parque Sarmiento,0,5,19.0000
Santa Rita,14,3,63.0000
Cabildo,8,5,2.0000
Alvear,13,1,92.0000
Villa Luro,21,3,28.0000
Floresta,1,4,12.0000
El Arco,21,5,87.0000
Gral Paz Capital,1,3,50.0000
Las Heras,1,5,12.0000
Buen Ayre,23,2,68.0000
Trelles,5,7,8.0000
Florencio Varela,16,1,50.0000
Fisherton,4,6,19.0000
AUBASA LP-BA,5,2,48.0000
Maschwitz,20,5,
Gutierrez,19,6,73.0000
Dialogos,2,7,40.0000
Florencio Varela,23,5,45.0000
Emilio Castro,17,3,31.0000
Buen Ayre,4,3,25.0000
Fisherton,15,7,103.0000
Garay,7,1,45.0000
Villa Allende,6,5,43.0000
Olivos,23,3,33.0000
Floresta,0,2,13.0000
Alsina,15,3,58.0000
Maschwitz,10,2,
Zarate,10,7,26.0000
Maipu,8,2,24.0000
Garay,19,6,72.0000
La Carmela,6,5,88.0000
El Arco,13,6,57.0000
Boulevard,1,5,17.0000
Quilmes,23,1,34.0000
Boulevard,23,2,4.0000
La Carmela,0,3,4.0000
Trelles,4,7,19.0000
Laferrere,2,6,18.0000
Trelles,12,7,3.0000
Quilmes,22,3,12.0000
Congreso,22,1,21.0000
Santa Fe,17,5,14.0000
OPERADOR LOGISTICO 2,15,3,3749.0000
Maschwitz,13,7,
Boulevard,0,3,8.0000
Trelles,16,2,21.0000
Ovidio Lagos,5,3,10.0000
Santa Fe,13,7,6.0000
Luis Viale,7,1,12.0000
Ovidio Lagos,21,1,24.0000
Zarate,13,3,3.0000
AUBASA LP-BA,4,4,31.0000
Bulnes,8,5,86.0000
Floresta,8,4,23.0000
Ovidio Lagos,20,1,59.0000
Laferrere,3,7,98.0000
Trelles,13,1,10.0000
Las Heras,13,7,18.0000
El Arco,15,1,37.0000
Cabildo,10,1,2.0000
Bulnes,8,1,9.0000
Parque Sarmiento,3,6,6.0000
Las Heras,1,2,15.0000
Maschwitz,5,5,
Luis Viale,20,3,33.0000
AUBASA BA-LP,21,4,41.0000
San Isidro,18,1,93.0000
AUBASA BA-LP,21,1,88.0000
Ovidio Lagos,21,5,15.0000
Bonpland,22,2,27.0000
Santa Rita,3,4,14.0000
Emilio Castro,23,6,7.0000
Congreso,5,4,2.0000
Emilio Castro,23,3,13.0000
Rosario Sur,14,6,
Zarate,3,2,2.0000
Zarate,14,6,10.0000
Cabildo,0,3,14.0000
El Arco,15,7,36.0000
Maschwitz,23,5,
Alsina,21,7,22.0000
Alsina,5,7,29.0000
Las Heras,15,7,17.0000
Bonpland,4,7,86.0000
Maipu,15,3,37.0000
Alberdi,14,6,
Alberdi,8,3,
Trelles,20,6,10.0000
El Club,5,2,22.0000
Santa Rita,4,2,20.0000
La Carmela,4,5,25.0000
Las Heras,21,7,15.0000
Del Tejar,13,4,34.0000
Maschwitz,16,4,
Maschwitz,15,1,
San Isidro,23,5,34.0000
Santa Rita,14,5,67.0000
Quilmes,3,6,11.0000
OPERADOR LOGISTICO 2,7,1,9744.0000
Laferrere,1,2,44.0000
Zarate,14,1,6.0000
Luis Viale,14,5,42.0000
Amanecer,4,6,12.0000
Laferrere,19,4,21.0000
Quilmes,4,3,16.0000
Trelles,22,7,12.0000
Centenera,3,4,
Dialogos,3,3,8.0000
Amanecer,22,4,33.0000
CORS Alem,16,6,
Congreso,3,2,10.0000
Alsina,1,3,8.0000
Santa Fe,14,1,3.0000
Cabildo,18,7,8.0000
Las Heras,22,4,10.0000
Parque Sarmiento,2,6,45.0000
Santa Rita,23,1,20.0000
Maschwitz,7,1,
Centenera,6,2,39.0000
Villa Luro,2,3,23.0000
Centenera,5,4,12.0000
Rivadavia,10,2,
Amanecer,19,7,40.0000
Olivos,21,4,9.0000
Centenera,5,7,8.0000
Maipu,21,6,16.0000
OPERADOR LOGISTICO 2,8,3,8872.0000
Santa Fe,17,3,18.0000
Zarate Brazo Largo,3,3,2.0000
Garay,22,1,19.0000
Emilio Castro,20,5,27.0000
Emilio Castro,2,7,26.0000
Rivadavia,14,3,
Dialogos,3,5,18.0000
San Isidro,21,7,12.0000
Boulevard,3,3,2.0000
Garay,2,2,32.0000
Emilio Castro,22,4,8.0000
San Isidro,0,5,35.0000
Rosario Sur,11,1,
Floresta,4,3,10.0000
Los Incas,16,2,
Laferrere,14,3,23.0000
Olivos,23,5,12.0000
Las Heras,13,3,18.0000
Maipu,3,2,2.0000
Trelles,6,7,19.0000
La Carmela,19,3,10.0000
Olivos,3,6,17.0000
Maschwitz,4,6,
Amanecer,4,2,6.0000
Cabildo,6,7,11.0000
Boulevard,22,2,14.0000
CORS EVENTOS,13,3,
Zarate,12,2,11.0000
Rivadavia,9,1,
Boulevard,2,4,2.0000
Laferrere,12,2,24.0000
Santa Rita,21,4,10.0000
Bulnes,19,7,25.0000
San Isidro,2,3,8.0000
Cabildo,12,5,14.0000
OPERADOR LOGISTICO 2,14,6,5579.0000
San Isidro,22,4,26.0000
Ovidio Lagos,3,4,11.0000
La Bandera,1,4,4.0000
Boulevard,23,3,6.0000
CORS EVENTOS,13,6,
Luis Viale,5,5,6.0000
