estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
Bulnes,15,1.0000,1.0000,11.0000,13.0000
Zarate,12,36.0000,10.0000,25.0000,19.0000
DISC Echeverria,15,null,null,null,2.0000
Villa Allende,19,18.0000,8.0000,74.0000,54.0000
Del Tejar,10,67.0000,6.0000,104.0000,28.0000
Lima,22,91.0000,134.0000,41.0000,128.0000
AUBASA LP-BA,8,362.0000,188.0000,481.0000,280.0000
America,0,3.0000,1.0000,null,10.0000
Zarate Brazo Largo,15,19.0000,3.0000,4.0000,28.0000
Santa Rita,14,null,7.0000,5.0000,57.0000
Dialogos,7,47.0000,21.0000,83.0000,63.0000
Gutierrez,7,40.0000,30.0000,88.0000,49.0000
Lima,18,152.0000,220.0000,158.0000,330.0000
Zarate Brazo Largo,12,19.0000,7.0000,null,49.0000
Alvear,6,88.0000,46.0000,269.0000,90.0000
Villa Luro,18,34.0000,28.0000,170.0000,127.0000
Gutierrez,13,7.0000,4.0000,49.0000,51.0000
Alsina,13,13.0000,7.0000,45.0000,55.0000
Los Incas,21,1.0000,4.0000,null,1.0000
Floresta,23,1.0000,2.0000,1.0000,3.0000
DISC Echeverria,21,null,null,null,1.0000
Quilmes,5,9.0000,11.0000,27.0000,12.0000
Garay,14,7.0000,8.0000,29.0000,52.0000
La Bandera,7,3.0000,1.0000,15.0000,5.0000
Floresta,14,6.0000,8.0000,27.0000,28.0000
Villa Luro,17,44.0000,41.0000,130.0000,130.0000
Boulevard,18,19.0000,17.0000,40.0000,47.0000
Villa Allende,18,7.0000,3.0000,95.0000,44.0000
Amanecer,4,1.0000,1.0000,null,10.0000
Amanecer,9,50.0000,39.0000,null,94.0000
Villa Allende,10,20.0000,12.0000,106.0000,27.0000
AUBASA LP-BA,11,108.0000,120.0000,243.0000,304.0000
Congreso,19,7.0000,19.0000,15.0000,44.0000
Garay,19,8.0000,28.0000,40.0000,76.0000
Zarate Brazo Largo,1,7.0000,3.0000,null,14.0000
Bonpland,2,25.0000,11.0000,24.0000,22.0000
Lima,12,68.0000,144.0000,88.0000,307.0000
Los Incas,4,2.0000,null,null,null
Zarate Brazo Largo,0,6.0000,2.0000,null,21.0000
AUBASA BA-LP,23,14.0000,30.0000,39.0000,80.0000
Cabildo,14,2.0000,6.0000,6.0000,2.0000
Gral Paz Provincia,19,62.0000,43.0000,168.0000,116.0000
Trelles,2,5.0000,8.0000,2.0000,9.0000
Las Heras,6,26.0000,15.0000,7.0000,13.0000
Amanecer,22,null,5.0000,null,11.0000
Florencio Varela,5,1.0000,12.0000,12.0000,24.0000
Las Heras,18,16.0000,3.0000,11.0000,16.0000
Pilar,0,1.0000,6.0000,19.0000,16.0000
Congreso,2,2.0000,13.0000,4.0000,10.0000
Buen Ayre,9,219.0000,86.0000,469.0000,203.0000
Florencio Varela,7,102.0000,42.0000,95.0000,33.0000
America,23,2.0000,3.0000,null,9.0000
Del Tejar,4,5.0000,6.0000,1.0000,2.0000
La Bandera,21,1.0000,null,7.0000,12.0000
Gral Paz Provincia,10,211.0000,127.0000,403.0000,231.0000
Fisherton,5,null,null,null,9.0000
Libertador,16,25.0000,30.0000,172.0000,95.0000
Emilio Castro,0,6.0000,3.0000,5.0000,5.0000
Olivos,10,61.0000,2.0000,147.0000,32.0000
Parque Sarmiento,18,17.0000,47.0000,61.0000,72.0000
Centenera,22,1.0000,null,6.0000,null
Arroyo Seco,1,48.0000,48.0000,53.0000,35.0000
La Carmela,6,54.0000,19.0000,50.0000,49.0000
Gral Paz Capital,2,17.0000,5.0000,null,38.0000
Villa Allende,9,47.0000,19.0000,124.0000,28.0000
Villa Allende,15,3.0000,2.0000,36.0000,29.0000
Lima,16,105.0000,205.0000,125.0000,317.0000
Trelles,3,8.0000,4.0000,7.0000,9.0000
Santa Fe,19,4.0000,null,1.0000,2.0000
Del Tejar,15,28.0000,5.0000,75.0000,39.0000
Villa Allende,17,4.0000,7.0000,93.0000,59.0000
San Isidro,9,107.0000,54.0000,205.0000,129.0000
Maipu,16,11.0000,6.0000,38.0000,52.0000
Alvear,7,97.0000,39.0000,249.0000,103.0000
Pilar,2,5.0000,4.0000,11.0000,4.0000
Buen Ayre,15,29.0000,18.0000,117.0000,108.0000
Arroyo Seco,12,190.0000,238.0000,161.0000,519.0000
La Carmela,9,57.0000,21.0000,85.0000,46.0000
AUBASA BA-LP,0,16.0000,25.0000,45.0000,63.0000
Garay,2,5.0000,10.0000,10.0000,10.0000
Trelles,15,3.0000,10.0000,36.0000,26.0000
Quilmes,7,77.0000,52.0000,130.0000,71.0000
El Club,17,88.0000,39.0000,465.0000,265.0000
Fisherton,17,1.0000,26.0000,null,247.0000
Trelles,14,4.0000,13.0000,47.0000,25.0000
Maipu,8,22.0000,10.0000,71.0000,34.0000
AUBASA BA-LP,15,88.0000,87.0000,333.0000,279.0000
Zarate Brazo Largo,17,23.0000,10.0000,5.0000,45.0000
Santa Rita,1,null,6.0000,2.0000,12.0000
Laferrere,0,10.0000,7.0000,15.0000,18.0000
San Isidro,4,53.0000,18.0000,15.0000,12.0000
Santa Rita,20,6.0000,12.0000,13.0000,38.0000
Parque Sarmiento,21,5.0000,14.0000,10.0000,25.0000
Parque Sarmiento,7,41.0000,29.0000,72.0000,40.0000
Pilar,13,18.0000,4.0000,41.0000,40.0000
Maschwitz,9,null,null,null,20.0000
Fisherton,19,3.0000,11.0000,null,208.0000
America,12,5.0000,13.0000,null,85.0000
Arroyo Seco,6,39.0000,46.0000,40.0000,62.0000
Congreso,13,24.0000,34.0000,25.0000,56.0000
Boulevard,8,14.0000,1.0000,42.0000,25.0000
Congreso,20,10.0000,18.0000,2.0000,16.0000
Congreso,3,6.0000,8.0000,3.0000,10.0000
Zarate Brazo Largo,18,36.0000,15.0000,2.0000,41.0000
Lima,9,103.0000,103.0000,137.0000,152.0000
Santa Rita,6,8.0000,14.0000,14.0000,60.0000
Quilmes,13,12.0000,13.0000,72.0000,53.0000
Los Incas,12,13.0000,2.0000,null,null
El Club,4,7.0000,6.0000,11.0000,13.0000
Trelles,9,19.0000,11.0000,41.0000,28.0000
DISC Caraffa,11,null,4.0000,27.0000,12.0000
Libertador,6,28.0000,20.0000,123.0000,57.0000
Lima,15,91.0000,181.0000,112.0000,325.0000
Ovidio Lagos,20,3.0000,5.0000,7.0000,25.0000
Arroyo Seco,15,146.0000,213.0000,173.0000,502.0000
Gral Paz Provincia,12,59.0000,64.0000,130.0000,108.0000
Los Incas,19,5.0000,5.0000,null,null
Garay,6,24.0000,16.0000,34.0000,28.0000
Bonpland,8,202.0000,77.0000,468.0000,139.0000
Dialogos,10,28.0000,10.0000,118.0000,38.0000
Maipu,22,7.0000,1.0000,6.0000,9.0000
Congreso,12,24.0000,25.0000,35.0000,57.0000
Trelles,20,8.0000,4.0000,16.0000,5.0000
Quilmes,19,10.0000,7.0000,66.0000,28.0000
AUBASA LP-BA,9,282.0000,151.0000,535.0000,304.0000
Fisherton,22,null,1.0000,null,6.0000
San Isidro,10,60.0000,43.0000,171.0000,114.0000
Quilmes,10,55.0000,23.0000,166.0000,52.0000
Garay,9,31.0000,22.0000,71.0000,80.0000
Congreso,15,10.0000,24.0000,26.0000,82.0000
San Isidro,7,103.0000,122.0000,141.0000,115.0000
Dialogos,15,11.0000,2.0000,46.0000,38.0000
AUBASA LP-BA,22,16.0000,32.0000,31.0000,75.0000
Los Incas,6,14.0000,1.0000,null,null
Florencio Varela,15,9.0000,4.0000,31.0000,26.0000
Quilmes,15,21.0000,9.0000,57.0000,50.0000
Alvear,23,9.0000,13.0000,32.0000,38.0000
Maschwitz,16,null,null,null,3.0000
Zarate Brazo Largo,21,29.0000,4.0000,7.0000,11.0000
Buen Ayre,20,26.0000,11.0000,50.0000,46.0000
San Isidro,23,6.0000,1.0000,10.0000,12.0000
Villa Luro,16,44.0000,30.0000,146.0000,104.0000
Alvear,20,10.0000,17.0000,77.0000,70.0000
San Isidro,2,9.0000,5.0000,9.0000,10.0000
La Carmela,23,2.0000,4.0000,8.0000,6.0000
Arroyo Seco,4,25.0000,17.0000,11.0000,12.0000
Del Tejar,12,19.0000,8.0000,73.0000,50.0000
Villa Luro,3,3.0000,4.0000,13.0000,11.0000
Dialogos,23,3.0000,1.0000,3.0000,3.0000
Arroyo Seco,23,69.0000,96.0000,58.0000,91.0000
DISC Echeverria,12,null,null,null,1.0000
Del Tejar,14,25.0000,3.0000,51.0000,39.0000
Villa Luro,4,22.0000,2.0000,16.0000,6.0000
Buen Ayre,3,6.0000,4.0000,5.0000,7.0000
Santa Fe,18,2.0000,1.0000,1.0000,5.0000
Quilmes,12,14.0000,18.0000,107.0000,50.0000
Alvear,2,11.0000,11.0000,28.0000,32.0000
Amanecer,17,14.0000,17.0000,null,79.0000
San Isidro,8,121.0000,52.0000,213.0000,129.0000
Alsina,17,24.0000,3.0000,75.0000,32.0000
Parque Sarmiento,4,3.0000,null,3.0000,1.0000
Bulnes,14,null,null,18.0000,18.0000
Congreso,4,7.0000,5.0000,1.0000,5.0000
Ovidio Lagos,7,1.0000,5.0000,4.0000,9.0000
Cabildo,17,2.0000,6.0000,8.0000,8.0000
Las Heras,10,25.0000,9.0000,11.0000,21.0000
Zarate,19,29.0000,1.0000,10.0000,12.0000
San Isidro,1,9.0000,8.0000,15.0000,17.0000
Emilio Castro,21,2.0000,5.0000,11.0000,10.0000
Centenera,8,56.0000,10.0000,74.0000,29.0000
Bulnes,17,2.0000,3.0000,25.0000,20.0000
Alberdi,18,null,null,null,2.0000
Gutierrez,20,6.0000,null,16.0000,15.0000
Alberdi,6,null,null,null,6.0000
Pilar,7,57.0000,26.0000,40.0000,66.0000
Lima,4,23.0000,41.0000,11.0000,12.0000
Dialogos,1,4.0000,4.0000,null,null
Congreso,18,11.0000,39.0000,38.0000,84.0000
DISC Caraffa,8,1.0000,1.0000,15.0000,8.0000
Zarate,1,7.0000,1.0000,null,null
Disc Panamericana,22,null,null,null,null
Maschwitz,23,null,null,null,null
La Bandera,11,4.0000,1.0000,43.0000,26.0000
Floresta,1,11.0000,5.0000,1.0000,6.0000
Floresta,4,null,5.0000,9.0000,15.0000
DISC Caraffa,16,1.0000,2.0000,13.0000,15.0000
Zarate Brazo Largo,2,6.0000,3.0000,null,12.0000
Gutierrez,10,27.0000,25.0000,88.0000,33.0000
Luis Viale,3,6.0000,4.0000,8.0000,20.0000
AUBASA LP-BA,3,18.0000,23.0000,7.0000,25.0000
America,4,1.0000,3.0000,null,5.0000
Los Incas,2,3.0000,2.0000,null,null
Cabildo,9,14.0000,4.0000,2.0000,5.0000
Quilmes,0,5.0000,6.0000,7.0000,15.0000
Maschwitz,10,null,null,null,9.0000
Quilmes,1,8.0000,11.0000,18.0000,23.0000
Florencio Varela,22,2.0000,1.0000,2.0000,11.0000
Gutierrez,5,4.0000,3.0000,33.0000,3.0000
Alberdi,7,null,null,null,5.0000
DISC Echeverria,5,null,null,null,null
Santa Rita,9,1.0000,13.0000,21.0000,81.0000
Centenera,9,39.0000,8.0000,73.0000,36.0000
Disc Panamericana,1,null,null,null,null
Cabildo,5,2.0000,1.0000,2.0000,null
Alberdi,11,null,null,null,4.0000
Cabildo,22,1.0000,null,1.0000,2.0000
El Arco,7,14.0000,8.0000,21.0000,25.0000
Bulnes,9,9.0000,2.0000,35.0000,21.0000
Bulnes,11,6.0000,null,48.0000,41.0000
Florencio Varela,21,10.0000,2.0000,9.0000,6.0000
Centenera,18,8.0000,9.0000,33.0000,16.0000
Floresta,8,8.0000,23.0000,20.0000,19.0000
Los Incas,3,2.0000,null,null,1.0000
Centenera,1,9.0000,2.0000,6.0000,7.0000
Maschwitz,3,null,null,null,4.0000
Buen Ayre,4,3.0000,1.0000,9.0000,10.0000
Maschwitz,1,null,null,null,2.0000
Floresta,3,3.0000,7.0000,5.0000,13.0000
Centenera,23,2.0000,null,18.0000,5.0000
Gutierrez,4,3.0000,3.0000,9.0000,11.0000
Disc Panamericana,15,null,null,null,6.0000
Amanecer,5,8.0000,3.0000,null,20.0000
Floresta,5,4.0000,5.0000,10.0000,20.0000
Anchorena,13,null,null,null,null
Ovidio Lagos,3,null,3.0000,6.0000,2.0000
Zarate,4,null,null,null,null
Maschwitz,6,null,null,null,2.0000
Disc Panamericana,4,null,null,null,null
Fisherton,4,null,null,null,9.0000
Ovidio Lagos,5,1.0000,2.0000,7.0000,14.0000
DISC Echeverria,7,null,null,null,2.0000
Disc Panamericana,0,null,null,null,null
Alberdi,4,null,null,null,1.0000
Dialogos,5,null,null,3.0000,3.0000
El Arco,5,null,null,null,null
Florencio Varela,4,null,null,null,7.0000
Alberdi,23,null,null,null,null
Anchorena,15,null,null,null,null
Anchorena,5,null,null,null,null
DISC Caraffa,22,null,null,null,null
Disc Panamericana,5,null,null,null,null
Anchorena,2,null,null,null,null
Anchorena,18,null,null,null,null
Anchorena,14,null,null,null,null
Anchorena,1,null,null,null,null
Villa Allende,4,null,null,null,null
Bulnes,22,null,null,null,1.0000
