estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
San Isidro,18,29.0000,40.0000,89.0000,254.0000
Laferrere,6,29.0000,9.0000,59.0000,19.0000
Alvear,12,38.0000,26.0000,130.0000,91.0000
Libertador,10,84.0000,77.0000,177.0000,71.0000
Zarate,16,20.0000,9.0000,18.0000,6.0000
Olivos,5,41.0000,1.0000,30.0000,5.0000
Zarate Brazo Largo,13,25.0000,11.0000,2.0000,35.0000
AUBASA BA-LP,1,13.0000,33.0000,28.0000,62.0000
Santa Rita,8,3.0000,16.0000,30.0000,66.0000
Arroyo Seco,13,183.0000,242.0000,165.0000,562.0000
Arroyo Seco,18,231.0000,267.0000,197.0000,356.0000
Gral Paz Provincia,1,9.0000,19.0000,19.0000,43.0000
El Club,3,5.0000,5.0000,7.0000,25.0000
Santa Rita,12,4.0000,10.0000,12.0000,86.0000
Luis Viale,19,15.0000,14.0000,84.0000,17.0000
Gutierrez,8,53.0000,16.0000,97.0000,37.0000
AUBASA LP-BA,20,50.0000,45.0000,104.0000,92.0000
Maipu,10,23.0000,10.0000,45.0000,34.0000
Los Incas,17,7.0000,1.0000,null,null
Boulevard,16,6.0000,5.0000,29.0000,27.0000
Trelles,1,8.0000,4.0000,3.0000,12.0000
Trelles,6,11.0000,8.0000,21.0000,8.0000
Florencio Varela,11,19.0000,16.0000,105.0000,47.0000
Zarate Brazo Largo,16,19.0000,6.0000,3.0000,39.0000
Florencio Varela,2,2.0000,3.0000,4.0000,10.0000
Amanecer,18,15.0000,13.0000,null,83.0000
Santa Rita,23,null,5.0000,null,14.0000
DISC Caraffa,13,null,1.0000,21.0000,21.0000
Libertador,15,12.0000,27.0000,91.0000,67.0000
Alvear,11,40.0000,24.0000,150.0000,82.0000
DISC Echeverria,18,null,null,null,2.0000
El Club,6,91.0000,32.0000,150.0000,55.0000
El Club,13,24.0000,22.0000,104.0000,164.0000
Luis Viale,14,13.0000,10.0000,76.0000,32.0000
Luis Viale,6,8.0000,28.0000,33.0000,17.0000
Zarate,11,35.0000,13.0000,36.0000,16.0000
Fisherton,16,6.0000,13.0000,null,152.0000
Santa Rita,5,null,11.0000,5.0000,20.0000
AUBASA BA-LP,14,49.0000,82.0000,178.0000,233.0000
AUBASA BA-LP,11,192.0000,164.0000,250.0000,295.0000
Bonpland,7,160.0000,56.0000,285.0000,78.0000
Floresta,22,3.0000,1.0000,9.0000,3.0000
La Carmela,17,22.0000,15.0000,33.0000,27.0000
Luis Viale,10,20.0000,37.0000,78.0000,36.0000
Amanecer,21,1.0000,1.0000,null,25.0000
Bonpland,4,19.0000,10.0000,38.0000,27.0000
Floresta,10,14.0000,33.0000,25.0000,30.0000
Maipu,23,7.0000,null,2.0000,17.0000
