estacion,hora,dia_semana,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Floresta,9,7,84.0000,169.0000,23.0000,61.0000,76.0000,93.0000
San Isidro,1,1,24.0000,89.0000,10.0000,14.0000,18.0000,71.0000
Congreso,3,1,43.0000,53.0000,11.0000,32.0000,12.0000,41.0000
Garay,5,5,61.0000,66.0000,38.0000,23.0000,32.0000,34.0000
Villa Allende,1,6,3.0000,9.0000,,3.0000,3.0000,6.0000
Trelles,23,4,11.0000,25.0000,4.0000,7.0000,8.0000,17.0000
Pilar,10,5,104.0000,343.0000,81.0000,23.0000,180.0000,163.0000
Amanecer,13,5,51.0000,123.0000,26.0000,25.0000,41.0000,82.0000
Santa Rita,15,5,53.0000,170.0000,19.0000,34.0000,57.0000,113.0000
CORS Alem,17,5,121.0000,,67.0000,54.0000,,
Gral Paz Provincia,5,6,298.0000,205.0000,107.0000,191.0000,59.0000,146.0000
Parque Sarmiento,11,6,65.0000,220.0000,30.0000,35.0000,67.0000,153.0000
Amanecer,16,6,64.0000,218.0000,29.0000,35.0000,69.0000,149.0000
Florencio Varela,21,6,19.0000,40.0000,4.0000,15.0000,21.0000,19.0000
Parque Sarmiento,1,7,21.0000,40.0000,13.0000,8.0000,7.0000,33.0000
La Bandera,19,7,34.0000,194.0000,14.0000,20.0000,32.0000,162.0000
Quilmes,1,1,23.0000,45.0000,,23.0000,19.0000,26.0000
Amanecer,12,1,72.0000,95.0000,26.0000,46.0000,31.0000,64.0000
Laferrere,19,1,31.0000,78.0000,16.0000,15.0000,28.0000,50.0000
Garay,15,2,40.0000,208.0000,16.0000,24.0000,43.0000,165.0000
Quilmes,19,2,30.0000,107.0000,10.0000,20.0000,37.0000,70.0000
America,23,2,14.0000,45.0000,3.0000,11.0000,11.0000,34.0000
Congreso,23,3,12.0000,44.0000,4.0000,8.0000,9.0000,35.0000
America,2,4,12.0000,27.0000,5.0000,7.0000,7.0000,20.0000
Rosario Sur,23,4,4.0000,,1.0000,3.0000,,
