estacion,hora,dia_semana,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Trelles,13,2,30.0000,83.0000,8.0000,22.0000,30.0000,53.0000
Rosario Sur,18,3,12.0000,,5.0000,7.0000,,
Villa Allende,1,7,7.0000,13.0000,,7.0000,1.0000,12.0000
Bulnes,6,1,4.0000,3.0000,1.0000,3.0000,1.0000,2.0000
Emilio Castro,3,6,33.0000,19.0000,26.0000,7.0000,8.0000,11.0000
America,1,5,22.0000,58.0000,2.0000,20.0000,8.0000,50.0000
Anchorena,7,1,,,,,,
Del Tejar,4,3,15.0000,45.0000,12.0000,3.0000,13.0000,32.0000
Floresta,23,4,10.0000,31.0000,7.0000,3.0000,6.0000,25.0000
El Arco,3,6,20.0000,13.0000,4.0000,16.0000,3.0000,10.0000
Arroyo Seco,8,7,1715.0000,2941.0000,1100.0000,615.0000,1680.0000,1261.0000
Quilmes,12,7,46.0000,132.0000,6.0000,40.0000,51.0000,81.0000
Gral Paz Provincia,14,7,123.0000,185.0000,49.0000,74.0000,39.0000,146.0000
Parque Sarmiento,2,1,23.0000,41.0000,15.0000,8.0000,12.0000,29.0000
Garay,3,1,31.0000,62.0000,16.0000,15.0000,16.0000,46.0000
Alberdi,13,1,6.0000,,4.0000,2.0000,,
Villa Luro,15,1,48.0000,131.0000,19.0000,29.0000,28.0000,103.0000
Cabildo,18,2,19.0000,33.0000,8.0000,11.0000,10.0000,23.0000
Emilio Castro,4,4,73.0000,50.0000,64.0000,9.0000,11.0000,39.0000
El Arco,7,4,257.0000,304.0000,131.0000,126.0000,114.0000,190.0000
Zarate Brazo Largo,10,4,161.0000,260.0000,94.0000,67.0000,106.0000,154.0000
Bulnes,9,5,72.0000,232.0000,29.0000,43.0000,57.0000,175.0000
Luis Viale,22,5,23.0000,61.0000,12.0000,11.0000,10.0000,51.0000
Cabildo,1,7,10.0000,10.0000,6.0000,4.0000,1.0000,9.0000
Zarate Brazo Largo,5,7,178.0000,97.0000,95.0000,83.0000,58.0000,39.0000
Rivadavia,18,7,,,,,,
Maschwitz,22,7,4.0000,,2.0000,2.0000,,
Parque Sarmiento,15,2,34.0000,146.0000,12.0000,22.0000,25.0000,121.0000
Villa Luro,16,3,82.0000,310.0000,39.0000,43.0000,90.0000,220.0000
El Club,16,5,150.0000,585.0000,60.0000,90.0000,174.0000,411.0000
Anchorena,5,1,,,,,,
Mitre,17,3,,,,,,
Centenera,0,4,4.0000,13.0000,1.0000,3.0000,5.0000,8.0000
Alvear,1,4,28.0000,132.0000,12.0000,16.0000,38.0000,94.0000
AUBASA BA-LP,18,1,336.0000,576.0000,127.0000,209.0000,215.0000,361.0000
Quilmes,6,3,96.0000,102.0000,13.0000,83.0000,37.0000,65.0000
Los Incas,16,1,19.0000,1.0000,7.0000,12.0000,1.0000,
America,4,7,30.0000,53.0000,12.0000,18.0000,15.0000,38.0000
El Club,1,5,20.0000,81.0000,8.0000,12.0000,14.0000,67.0000
Anchorena,8,4,,,,,,
Villa Luro,2,4,31.0000,37.0000,14.0000,17.0000,10.0000,27.0000
Gral Paz Capital,7,4,491.0000,421.0000,300.0000,191.0000,168.0000,253.0000
Buen Ayre,9,4,1271.0000,1592.0000,704.0000,567.0000,747.0000,845.0000
Amanecer,14,4,37.0000,127.0000,18.0000,19.0000,36.0000,91.0000
Santa Rita,7,5,138.0000,248.0000,79.0000,59.0000,144.0000,104.0000
La Bandera,9,5,109.0000,532.0000,49.0000,60.0000,184.0000,348.0000
Centenera,20,5,18.0000,35.0000,11.0000,7.0000,18.0000,17.0000
Gral Paz Capital,7,6,604.0000,495.0000,390.0000,214.0000,175.0000,320.0000
Bonpland,17,6,107.0000,355.0000,59.0000,48.0000,124.0000,231.0000
Pilar,19,7,55.0000,75.0000,38.0000,17.0000,34.0000,41.0000
Emilio Castro,4,1,27.0000,28.0000,10.0000,17.0000,8.0000,20.0000
Buen Ayre,9,1,577.0000,924.0000,343.0000,234.0000,471.0000,453.0000
El Arco,14,1,22.0000,45.0000,9.0000,13.0000,17.0000,28.0000
Bonpland,17,1,58.0000,245.0000,33.0000,25.0000,67.0000,178.0000
La Carmela,20,1,39.0000,48.0000,18.0000,21.0000,13.0000,35.0000
San Isidro,8,2,255.0000,373.0000,125.0000,130.0000,142.0000,231.0000
San Isidro,21,2,14.0000,27.0000,3.0000,11.0000,4.0000,23.0000
Del Tejar,0,3,14.0000,32.0000,9.0000,5.0000,6.0000,26.0000
AUBASA BA-LP,12,6,316.0000,372.0000,116.0000,200.0000,139.0000,233.0000
Zarate Brazo Largo,6,7,269.0000,321.0000,155.0000,114.0000,169.0000,152.0000
Lima,21,7,204.0000,155.0000,79.0000,125.0000,56.0000,99.0000
Congreso,4,1,23.0000,31.0000,12.0000,11.0000,9.0000,22.0000
Zarate Brazo Largo,7,1,176.0000,228.0000,90.0000,86.0000,114.0000,114.0000
Florencio Varela,13,2,36.0000,122.0000,12.0000,24.0000,48.0000,74.0000
Del Tejar,12,3,35.0000,209.0000,26.0000,9.0000,102.0000,107.0000
Rosario Sur,14,5,8.0000,,3.0000,5.0000,,
Dialogos,7,6,163.0000,360.0000,131.0000,32.0000,187.0000,173.0000
Florencio Varela,13,6,25.0000,120.0000,14.0000,11.0000,43.0000,77.0000
Olivos,14,6,41.0000,91.0000,36.0000,5.0000,26.0000,65.0000
Alberdi,20,7,9.0000,,6.0000,3.0000,,
Del Tejar,7,1,54.0000,148.0000,39.0000,15.0000,78.0000,70.0000
Los Incas,11,3,75.0000,8.0000,35.0000,40.0000,2.0000,6.0000
Floresta,22,3,7.0000,20.0000,1.0000,6.0000,4.0000,16.0000
Dialogos,4,6,25.0000,35.0000,18.0000,7.0000,21.0000,14.0000
Floresta,15,6,19.0000,63.0000,8.0000,11.0000,17.0000,46.0000
Los Incas,12,2,36.0000,10.0000,19.0000,17.0000,,10.0000
San Isidro,18,2,100.0000,322.0000,48.0000,52.0000,106.0000,216.0000
Alvear,6,3,252.0000,723.0000,142.0000,110.0000,303.0000,420.0000
Maipu,18,1,24.0000,68.0000,22.0000,2.0000,20.0000,48.0000
Rosario Sur,10,4,19.0000,,9.0000,10.0000,,
Los Incas,13,5,23.0000,3.0000,7.0000,16.0000,,3.0000
AUBASA LP-BA,0,7,139.0000,88.0000,65.0000,74.0000,24.0000,64.0000
Dialogos,6,3,132.0000,137.0000,106.0000,26.0000,86.0000,51.0000
Boulevard,5,1,13.0000,29.0000,11.0000,2.0000,28.0000,1.0000
Los Incas,5,4,51.0000,,30.0000,21.0000,,
Zarate,3,3,11.0000,3.0000,4.0000,7.0000,,3.0000
Villa Allende,5,4,4.0000,10.0000,1.0000,3.0000,2.0000,8.0000
Villa Allende,4,2,,,,,,
CORS Alem,19,4,12.0000,,5.0000,7.0000,,
Mitre,3,3,,,,,,
OPERADOR LOGISTICO,14,4,,1606.0000,,,,1606.0000
CORS EVENTOS,20,2,1.0000,,,1.0000,,
CORS Alem,19,3,,,,,,
CORS EVENTOS,14,5,,,,,,
OPERADOR LOGISTICO 2,11,4,,21237.0000,,,,21237.0000
OPERADOR LOGISTICO 2,18,5,,3300.0000,,,,3300.0000
OPERADOR LOGISTICO,18,5,,1600.0000,,,,1600.0000
CORS Alem,19,5,4.0000,,2.0000,2.0000,,
CORS EVENTOS,21,1,,,,,,
CASTROL MELI,15,2,,,,,,
CASTROL MELI,9,4,,,,,,
CORS Alem,4,5,,,,,,
AUBASA BA-LP,14,4,202.0000,260.0000,78.0000,124.0000,56.0000,204.0000
La Bandera,9,6,104.0000,536.0000,34.0000,70.0000,209.0000,327.0000
Quilmes,19,6,33.0000,119.0000,13.0000,20.0000,35.0000,84.0000
Gral Paz Provincia,6,7,448.0000,511.0000,268.0000,180.0000,279.0000,232.0000
Ovidio Lagos,8,7,90.0000,210.0000,27.0000,63.0000,87.0000,123.0000
Pilar,8,7,323.0000,299.0000,198.0000,125.0000,139.0000,160.0000
Gral Paz Provincia,20,7,105.0000,225.0000,42.0000,63.0000,82.0000,143.0000
Gral Paz Provincia,14,1,69.0000,105.0000,26.0000,43.0000,29.0000,76.0000
Gral Paz Provincia,9,2,481.0000,684.0000,277.0000,204.0000,296.0000,388.0000
Centenera,13,2,25.0000,70.0000,8.0000,17.0000,21.0000,49.0000
El Arco,15,2,25.0000,128.0000,6.0000,19.0000,24.0000,104.0000
America,20,2,15.0000,99.0000,6.0000,9.0000,25.0000,74.0000
CORS Alem,14,3,70.0000,,31.0000,39.0000,,
Centenera,8,4,167.0000,227.0000,102.0000,65.0000,74.0000,153.0000
Gral Paz Provincia,10,4,429.0000,726.0000,233.0000,196.0000,240.0000,486.0000
La Carmela,12,4,28.0000,41.0000,15.0000,13.0000,8.0000,33.0000
Garay,13,4,31.0000,147.0000,15.0000,16.0000,51.0000,96.0000
La Bandera,16,4,23.0000,285.0000,8.0000,15.0000,52.0000,233.0000
Parque Sarmiento,19,4,39.0000,122.0000,21.0000,18.0000,25.0000,97.0000
Lima,11,5,647.0000,991.0000,292.0000,355.0000,334.0000,657.0000
Del Tejar,1,6,18.0000,63.0000,14.0000,4.0000,22.0000,41.0000
Villa Luro,5,6,96.0000,199.0000,49.0000,47.0000,103.0000,96.0000
Trelles,6,6,103.0000,125.0000,50.0000,53.0000,40.0000,85.0000
Lima,0,7,192.0000,177.0000,68.0000,124.0000,56.0000,121.0000
Zarate Brazo Largo,10,7,302.0000,411.0000,161.0000,141.0000,194.0000,217.0000
Zarate,17,2,34.0000,29.0000,12.0000,22.0000,17.0000,12.0000
Buen Ayre,20,3,116.0000,175.0000,60.0000,56.0000,74.0000,101.0000
America,7,4,216.0000,373.0000,110.0000,106.0000,141.0000,232.0000
Laferrere,17,4,12.0000,77.0000,6.0000,6.0000,21.0000,56.0000
Villa Allende,21,5,20.0000,44.0000,1.0000,19.0000,5.0000,39.0000
Zarate,0,1,23.0000,5.0000,15.0000,8.0000,,5.0000
Dialogos,2,1,24.0000,49.0000,16.0000,8.0000,21.0000,28.0000
Arroyo Seco,9,3,1305.0000,2072.0000,779.0000,526.0000,1056.0000,1016.0000
Mitre,23,3,,,,,,
Gutierrez,4,4,62.0000,45.0000,25.0000,37.0000,29.0000,16.0000
Mitre,7,6,,,,,,
Olivos,20,7,5.0000,51.0000,4.0000,1.0000,25.0000,26.0000
San Isidro,8,7,188.0000,460.0000,95.0000,93.0000,200.0000,260.0000
Luis Viale,10,4,56.0000,283.0000,40.0000,16.0000,78.0000,205.0000
Maipu,10,1,59.0000,66.0000,57.0000,2.0000,23.0000,43.0000
Pilar,4,4,55.0000,50.0000,24.0000,31.0000,15.0000,35.0000
Quilmes,2,3,18.0000,16.0000,1.0000,17.0000,8.0000,8.0000
Los Incas,1,5,7.0000,,3.0000,4.0000,,
Bulnes,1,5,,,,,,
Las Heras,9,4,123.0000,239.0000,54.0000,69.0000,40.0000,199.0000
America,12,4,26.0000,170.0000,16.0000,10.0000,48.0000,122.0000
America,0,5,13.0000,71.0000,3.0000,10.0000,12.0000,59.0000
Buen Ayre,10,5,879.0000,1428.0000,458.0000,421.0000,569.0000,859.0000
Alsina,7,6,137.0000,144.0000,94.0000,43.0000,58.0000,86.0000
Florencio Varela,23,6,25.0000,42.0000,,25.0000,22.0000,20.0000
Florencio Varela,11,7,81.0000,259.0000,42.0000,39.0000,125.0000,134.0000
Gral Paz Capital,15,7,121.0000,183.0000,34.0000,87.0000,46.0000,137.0000
Boulevard,18,7,36.0000,221.0000,14.0000,22.0000,64.0000,157.0000
Bulnes,23,7,,,,,,
AUBASA BA-LP,23,7,79.0000,164.0000,28.0000,51.0000,41.0000,123.0000
Luis Viale,13,2,19.0000,131.0000,11.0000,8.0000,43.0000,88.0000
Parque Sarmiento,16,2,68.0000,227.0000,32.0000,36.0000,45.0000,182.0000
Ovidio Lagos,20,2,8.0000,83.0000,1.0000,7.0000,4.0000,79.0000
Luis Viale,22,2,24.0000,35.0000,5.0000,19.0000,6.0000,29.0000
Bonpland,12,3,60.0000,292.0000,30.0000,30.0000,79.0000,213.0000
La Bandera,18,3,28.0000,389.0000,11.0000,17.0000,101.0000,288.0000
AUBASA BA-LP,20,3,121.0000,117.0000,48.0000,73.0000,38.0000,79.0000
Bonpland,0,4,38.0000,62.0000,13.0000,25.0000,9.0000,53.0000
Centenera,10,4,94.0000,180.0000,51.0000,43.0000,60.0000,120.0000
Los Incas,7,5,160.0000,6.0000,82.0000,78.0000,,6.0000
Garay,2,7,10.0000,43.0000,4.0000,6.0000,11.0000,32.0000
Emilio Castro,6,7,107.0000,64.0000,55.0000,52.0000,38.0000,26.0000
Quilmes,12,1,30.0000,70.0000,6.0000,24.0000,29.0000,41.0000
Laferrere,22,1,8.0000,17.0000,3.0000,5.0000,5.0000,12.0000
AUBASA BA-LP,2,2,81.0000,64.0000,26.0000,55.0000,19.0000,45.0000
Rosario Sur,19,2,2.0000,,1.0000,1.0000,,
Anchorena,8,3,,,,,,
CORS Alem,9,5,619.0000,,354.0000,265.0000,,
Trelles,23,5,10.0000,21.0000,4.0000,6.0000,4.0000,17.0000
El Arco,16,1,38.0000,88.0000,10.0000,28.0000,13.0000,75.0000
Arroyo Seco,5,3,528.0000,263.0000,309.0000,219.0000,161.0000,102.0000
Bonpland,23,3,24.0000,59.0000,11.0000,13.0000,15.0000,44.0000
Quilmes,2,2,11.0000,25.0000,4.0000,7.0000,8.0000,17.0000
Parque Sarmiento,14,4,49.0000,158.0000,28.0000,21.0000,28.0000,130.0000
Los Incas,6,2,73.0000,4.0000,21.0000,52.0000,,4.0000
Bonpland,5,5,68.0000,136.0000,22.0000,46.0000,57.0000,79.0000
Santa Fe,3,7,,,,,,
America,2,5,10.0000,25.0000,2.0000,8.0000,6.0000,19.0000
El Arco,17,4,56.0000,253.0000,32.0000,24.0000,59.0000,194.0000
La Carmela,7,5,191.0000,193.0000,120.0000,71.0000,99.0000,94.0000
America,12,5,43.0000,214.0000,29.0000,14.0000,59.0000,155.0000
Zarate,22,5,12.0000,6.0000,4.0000,8.0000,3.0000,3.0000
AUBASA BA-LP,0,6,122.0000,121.0000,47.0000,75.0000,48.0000,73.0000
La Bandera,10,6,87.0000,537.0000,47.0000,40.0000,165.0000,372.0000
Anchorena,16,6,,,,,,
Maschwitz,23,6,5.0000,,3.0000,2.0000,,
Zarate,3,1,53.0000,23.0000,28.0000,25.0000,11.0000,12.0000
Gral Paz Provincia,4,1,160.0000,292.0000,85.0000,75.0000,126.0000,166.0000
Maschwitz,6,1,50.0000,,32.0000,18.0000,,
Trelles,18,1,33.0000,82.0000,16.0000,17.0000,21.0000,61.0000
Gutierrez,21,1,21.0000,49.0000,8.0000,13.0000,20.0000,29.0000
Cabildo,22,1,2.0000,9.0000,2.0000,,2.0000,7.0000
Arroyo Seco,7,3,1333.0000,1528.0000,790.0000,543.0000,804.0000,724.0000
Quilmes,17,3,48.0000,229.0000,10.0000,38.0000,86.0000,143.0000
Rosario Sur,20,3,6.0000,,2.0000,4.0000,,
Garay,8,4,171.0000,461.0000,95.0000,76.0000,158.0000,303.0000
Villa Allende,11,4,65.0000,343.0000,3.0000,62.0000,59.0000,284.0000
AUBASA BA-LP,11,4,441.0000,679.0000,196.0000,245.0000,285.0000,394.0000
Pilar,19,4,40.0000,108.0000,26.0000,14.0000,55.0000,53.0000
Pilar,0,5,15.0000,30.0000,4.0000,11.0000,11.0000,19.0000
Luis Viale,11,5,43.0000,249.0000,26.0000,17.0000,63.0000,186.0000
La Bandera,20,5,8.0000,97.0000,4.0000,4.0000,15.0000,82.0000
Villa Allende,23,5,4.0000,21.0000,2.0000,2.0000,3.0000,18.0000
Las Heras,22,6,22.0000,31.0000,4.0000,18.0000,10.0000,21.0000
El Club,17,2,175.0000,658.0000,69.0000,106.0000,244.0000,414.0000
Parque Sarmiento,22,3,13.0000,33.0000,5.0000,8.0000,3.0000,30.0000
La Bandera,10,4,63.0000,550.0000,30.0000,33.0000,173.0000,377.0000
Del Tejar,6,5,102.0000,231.0000,81.0000,21.0000,63.0000,168.0000
Gral Paz Provincia,3,7,115.0000,213.0000,60.0000,55.0000,76.0000,137.0000
Los Incas,12,7,26.0000,4.0000,12.0000,14.0000,,4.0000
Zarate,20,2,8.0000,8.0000,6.0000,2.0000,2.0000,6.0000
Luis Viale,1,7,35.0000,44.0000,12.0000,23.0000,6.0000,38.0000
San Isidro,2,2,25.0000,15.0000,14.0000,11.0000,10.0000,5.0000
Mitre,8,3,,,,,,
Pilar,7,1,68.0000,180.0000,46.0000,22.0000,107.0000,73.0000
Fisherton,17,7,54.0000,477.0000,13.0000,41.0000,7.0000,470.0000
Del Tejar,5,7,38.0000,74.0000,30.0000,8.0000,31.0000,43.0000
Gutierrez,2,4,33.0000,37.0000,12.0000,21.0000,17.0000,20.0000
Anchorena,1,1,,,,,,
Rivadavia,0,6,1.0000,,1.0000,,,
Floresta,2,4,9.0000,31.0000,3.0000,6.0000,13.0000,18.0000
CASTROL MELI,0,2,,,,,,
Amanecer,3,4,34.0000,15.0000,4.0000,30.0000,5.0000,10.0000
La Bandera,3,6,,6.0000,,,3.0000,3.0000
La Carmela,8,4,192.0000,186.0000,138.0000,54.0000,99.0000,87.0000
Dialogos,19,4,45.0000,85.0000,32.0000,13.0000,65.0000,20.0000
La Carmela,21,4,8.0000,13.0000,5.0000,3.0000,3.0000,10.0000
Fisherton,11,5,72.0000,632.0000,30.0000,42.0000,12.0000,620.0000
La Bandera,23,5,3.0000,19.0000,,3.0000,4.0000,15.0000
Floresta,23,5,6.0000,26.0000,4.0000,2.0000,8.0000,18.0000
Alberdi,11,6,29.0000,,15.0000,14.0000,,
Buen Ayre,17,6,507.0000,1071.0000,232.0000,275.0000,429.0000,642.0000
Dialogos,19,6,31.0000,110.0000,28.0000,3.0000,60.0000,50.0000
Olivos,13,7,19.0000,81.0000,12.0000,7.0000,51.0000,30.0000
Santa Rita,5,1,57.0000,77.0000,49.0000,8.0000,56.0000,21.0000
Garay,6,1,73.0000,140.0000,50.0000,23.0000,42.0000,98.0000
Pilar,6,2,119.0000,68.0000,77.0000,42.0000,41.0000,27.0000
Alsina,10,2,89.0000,273.0000,56.0000,33.0000,95.0000,178.0000
El Arco,11,2,123.0000,381.0000,55.0000,68.0000,125.0000,256.0000
Ovidio Lagos,13,2,8.0000,152.0000,2.0000,6.0000,16.0000,136.0000
Zarate Brazo Largo,17,2,113.0000,105.0000,54.0000,59.0000,41.0000,64.0000
Bonpland,13,3,40.0000,235.0000,16.0000,24.0000,74.0000,161.0000
Dialogos,19,3,53.0000,96.0000,37.0000,16.0000,58.0000,38.0000
Del Tejar,13,5,27.0000,140.0000,21.0000,6.0000,55.0000,85.0000
El Arco,19,5,65.0000,256.0000,25.0000,40.0000,90.0000,166.0000
Los Incas,7,6,182.0000,8.0000,97.0000,85.0000,2.0000,6.0000
Fisherton,13,7,36.0000,211.0000,14.0000,22.0000,10.0000,201.0000
Las Heras,17,1,57.0000,102.0000,14.0000,43.0000,34.0000,68.0000
Dialogos,12,3,52.0000,59.0000,48.0000,4.0000,30.0000,29.0000
La Bandera,6,4,37.0000,96.0000,20.0000,17.0000,44.0000,52.0000
Quilmes,2,5,16.0000,14.0000,,16.0000,3.0000,11.0000
Laferrere,13,5,8.0000,34.0000,3.0000,5.0000,9.0000,25.0000
Amanecer,18,7,53.0000,153.0000,19.0000,34.0000,49.0000,104.0000
Emilio Castro,1,1,42.0000,18.0000,6.0000,36.0000,7.0000,11.0000
AUBASA BA-LP,5,3,195.0000,105.0000,90.0000,105.0000,43.0000,62.0000
Santa Fe,1,3,,,,,,
Cabildo,15,1,10.0000,7.0000,7.0000,3.0000,3.0000,4.0000
Las Heras,1,4,28.0000,15.0000,7.0000,21.0000,3.0000,12.0000
Alvear,4,6,40.0000,89.0000,23.0000,17.0000,34.0000,55.0000
Alvear,3,6,52.0000,90.0000,23.0000,29.0000,25.0000,65.0000
Rosario Sur,0,6,5.0000,,,5.0000,,
Trelles,2,2,10.0000,22.0000,6.0000,4.0000,5.0000,17.0000
Dialogos,21,4,20.0000,40.0000,15.0000,5.0000,21.0000,19.0000
Laferrere,0,6,12.0000,26.0000,8.0000,4.0000,9.0000,17.0000
Bonpland,3,6,23.0000,87.0000,16.0000,7.0000,36.0000,51.0000
Zarate Brazo Largo,11,6,158.0000,271.0000,70.0000,88.0000,102.0000,169.0000
Luis Viale,14,6,29.0000,165.0000,13.0000,16.0000,26.0000,139.0000
AUBASA LP-BA,18,6,340.0000,530.0000,155.0000,185.0000,213.0000,317.0000
Bonpland,5,7,73.0000,173.0000,44.0000,29.0000,76.0000,97.0000
Garay,14,7,46.0000,127.0000,15.0000,31.0000,20.0000,107.0000
Bulnes,15,7,7.0000,31.0000,2.0000,5.0000,3.0000,28.0000
Santa Fe,17,7,16.0000,26.0000,6.0000,10.0000,3.0000,23.0000
Buen Ayre,23,7,58.0000,143.0000,16.0000,42.0000,29.0000,114.0000
Buen Ayre,6,1,287.0000,305.0000,172.0000,115.0000,173.0000,132.0000
Gral Paz Capital,8,1,452.0000,443.0000,287.0000,165.0000,202.0000,241.0000
Olivos,11,2,51.0000,152.0000,26.0000,25.0000,60.0000,92.0000
Alsina,16,2,41.0000,107.0000,11.0000,30.0000,25.0000,82.0000
La Carmela,20,2,23.0000,32.0000,12.0000,11.0000,14.0000,18.0000
Floresta,11,3,39.0000,142.0000,6.0000,33.0000,60.0000,82.0000
Bonpland,15,3,59.0000,259.0000,17.0000,42.0000,51.0000,208.0000
Centenera,18,3,35.0000,92.0000,23.0000,12.0000,30.0000,62.0000
Bulnes,9,4,61.0000,248.0000,24.0000,37.0000,56.0000,192.0000
Congreso,19,4,54.0000,150.0000,14.0000,40.0000,29.0000,121.0000
AUBASA BA-LP,1,5,76.0000,108.0000,27.0000,49.0000,32.0000,76.0000
Maipu,20,5,12.0000,53.0000,12.0000,,11.0000,42.0000
Alberdi,22,5,5.0000,,3.0000,2.0000,,
Los Incas,13,6,31.0000,4.0000,12.0000,19.0000,,4.0000
Buen Ayre,3,7,82.0000,68.0000,35.0000,47.0000,29.0000,39.0000
Los Incas,4,7,10.0000,,3.0000,7.0000,,
Pilar,4,7,56.0000,34.0000,28.0000,28.0000,16.0000,18.0000
Cabildo,15,7,12.0000,30.0000,4.0000,8.0000,8.0000,22.0000
Maipu,15,7,15.0000,60.0000,15.0000,,17.0000,43.0000
Santa Fe,20,1,8.0000,7.0000,6.0000,2.0000,2.0000,5.0000
Gral Paz Capital,22,2,38.0000,68.0000,11.0000,27.0000,22.0000,46.0000
El Club,7,3,253.0000,624.0000,123.0000,130.0000,276.0000,348.0000
Villa Allende,10,3,129.0000,479.0000,17.0000,112.0000,99.0000,380.0000
Zarate Brazo Largo,11,3,72.0000,184.0000,29.0000,43.0000,80.0000,104.0000
America,4,4,25.0000,68.0000,12.0000,13.0000,5.0000,63.0000
Garay,16,4,66.0000,248.0000,27.0000,39.0000,61.0000,187.0000
Trelles,1,5,14.0000,11.0000,8.0000,6.0000,3.0000,8.0000
Las Heras,17,5,62.0000,166.0000,25.0000,37.0000,43.0000,123.0000
Pilar,19,5,29.0000,94.0000,26.0000,3.0000,42.0000,52.0000
Centenera,5,1,44.0000,41.0000,23.0000,21.0000,15.0000,26.0000
Dialogos,6,1,80.0000,216.0000,66.0000,14.0000,147.0000,69.0000
CORS Alem,12,2,56.0000,,30.0000,26.0000,,
Bulnes,15,2,10.0000,85.0000,,10.0000,9.0000,76.0000
Amanecer,13,3,43.0000,134.0000,26.0000,17.0000,28.0000,106.0000
Mitre,5,5,,,,,,
Mitre,7,4,,,,,,
Del Tejar,5,6,26.0000,69.0000,19.0000,7.0000,35.0000,34.0000
Maipu,5,4,54.0000,50.0000,49.0000,5.0000,20.0000,30.0000
Luis Viale,16,1,21.0000,136.0000,4.0000,17.0000,16.0000,120.0000
Amanecer,8,1,104.0000,135.0000,53.0000,51.0000,76.0000,59.0000
Santa Fe,23,4,,,,,,
Cabildo,3,7,8.0000,8.0000,5.0000,3.0000,7.0000,1.0000
Anchorena,2,2,,,,,,
Alberdi,22,4,,,,,,
Villa Allende,22,4,4.0000,5.0000,,4.0000,1.0000,4.0000
Arroyo Seco,3,6,261.0000,197.0000,147.0000,114.0000,96.0000,101.0000
Florencio Varela,14,6,35.0000,96.0000,13.0000,22.0000,44.0000,52.0000
Del Tejar,20,6,15.0000,78.0000,8.0000,7.0000,23.0000,55.0000
Parque Sarmiento,21,6,10.0000,56.0000,4.0000,6.0000,12.0000,44.0000
El Club,21,6,40.0000,143.0000,17.0000,23.0000,57.0000,86.0000
Fisherton,12,7,59.0000,531.0000,17.0000,42.0000,8.0000,523.0000
Mitre,18,7,,,,,,
El Arco,23,7,19.0000,59.0000,6.0000,13.0000,11.0000,48.0000
Pilar,2,1,22.0000,35.0000,14.0000,8.0000,12.0000,23.0000
Dialogos,9,1,60.0000,125.0000,46.0000,14.0000,73.0000,52.0000
Parque Sarmiento,11,1,74.0000,184.0000,37.0000,37.0000,64.0000,120.0000
Dialogos,4,2,22.0000,24.0000,15.0000,7.0000,19.0000,5.0000
Gral Paz Capital,6,2,385.0000,286.0000,258.0000,127.0000,126.0000,160.0000
Amanecer,7,2,209.0000,190.0000,113.0000,96.0000,82.0000,108.0000
Florencio Varela,20,2,31.0000,76.0000,12.0000,19.0000,36.0000,40.0000
Pilar,22,2,15.0000,23.0000,8.0000,7.0000,8.0000,15.0000
Alvear,17,3,104.0000,577.0000,48.0000,56.0000,190.0000,387.0000
Ovidio Lagos,19,4,9.0000,155.0000,2.0000,7.0000,16.0000,139.0000
Parque Sarmiento,22,5,9.0000,35.0000,4.0000,5.0000,7.0000,28.0000
Floresta,6,6,111.0000,93.0000,23.0000,88.0000,51.0000,42.0000
Anchorena,19,7,,,,,,
Dialogos,13,2,15.0000,56.0000,13.0000,2.0000,26.0000,30.0000
Garay,1,3,21.0000,26.0000,8.0000,13.0000,6.0000,20.0000
Centenera,10,3,113.0000,211.0000,61.0000,52.0000,72.0000,139.0000
Bulnes,15,3,17.0000,79.0000,4.0000,13.0000,15.0000,64.0000
La Bandera,21,3,4.0000,41.0000,2.0000,2.0000,5.0000,36.0000
Maipu,13,4,21.0000,76.0000,20.0000,1.0000,13.0000,63.0000
Florencio Varela,13,4,36.0000,110.0000,15.0000,21.0000,44.0000,66.0000
Lima,5,5,419.0000,199.0000,219.0000,200.0000,88.0000,111.0000
Rosario Sur,9,7,17.0000,,5.0000,12.0000,,
Arroyo Seco,4,3,310.0000,187.0000,177.0000,133.0000,97.0000,90.0000
Parque Sarmiento,12,3,48.0000,137.0000,27.0000,21.0000,24.0000,113.0000
Parque Sarmiento,19,7,27.0000,86.0000,10.0000,17.0000,18.0000,68.0000
Olivos,18,1,33.0000,171.0000,31.0000,2.0000,62.0000,109.0000
Floresta,23,3,5.0000,35.0000,1.0000,4.0000,13.0000,22.0000
Laferrere,5,3,60.0000,45.0000,35.0000,25.0000,29.0000,16.0000
Bonpland,6,1,97.0000,296.0000,43.0000,54.0000,146.0000,150.0000
AUBASA LP-BA,0,6,57.0000,82.0000,17.0000,40.0000,13.0000,69.0000
Villa Luro,2,1,41.0000,126.0000,24.0000,17.0000,48.0000,78.0000
CORS EVENTOS,13,7,1.0000,,,1.0000,,
Amanecer,2,2,13.0000,17.0000,4.0000,9.0000,9.0000,8.0000
Lima,3,3,162.0000,91.0000,71.0000,91.0000,31.0000,60.0000
Quilmes,3,2,10.0000,43.0000,4.0000,6.0000,10.0000,33.0000
Rivadavia,2,6,,,,,,
OPERADOR LOGISTICO,20,3,,5584.0000,,,,5584.0000
CORS Alem,6,4,,,,,,
CASTROL MELI,20,4,,,,,,
